obj0,obj1,obj2,obj3,obj4,cpu
11119,15865,11519,7804,13420,0.0359115
15669,16961,13672,9349,9902,0.043362
12190,15921,12375,9437,9888,0.054084
10998,16890,12441,7067,14490,0.0581505
12069,16946,13297,8700,10958,0.0699627
10412,11286,9396,11104,11484,0.0776692
11147,12086,10660,13001,10472,0.0854597
10291,12311,10318,10367,12554,0.0921469
10462,12359,10332,10448,12538,0.202518
12240,16994,13311,8781,10942,0.219858
10633,12407,10346,10529,12522,0.271423
12411,17042,13325,8862,10926,0.293313
11102,15794,11788,9563,13646,0.325424
10804,12455,10360,10610,12506,0.361505
12582,17090,13339,8943,10910,0.39268
11072,15598,11684,9630,13552,0.443295
10981,16819,12710,8826,14716,0.4712
10975,12503,10374,10691,12490,0.4762
12753,17138,13353,9024,10894,0.521571
11042,15402,11580,9697,13458,0.587771
10951,16623,12606,8893,14622,0.618232
12924,17186,13367,9105,10878,0.684787
11012,15206,11476,9764,13364,0.758257
10921,16427,12502,8960,14528,0.792205
13095,17234,13381,9186,10862,0.885164
10982,15010,11372,9831,13270,0.969871
10891,16231,12398,9027,14434,1.00687
13266,17282,13395,9267,10846,1.12208
10952,14814,11268,9898,13176,1.21259
10861,16035,12294,9094,14340,1.2455
13437,17330,13409,9348,10830,1.38216
10922,14618,11164,9965,13082,1.48331
10831,15839,12190,9161,14246,1.51826
13608,17378,13423,9429,10814,1.67071
10892,14422,11060,10032,12988,1.78269
10801,15643,12086,9228,14152,1.81763
10862,14226,10956,10099,12894,2.10299
10771,15447,11982,9295,14058,2.13808
10832,14030,10852,10166,12800,2.42473
10741,15251,11878,9362,13964,2.46019
10802,13834,10748,10233,12706,2.758
10711,15055,11774,9429,13870,2.79369
10772,13638,10644,10300,12612,3.09193
10681,14859,11670,9496,13776,3.1278
10742,13442,10540,10367,12518,3.42139
10651,14663,11566,9563,13682,3.45695
10712,13246,10436,10434,12424,3.75042
10621,14467,11462,9630,13588,3.78632
10682,13050,10332,10501,12330,4.08739
10591,14271,11358,9697,13494,4.12365
10652,12854,10228,10568,12236,4.44811
10561,14075,11254,9764,13400,4.48761
10622,12658,10124,10635,12142,4.81465
11728,16944,12936,9800,13353,4.81846
11021,12365,10813,13100,11417,4.82147
10531,13879,11150,9831,13306,4.8544
10592,12462,10020,10702,12048,5.17575
11742,16913,12919,9789,13248,5.17951
11035,12334,10796,13089,11312,5.18244
10501,13683,11046,9898,13212,5.21659
10562,12266,9916,10769,11954,5.5303
11756,16882,12902,9778,13143,5.53406
11049,12303,10779,13078,11207,5.53688
12019,16191,12831,11317,11269,5.54071
10471,13487,10942,9965,13118,5.57382
10532,12070,9812,10836,11860,5.87463
11770,16851,12885,9767,13038,5.87724
11063,12272,10762,13067,11102,5.88006
12033,16160,12814,11306,11164,5.88383
11975,16026,12744,11395,11280,5.88512
10441,13291,10838,10032,13024,5.92167
10502,11874,9708,10903,11766,6.21592
11784,16820,12868,9756,12933,6.21855
11077,12241,10745,13056,10997,6.2214
12047,16129,12797,11295,11059,6.22607
11989,15995,12727,11384,11175,6.22742
11931,15861,12657,11473,11291,6.22869
10411,13095,10734,10099,12930,6.27034
10472,11678,9604,10970,11672,6.5632
11798,16789,12851,9745,12828,6.56572
11091,12210,10728,13045,10892,6.56861
12061,16098,12780,11284,10954,6.57253
12003,15964,12710,11373,11070,6.57431
11945,15830,12640,11462,11186,6.57564
11887,15696,12570,11551,11302,6.57702
10381,12899,10630,10166,12836,6.625
10442,11482,9500,11037,11578,6.89801
11812,16758,12834,9734,12723,6.89938
11105,12179,10711,13034,10787,6.90228
12075,16067,12763,11273,10849,6.90736
12017,15933,12693,11362,10965,6.90874
11959,15799,12623,11451,11081,6.91003
11901,15665,12553,11540,11197,6.9114
11843,15531,12483,11629,11313,6.9128
10351,12703,10526,10233,12742,6.96538
11882,16989,13632,10636,12140,7.01237
11826,16727,12817,9723,12618,7.21874
11119,12148,10694,13023,10682,7.22162
12089,16036,12746,11262,10744,7.22606
12031,15902,12676,11351,10860,7.22743
11973,15768,12606,11440,10976,7.22876
11915,15634,12536,11529,11092,7.23011
11857,15500,12466,11618,11208,7.2315
11799,15366,12396,11707,11324,7.23286
10321,12507,10422,10300,12648,7.29108
11896,16958,13615,10625,12035,7.33285
11840,16696,12800,9712,12513,7.53039
11133,12117,10677,13012,10577,7.5333
12103,16005,12729,11251,10639,7.5371
12045,15871,12659,11340,10755,7.53841
11987,15737,12589,11429,10871,7.54003
11929,15603,12519,11518,10987,7.54148
11871,15469,12449,11607,11103,7.54286
11813,15335,12379,11696,11219,7.54434
11755,15201,12309,11785,11335,7.54577
11910,16927,13598,10614,11930,7.64725
11852,16793,13528,10703,12046,7.64866
11854,16665,12783,9701,12408,7.84596
12117,15974,12712,11240,10534,7.8524
12059,15840,12642,11329,10650,7.85379
12001,15706,12572,11418,10766,7.85548
11943,15572,12502,11507,10882,7.85761
11885,15438,12432,11596,10998,7.85926
11827,15304,12362,11685,11114,7.86065
11769,15170,12292,11774,11230,7.86205
11711,15036,12222,11863,11346,7.86351
11924,16896,13581,10603,11825,7.96925
11866,16762,13511,10692,11941,7.97065
11868,16634,12766,9690,12303,8.16382
12131,15943,12695,11229,10429,8.16822
12073,15809,12625,11318,10545,8.16953
12015,15675,12555,11407,10661,8.17105
11957,15541,12485,11496,10777,8.17299
11899,15407,12415,11585,10893,8.17451
11841,15273,12345,11674,11009,8.17594
11783,15139,12275,11763,11125,8.17736
11725,15005,12205,11852,11241,8.17873
11667,14871,12135,11941,11357,8.18016
11938,16865,13564,10592,11720,8.28493
11880,16731,13494,10681,11836,8.28635
11822,16597,13424,10770,11952,8.28787
11882,16603,12749,9679,12198,8.4641
12145,15912,12678,11218,10324,8.46822
12087,15778,12608,11307,10440,8.46964
12029,15644,12538,11396,10556,8.47123
11971,15510,12468,11485,10672,8.47317
11913,15376,12398,11574,10788,8.47473
11855,15242,12328,11663,10904,8.4762
11797,15108,12258,11752,11020,8.47763
11739,14974,12188,11841,11136,8.47904
11681,14840,12118,11930,11252,8.48054
11623,14706,12048,12019,11368,8.48196
11747,17659,13688,8953,13373,8.56113
11952,16834,13547,10581,11615,8.5866
11894,16700,13477,10670,11731,8.58825
11836,16566,13407,10759,11847,8.58983
11896,16572,12732,9668,12093,8.7505
12159,15881,12661,11207,10219,8.7536
12101,15747,12591,11296,10335,8.75533
12043,15613,12521,11385,10451,8.75691
11985,15479,12451,11474,10567,8.75865
11927,15345,12381,11563,10683,8.76027
11869,15211,12311,11652,10799,8.76177
11811,15077,12241,11741,10915,8.76323
11753,14943,12171,11830,11031,8.76469
11695,14809,12101,11919,11147,8.76607
11637,14675,12031,12008,11263,8.76746
11579,14541,11961,12097,11379,8.76888
11761,17628,13671,8942,13268,8.84883
11966,16803,13530,10570,11510,8.87484
11908,16669,13460,10659,11626,8.87628
11850,16535,13390,10748,11742,8.87767
11792,16401,13320,10837,11858,8.87904
11910,16541,12715,9657,11988,9.02839
12115,15716,12574,11285,10230,9.03134
12057,15582,12504,11374,10346,9.03279
11999,15448,12434,11463,10462,9.03434
11941,15314,12364,11552,10578,9.03583
11883,15180,12294,11641,10694,9.03743
11825,15046,12224,11730,10810,9.03933
11767,14912,12154,11819,10926,9.04083
11709,14778,12084,11908,11042,9.04225
11651,14644,12014,11997,11158,9.04366
11593,14510,11944,12086,11274,9.0451
11535,14376,11874,12175,11390,9.04655
11775,17597,13654,8931,13163,9.12143
11980,16772,13513,10559,11405,9.14605
11922,16638,13443,10648,11521,9.14754
11864,16504,13373,10737,11637,9.14895
11806,16370,13303,10826,11753,9.15035
11924,16510,12698,9646,11883,9.27268
12071,15551,12487,11363,10241,9.27573
