obj0,obj1,obj2,obj3,obj4,cpu
6368,14530,9167,11003,8221,0.0293785
6010,11363,8842,8350,12596,0.0340682
5623,11435,8763,7732,10245,0.0387872
6459,13560,9963,9261,9400,0.0441841
7912,10185,5219,12111,8847,0.0495676
7592,7304,5094,9504,13216,0.0545287
7205,7376,5015,8886,10865,0.0610814
7813,7785,5015,10139,10056,0.0668079
6422,13909,9277,10343,8705,0.0695939
7966,9564,5329,11451,9331,0.0764864
8653,15762,9119,13008,8730,0.129225
7908,12667,8715,9737,10754,0.140111
8634,15619,9019,12985,8733,0.149626
7889,12524,8615,9714,10757,0.16238
8615,15476,8919,12962,8736,0.169656
7870,12381,8515,9691,10760,0.182837
8596,15333,8819,12939,8739,0.190918
7851,12238,8415,9668,10763,0.20381
8577,15190,8719,12916,8742,0.214033
7832,12095,8315,9645,10766,0.226442
8558,15047,8619,12893,8745,0.23545
7813,11952,8215,9622,10769,0.248
8539,14904,8519,12870,8748,0.256091
7794,11809,8115,9599,10772,0.26912
8611,13791,9215,11105,9930,0.271815
8520,14761,8419,12847,8751,0.27835
7775,11666,8015,9576,10775,0.289171
8592,13648,9115,11082,9933,0.29309
8501,14618,8319,12824,8754,0.298814
7756,11523,7915,9553,10778,0.310082
8573,13505,9015,11059,9936,0.312813
8482,14475,8219,12801,8757,0.318817
7737,11380,7815,9530,10781,0.3321
8554,13362,8915,11036,9939,0.334827
8463,14332,8119,12778,8760,0.340349
7718,11237,7715,9507,10784,0.352077
8535,13219,8815,11013,9942,0.354795
8444,14189,8019,12755,8763,0.361035
8498,13568,8129,12095,9247,0.365813
7699,11094,7615,9484,10787,0.372171
8516,13076,8715,10990,9945,0.375743
8425,14046,7919,12732,8766,0.381233
8479,13425,8029,12072,9250,0.386229
7680,10951,7515,9461,10790,0.393334
8497,12933,8615,10967,9948,0.396697
8406,13903,7819,12709,8769,0.402128
8460,13282,7929,12049,9253,0.407053
7661,10808,7415,9438,10793,0.417847
8478,12790,8515,10944,9951,0.420631
8387,13760,7719,12686,8772,0.426583
8441,13139,7829,12026,9256,0.431509
7642,10665,7315,9415,10796,0.44409
8459,12647,8415,10921,9954,0.446909
8368,13617,7619,12663,8775,0.452364
8422,12996,7729,12003,9259,0.457338
7623,10522,7215,9392,10799,0.47175
8440,12504,8315,10898,9957,0.474846
8349,13474,7519,12640,8778,0.480408
8403,12853,7629,11980,9262,0.485062
7604,10379,7115,9369,10802,0.502121
8421,12361,8215,10875,9960,0.504941
6751,14546,9648,10966,8628,0.50802
8330,13331,7419,12617,8781,0.510806
8384,12710,7529,11957,9265,0.515515
7585,10236,7015,9346,10805,0.535444
8402,12218,8115,10852,9963,0.538259
6704,14455,9595,10877,8639,0.541301
8311,13188,7319,12594,8784,0.544107
8365,12567,7429,11934,9268,0.548868
7566,10093,6915,9323,10808,0.571347
8383,12075,8015,10829,9966,0.574276
6657,14364,9542,10788,8650,0.577226
8292,13045,7219,12571,8787,0.579962
8346,12424,7329,11911,9271,0.584648
7547,9950,6815,9300,10811,0.61037
8364,11932,7915,10806,9969,0.613123
6610,14273,9489,10699,8661,0.615923
8273,12902,7119,12548,8790,0.618656
8327,12281,7229,11888,9274,0.623483
7528,9807,6715,9277,10814,0.65124
8345,11789,7815,10783,9972,0.654048
6563,14182,9436,10610,8672,0.656989
8254,12759,7019,12525,8793,0.660038
8308,12138,7129,11865,9277,0.665074
7509,9664,6615,9254,10817,0.696165
8326,11646,7715,10760,9975,0.69905
6516,14091,9383,10521,8683,0.701809
8235,12616,6919,12502,8796,0.704743
8289,11995,7029,11842,9280,0.70976
7490,9521,6515,9231,10820,0.742811
8307,11503,7615,10737,9978,0.745617
6469,14000,9330,10432,8694,0.748349
8216,12473,6819,12479,8799,0.751106
8270,11852,6929,11819,9283,0.755985
7471,9378,6415,9208,10823,0.792061
8288,11360,7515,10714,9981,0.795706
8197,12330,6719,12456,8802,0.800739
8251,11709,6829,11796,9286,0.805701
7452,9235,6315,9185,10826,0.856074
8269,11217,7415,10691,9984,0.859848
8178,12187,6619,12433,8805,0.863073
8232,11566,6729,11773,9289,0.868076
7433,9092,6215,9162,10829,0.909762
8250,11074,7315,10668,9987,0.912565
8159,12044,6519,12410,8808,0.915447
8213,11423,6629,11750,9292,0.92033
7414,8949,6115,9139,10832,0.964674
8231,10931,7215,10645,9990,0.967452
8140,11901,6419,12387,8811,0.970289
8194,11280,6529,11727,9295,0.975101
7395,8806,6015,9116,10835,1.0213
8212,10788,7115,10622,9993,1.0244
8121,11758,6319,12364,8814,1.02772
8175,11137,6429,11704,9298,1.0326
7376,8663,5915,9093,10838,1.08214
8193,10645,7015,10599,9996,1.085
8102,11615,6219,12341,8817,1.08789
8156,10994,6329,11681,9301,1.09719
7357,8520,5815,9070,10841,1.1494
8174,10502,6915,10576,9999,1.15221
8083,11472,6119,12318,8820,1.15506
8137,10851,6229,11658,9304,1.16042
7338,8377,5715,9047,10844,1.21589
8155,10359,6815,10553,10002,1.21873
8064,11329,6019,12295,8823,1.22161
8118,10708,6129,11635,9307,1.22691
7319,8234,5615,9024,10847,1.28496
8136,10216,6715,10530,10005,1.28784
8045,11186,5919,12272,8826,1.29106
8099,10565,6029,11612,9310,1.29655
7300,8091,5515,9001,10850,1.35728
8117,10073,6615,10507,10008,1.36013
8026,11043,5819,12249,8829,1.36328
8080,10422,5929,11589,9313,1.36848
7281,7948,5415,8978,10853,1.43195
8098,9930,6515,10484,10011,1.4348
