obj0,obj1,obj2,obj3,obj4,cpu
6368,14530,9167,11003,8221,0.0619523
6010,11363,8842,8350,12596,0.0710108
5623,11435,8763,7732,10245,0.0830447
6459,13560,9963,9261,9400,0.0926224
7912,10185,5219,12111,8847,0.0994805
7592,7304,5094,9504,13216,0.105079
7205,7376,5015,8886,10865,0.11574
7813,7785,5015,10139,10056,0.123087
6422,13909,9277,10343,8705,0.129913
7966,9564,5329,11451,9331,0.136082
8288,11360,7515,10714,9981,0.168727
8307,11503,7615,10737,9978,0.170745
8292,13045,7219,12571,8787,0.174735
8311,13188,7319,12594,8784,0.17726
8346,12424,7329,11911,9271,0.179482
8365,12567,7429,11934,9268,0.182174
7566,10093,6915,9323,10808,0.184784
7585,10236,7015,9346,10805,0.185971
8041,9501,6215,10415,10020,0.186552
8060,9644,6315,10438,10017,0.187734
8535,13219,8815,11013,9942,0.188447
8554,13362,8915,11036,9939,0.190478
8102,11615,6219,12341,8817,0.193515
8121,11758,6319,12364,8814,0.195741
8482,14475,8219,12801,8757,0.196575
8501,14618,8319,12824,8754,0.197588
8156,10994,6329,11681,9301,0.198544
8175,11137,6429,11704,9298,0.201009
7376,8663,5915,9093,10838,0.206925
7395,8806,6015,9116,10835,0.209825
7756,11523,7915,9553,10778,0.212319
7775,11666,8015,9576,10775,0.21431
7927,8643,5615,10277,10038,0.21522
7946,8786,5715,10300,10035,0.216512
8174,10502,6915,10576,9999,0.217253
8193,10645,7015,10599,9996,0.218498
8421,12361,8215,10875,9960,0.21957
8440,12504,8315,10898,9957,0.220982
8007,10900,5719,12226,8832,0.224169
8026,11043,5819,12249,8829,0.226616
8197,12330,6719,12456,8802,0.227949
8216,12473,6819,12479,8799,0.229904
8387,13760,7719,12686,8772,0.230904
8406,13903,7819,12709,8769,0.232314
8577,15190,8719,12916,8742,0.232907
8596,15333,8819,12939,8739,0.233963
8061,10279,5829,11566,9316,0.235162
8080,10422,5929,11589,9313,0.237061
8251,11709,6829,11796,9286,0.238002
8270,11852,6929,11819,9283,0.240511
8441,13139,7829,12026,9256,0.242327
8460,13282,7929,12049,9253,0.247033
7281,7948,5415,8978,10853,0.250619
7300,8091,5515,9001,10850,0.251969
7471,9378,6415,9208,10823,0.252716
7490,9521,6515,9231,10820,0.253864
7661,10808,7415,9438,10793,0.254476
7680,10951,7515,9461,10790,0.255626
7851,12238,8415,9668,10763,0.25615
7870,12381,8515,9691,10760,0.258261
7870,8214,5315,10208,10047,0.260555
7889,8357,5415,10231,10044,0.262793
7984,9072,5915,10346,10029,0.263531
8003,9215,6015,10369,10026,0.26466
8117,10073,6615,10507,10008,0.265354
8136,10216,6715,10530,10005,0.266433
8231,10931,7215,10645,9990,0.267044
8250,11074,7315,10668,9987,0.268111
8364,11932,7915,10806,9969,0.268846
8383,12075,8015,10829,9966,0.271377
8478,12790,8515,10944,9951,0.272228
8497,12933,8615,10967,9948,0.273749
8592,13648,9115,11082,9933,0.275092
8611,13791,9215,11105,9930,0.276837
7950,10471,5419,12157,8841,0.278057
7969,10614,5519,12180,8838,0.279398
8064,11329,6019,12295,8823,0.280029
8083,11472,6119,12318,8820,0.281142
8159,12044,6519,12410,8808,0.281726
8178,12187,6619,12433,8805,0.282753
8254,12759,7019,12525,8793,0.283334
8273,12902,7119,12548,8790,0.284405
8349,13474,7519,12640,8778,0.285049
8368,13617,7619,12663,8775,0.286058
8444,14189,8019,12755,8763,0.286672
8463,14332,8119,12778,8760,0.287766
