obj0,obj1,obj2,obj3,cpu
12167,13202,12149,5691,0.113411
12389,11565,10526,7290,0.178449
13173,10953,11335,5715,0.18974
13458,10072,10468,7482,0.210563
16150,9445,9852,10124,0.214831
14056,8173,10405,12284,0.223374
8850,11040,13082,8515,0.238283
11839,8525,10560,12644,0.24276
15121,10888,9917,9955,0.255965
14366,12208,11490,5541,0.278022
14651,11327,10623,7308,0.29883
17383,10650,10014,9973,0.305165
9045,9079,11135,10042,0.32001
13867,8566,10617,12598,0.331795
10851,10757,12815,8397,0.334046
11073,9120,11192,9996,0.34033
10977,9608,11847,7915,0.348311
11262,8727,10980,9682,0.372287
13049,11421,11618,9078,0.566382
15451,10816,10463,10849,0.667187
12719,11493,11072,8184,0.689572
12774,11481,11163,8333,0.691646
12099,10411,12298,7475,0.724312
12201,10484,12339,7435,0.725752
15286,10852,10190,10402,0.833188
15341,10840,10281,10551,0.834785
11533,12110,13189,7704,0.845306
11595,12233,13223,7641,0.846784
12554,11529,10799,7737,0.855122
12609,11517,10890,7886,0.856656
12884,11457,11345,8631,0.858265
12939,11445,11436,8780,0.860129
11487,9973,12052,7715,0.889537
11589,10046,12093,7675,0.891467
12711,10849,12544,7235,0.893015
12813,10922,12585,7195,0.894428
14606,11908,11532,5679,0.906941
14646,11858,11539,5702,0.908378
12384,9530,11431,9242,0.915198
12486,9603,11472,9202,0.916661
15076,8903,10815,11884,1.00529
15178,8976,10856,11844,1.00707
15176,10876,10008,10104,1.04603
15231,10864,10099,10253,1.0478
15396,10828,10372,10700,1.0496
11905,12848,13393,7326,1.06431
11967,12971,13427,7263,1.06565
12444,11553,10617,7439,1.07458
12499,11541,10708,7588,1.07634
12664,11505,10981,8035,1.07805
12829,11469,11254,8482,1.08152
12994,11433,11527,8929,1.08447
11181,9754,11929,7835,1.12431
11283,9827,11970,7795,1.12581
11793,10192,12175,7595,1.12874
11895,10265,12216,7555,1.13094
12405,10630,12421,7355,1.13309
12507,10703,12462,7315,1.13515
13017,11068,12667,7115,1.13715
13119,11141,12708,7075,1.13937
14486,12058,11511,5610,1.15406
14526,12008,11518,5633,1.15614
11772,9092,11185,9482,1.16243
11874,9165,11226,9442,1.16421
12996,9968,11677,9002,1.16584
13098,10041,11718,8962,1.16737
14891,11027,10665,7446,1.22391
14931,10977,10672,7469,1.22542
17623,10350,10056,10111,1.24798
14566,8538,10610,12084,1.262
14668,8611,10651,12044,1.26345
14487,9796,10957,11968,1.30194
10975,11003,12883,8271,1.31313
11719,12479,13291,7515,1.31917
11781,12602,13325,7452,1.32133
12091,13217,13495,7137,1.32303
12153,13340,13529,7074,1.32463
11755,10473,11566,9303,1.33713
11817,10596,11600,9240,1.33858
11079,9681,11888,7875,1.37708
11385,9900,12011,7755,1.37927
11691,10119,12134,7635,1.38294
11997,10338,12257,7515,1.38513
12303,10557,12380,7395,1.38734
12609,10776,12503,7275,1.38967
12915,10995,12626,7155,1.39237
14406,12158,11497,5564,1.39608
14446,12108,11504,5587,1.39757
14566,11958,11525,5656,1.39899
11466,8873,11062,9602,1.40574
11568,8946,11103,9562,1.40765
12078,9311,11308,9362,1.40933
12180,9384,11349,9322,1.41134
12690,9749,11554,9122,1.41309
12792,9822,11595,9082,1.41462
13302,10187,11800,8882,1.4161
13404,10260,11841,8842,1.41764
14771,11177,10644,7377,1.47317
14811,11127,10651,7400,1.47465
17503,10500,10035,10042,1.49015
17543,10450,10042,10065,1.49186
14260,8319,10487,12204,1.50333
14362,8392,10528,12164,1.50515
14872,8757,10733,11964,1.50683
14974,8830,10774,11924,1.50835
15382,9122,10938,11764,1.51015
15484,9195,10979,11724,1.51188
14239,9304,10821,12220,1.54452
10913,10880,12849,8334,1.55596
11657,12356,13257,7578,1.56117
11843,12725,13359,7389,1.5642
12029,13094,13461,7200,1.56688
11445,9858,11396,9618,1.57265
12127,11211,11770,8925,1.57402
12189,11334,11804,8862,1.5756
11364,8800,11021,9642,1.63044
11670,9019,11144,9522,1.63302
11976,9238,11267,9402,1.63538
12282,9457,11390,9282,1.6377
12588,9676,11513,9162,1.64083
12894,9895,11636,9042,1.64386
13200,10114,11759,8922,1.64611
14691,11277,10630,7331,1.67614
14731,11227,10637,7354,1.67771
14851,11077,10658,7423,1.67934
17423,10600,10021,9996,1.69156
17463,10550,10028,10019,1.69327
17583,10400,10049,10088,1.69486
14158,8246,10446,12244,1.70526
14464,8465,10569,12124,1.70775
14770,8684,10692,12004,1.71042
15280,9049,10897,11804,1.71432
13991,8812,10685,12472,1.73401
14053,8935,10719,12409,1.73552
14363,9550,10889,12094,1.73694
14425,9673,10923,12031,1.73887
11197,9366,11260,9870,1.75827
11259,9489,11294,9807,1.76006
11569,10104,11464,9492,1.76188
11631,10227,11498,9429,1.76327
11941,10842,11668,9114,1.76474
12003,10965,11702,9051,1.76618
13929,8689,10651,12535,1.85581
14301,9427,10855,12157,1.86195
11135,9243,11226,9933,1.87982
11507,9981,11430,9555,1.88586
11693,10350,11532,9366,1.88824
11879,10719,11634,9177,1.89083
12065,11088,11736,8988,1.89327
12251,11457,11838,8799,1.89563
