obj0,obj1,obj2,obj3,cpu
11175,15777,13992,15700,0.0708897
12640,14809,16819,14930,0.0960049
13572,14008,15353,14569,0.115826
14618,16310,13711,20286,0.117296
13552,15528,14453,15509,0.195385
13551,15604,14408,15556,0.19681
13571,14084,15308,14616,0.236892
13570,14160,15263,14663,0.238849
13553,15452,14498,15462,0.275808
13550,15680,14363,15603,0.277977
13549,15756,14318,15650,0.279383
13563,14692,14948,14992,0.304938
13562,14768,14903,15039,0.306434
13568,14312,15173,14757,0.329114
13567,14388,15128,14804,0.330521
13558,15072,14723,15227,0.331902
13557,15148,14678,15274,0.333347
13569,14236,15218,14710,0.351501
13565,14540,15038,14898,0.352875
13564,14616,14993,14945,0.354262
13561,14844,14858,15086,0.355698
13560,14920,14813,15133,0.357104
13554,15376,14543,15415,0.358496
13548,15832,14273,15697,0.360739
13566,14464,15083,14851,0.372991
13559,14996,14768,15180,0.37864
13556,15224,14633,15321,0.380716
13555,15300,14588,15368,0.390562
