obj0,obj1,obj2,obj3,cpu
16046,17735,14028,19427,0.255803
15560,15700,14295,19702,0.266668
19318,19014,15519,14888,0.271926
16134,15843,14907,15760,0.276754
16620,17878,14640,15485,0.384998
25209,25232,17132,13720,0.430442
25431,23508,17323,14042,0.433007
16607,17922,14692,15609,0.6393
16121,15887,14959,15884,0.683396
16594,17966,14744,15733,0.719603
16108,15931,15011,16008,0.780161
16581,18010,14796,15857,0.822322
16095,15975,15063,16132,0.911644
16568,18054,14848,15981,0.968903
16082,16019,15115,16256,1.1138
16555,18098,14900,16105,1.19248
16069,16063,15167,16380,1.42385
16056,16107,15219,16504,1.8523
26050,25176,17920,13927,1.92614
20159,18958,16307,15095,2.39719
16043,16151,15271,16628,2.43435
25935,25087,17880,13946,2.51639
20044,18869,16267,15114,3.12875
16030,16195,15323,16752,3.16929
25820,24998,17840,13965,3.25343
19929,18780,16227,15133,4.01441
16017,16239,15375,16876,4.05676
25705,24909,17800,13984,4.14483
19814,18691,16187,15152,5.005
16004,16283,15427,17000,5.05027
25590,24820,17760,14003,5.1334
19699,18602,16147,15171,6.05868
15991,16327,15479,17124,6.10671
25475,24731,17720,14022,6.18027
19584,18513,16107,15190,7.13393
15978,16371,15531,17248,7.17886
25360,24642,17680,14041,7.24582
19469,18424,16067,15209,8.20265
15965,16415,15583,17372,8.24982
25245,24553,17640,14060,8.318
19354,18335,16027,15228,9.27598
15952,16459,15635,17496,9.32597
25130,24464,17600,14079,9.39287
19239,18246,15987,15247,10.3496
15939,16503,15687,17620,10.4019
25015,24375,17560,14098,10.4707
19124,18157,15947,15266,11.407
15926,16547,15739,17744,11.462
24900,24286,17520,14117,11.5259
19009,18068,15907,15285,12.402
15913,16591,15791,17868,12.4546
24785,24197,17480,14136,12.5121
18894,17979,15867,15304,13.3591
15900,16635,15843,17992,13.414
24670,24108,17440,14155,13.4671
18779,17890,15827,15323,14.2908
15887,16679,15895,18116,14.348
24555,24019,17400,14174,14.3955
18664,17801,15787,15342,15.2043
15874,16723,15947,18240,15.2637
24440,23930,17360,14193,15.3088
18549,17712,15747,15361,16.0934
15861,16767,15999,18364,16.1547
24325,23841,17320,14212,16.1972
18434,17623,15707,15380,16.9374
15848,16811,16051,18488,17.0014
24210,23752,17280,14231,17.0429
18319,17534,15667,15399,17.7786
15835,16855,16103,18612,17.8445
24095,23663,17240,14250,17.8854
18204,17445,15627,15418,18.5964
15822,16899,16155,18736,18.6649
23980,23574,17200,14269,18.7062
18089,17356,15587,15437,19.3919
15809,16943,16207,18860,19.4629
23865,23485,17160,14288,19.504
17285,17035,14895,19417,20.1512
17974,17267,15547,15456,20.1625
15796,16987,16259,18984,20.235
23750,23396,17120,14307,20.2725
17170,16946,14855,19436,20.8991
17859,17178,15507,15475,20.9101
15783,17031,16311,19108,20.9829
23635,23307,17080,14326,21.02
17055,16857,14815,19455,21.5965
17744,17089,15467,15494,21.6077
15770,17075,16363,19232,21.6825
23520,23218,17040,14345,21.7159
16940,16768,14775,19474,22.2583
17629,17000,15427,15513,22.2693
15757,17119,16415,19356,22.3459
23405,23129,17000,14364,22.3747
16825,16679,14735,19493,22.878
17514,16911,15387,15532,22.8892
15744,17163,16467,19480,22.9657
25170,25364,17288,14092,22.9808
23290,23040,16960,14383,22.9963
16710,16590,14695,19512,23.4928
17399,16822,15347,15551,23.505
15731,17207,16519,19604,23.6015
25183,25320,17236,13968,23.6155
23175,22951,16920,14402,23.6325
16595,16501,14655,19531,24.0941
19292,19102,15623,15136,24.1011
17284,16733,15307,15570,24.1035
25196,25276,17184,13844,24.1979
25418,23552,17375,14166,24.2006
23060,22862,16880,14421,24.2124
16480,16412,14615,19550,24.6183
19305,19058,15571,15012,24.6231
17169,16644,15267,15589,24.6256
22945,22773,16840,14440,24.7302
16365,16323,14575,19569,25.1077
17054,16555,15227,15608,25.114
22830,22684,16800,14459,25.2084
16250,16234,14535,19588,25.5519
16939,16466,15187,15627,25.5567
22715,22595,16760,14478,25.6497
16135,16145,14495,19607,25.9671
16824,16377,15147,15646,25.9716
22600,22506,16720,14497,26.0664
16020,16056,14455,19626,26.3495
16709,16288,15107,15665,26.3542
22485,22417,16680,14516,26.4523
15905,15967,14415,19645,26.7066
16594,16199,15067,15684,26.709
22370,22328,16640,14535,26.8003
15790,15878,14375,19664,27.0344
16479,16110,15027,15703,27.0368
22255,22239,16600,14554,27.1256
15675,15789,14335,19683,27.3371
16364,16021,14987,15722,27.3395
22140,22150,16560,14573,27.425
16249,15932,14947,15741,27.6265
22025,22061,16520,14592,27.7131
22477,20515,16791,14876,27.7902
21910,21972,16480,14611,27.9859
22592,20604,16831,14857,28.063
21795,21883,16440,14630,28.2323
22707,20693,16871,14838,28.3117
21680,21794,16400,14649,28.4597
22822,20782,16911,14819,28.542
21565,21705,16360,14668,28.6673
22937,20871,16951,14800,28.751
21450,21616,16320,14687,28.8611
23052,20960,16991,14781,28.948
21335,21527,16280,14706,29.04
23167,21049,17031,14762,29.1281
21220,21438,16240,14725,29.214
23282,21138,17071,14743,29.3101
21105,21349,16200,14744,29.3864
23397,21227,17111,14724,29.4816
20990,21260,16160,14763,29.5515
23512,21316,17151,14705,29.6499
20875,21171,16120,14782,29.718
23627,21405,17191,14686,29.8176
20760,21082,16080,14801,29.8831
23742,21494,17231,14667,29.9856
20645,20993,16040,14820,30.0482
23857,21583,17271,14648,30.152
20530,20904,16000,14839,30.212
23972,21672,17311,14629,30.3189
20415,20815,15960,14858,30.3772
24087,21761,17351,14610,30.4833
20300,20726,15920,14877,30.5438
24202,21850,17391,14591,30.6497
24317,21939,17431,14572,30.8087
24432,22028,17471,14553,30.9671
24547,22117,17511,14534,31.1207
24662,22206,17551,14515,31.2726
24777,22295,17591,14496,31.4208
24892,22384,17631,14477,31.5662
25007,22473,17671,14458,31.7103
25122,22562,17711,14439,31.8543
19265,19925,15560,15048,31.8883
25237,22651,17751,14420,31.9936
19150,19836,15520,15067,32.025
25352,22740,17791,14401,32.1307
19035,19747,15480,15086,32.1603
25467,22829,17831,14382,32.2679
18920,19658,15440,15105,32.2945
25582,22918,17871,14363,32.4015
18805,19569,15400,15124,32.4253
25697,23007,17911,14344,32.5309
18690,19480,15360,15143,32.5526
25812,23096,17951,14325,32.6596
18575,19391,15320,15162,32.6792
25927,23185,17991,14306,32.7804
17771,19070,14628,19142,32.7876
18460,19302,15280,15181,32.7975
26042,23274,18031,14287,32.8937
17656,18981,14588,19161,32.8996
18345,19213,15240,15200,32.9098
26157,23363,18071,14268,32.9956
17541,18892,14548,19180,32.9975
18230,19124,15200,15219,33.0081
26272,23452,18111,14249,33.0906
17426,18803,14508,19199,33.0931
18115,19035,15160,15238,33.1033
17311,18714,14468,19218,33.1809
18000,18946,15120,15257,33.1906
17196,18625,14428,19237,33.2593
17885,18857,15080,15276,33.2694
17081,18536,14388,19256,33.3328
17770,18768,15040,15295,33.3407
16966,18447,14348,19275,33.3965
17655,18679,15000,15314,33.4013
16851,18358,14308,19294,33.453
17540,18590,14960,15333,33.458
16736,18269,14268,19313,33.5022
17425,18501,14920,15352,33.507
16621,18180,14228,19332,33.5459
17310,18412,14880,15371,33.5506
16506,18091,14188,19351,33.5872
17195,18323,14840,15390,33.5925
16391,18002,14148,19370,33.6239
17080,18234,14800,15409,33.6267
16276,17913,14108,19389,33.6563
16965,18145,14760,15428,33.6589
16161,17824,14068,19408,33.6828
16850,18056,14720,15447,33.6852
16735,17967,14680,15466,33.7061
