obj0,obj1,obj2,obj3,cpu
29909,16896,32629,28841,0.273353
28660,18127,29257,22941,0.275821
29310,17319,29667,25567,0.280243
25295,19561,30835,26446,0.321612
25945,18753,31245,29072,0.325904
27217,18920,29571,24394,0.328875
27867,18112,29981,27020,0.333308
26630,26868,25992,21814,0.384927
26051,22053,26734,21357,0.387079
29388,21524,25234,30438,0.389009
26668,22490,23784,25154,0.390724
26701,21245,27144,23983,0.395643
26544,18330,34207,32346,0.428253
28466,17689,32943,30294,0.43044
23935,22256,31684,30762,0.433344
25857,21615,30420,28710,0.436526
23265,28302,27570,25319,0.438196
22686,23487,28312,24862,0.44018
26023,22958,26812,33943,0.441937
23303,23924,25362,28659,0.443585
23336,22679,28722,27488,0.449105
25187,27661,26306,23267,0.451008
24608,22846,27048,22810,0.452941
27945,22317,25548,31891,0.454558
25225,23283,24098,26607,0.456134
25258,22038,27458,25436,0.460858
29328,17424,29744,25546,2.15038
26719,21350,27221,23962,2.21447
25963,18858,31322,29051,2.46203
23354,22784,28799,27467,2.50956
29346,17529,29821,25525,3.18362
26737,21455,27298,23941,3.28726
23938,22336,31655,30862,3.42348
25981,18963,31399,29030,3.64585
23372,22889,28876,27446,3.71439
27885,18217,30058,26999,4.14562
25276,22143,27535,25415,4.34509
29364,17634,29898,25504,4.8321
26704,21325,27115,24083,4.99156
26755,21560,27375,23920,4.99534
25860,21695,30391,28810,5.30018
25999,19068,31476,29009,5.52293
23339,22759,28693,27588,5.61841
23390,22994,28953,27425,5.62242
27903,18322,30135,26978,6.34265
25294,22248,27612,25394,6.65201
29382,17739,29975,25483,7.40516
26707,21405,27086,24183,7.64511
26773,21665,27452,23899,7.65092
26017,19173,31553,28988,8.43038
23342,22839,28664,27688,8.55691
23408,23099,29030,27404,8.56288
27921,18427,30212,26957,9.66957
25261,22118,27429,25536,10.1351
25312,22353,27689,25373,10.1389
29400,17844,30052,25462,11.3003
26710,21485,27057,24283,11.6448
26035,19278,31630,28967,12.8056
23345,22919,28635,27788,12.9565
27939,18532,30289,26936,14.5813
25264,22198,27400,25636,15.273
25330,22458,27766,25352,15.2787
29418,17949,30129,25441,17.0281
26713,21565,27028,24383,17.4889
26053,19383,31707,28946,19.1019
23348,22999,28606,27888,19.2715
27957,18637,30366,26915,21.5294
25267,22278,27371,25736,22.4219
29436,18054,30206,25420,25.0512
26716,21645,26999,24483,25.5923
26071,19488,31784,28925,27.7628
23351,23079,28577,27988,27.9301
27975,18742,30443,26894,30.8964
25270,22358,27342,25836,31.9544
26719,21725,26970,24583,36.3529
23354,23159,28548,28088,39.3678
27993,18847,30520,26873,43.275
25273,22438,27313,25936,44.449
26722,21805,26941,24683,50.3022
23357,23239,28519,28188,54.0627
25276,22518,27284,26036,60.1425
26725,21885,26912,24783,67.6276
23360,23319,28490,28288,72.1568
25279,22598,27255,26136,79.2329
26728,21965,26883,24883,88.6164
23363,23399,28461,28388,93.9282
25282,22678,27226,26236,102.052
26731,22045,26854,24983,113.167
23366,23479,28432,28488,119.149
25285,22758,27197,26336,128.26
25288,22838,27168,26436,159.033
