obj0,obj1,obj2,obj3,obj4,cpu
28640,28637,36996,15536,16593,0.301629
25563,26135,32758,17249,15189,0.339405
24109,26853,40581,16880,14268,0.478106
23195,25298,33625,17198,15989,0.484312
27001,28116,33440,17198,20035,0.491207
23325,24868,23129,19017,16287,0.50012
22632,25571,37723,18213,13544,0.535221
21718,24016,30767,18531,15265,0.541077
23924,25614,29202,18911,18631,0.548178
21628,23886,22691,20930,16343,0.556535
26658,27589,36641,17547,11364,0.72447
25393,27387,34548,17521,12628,0.72733
24964,25389,26685,17355,12845,0.729514
24479,25832,27592,17839,14349,0.734974
19522,22724,31613,18674,21186,0.73915
21556,24777,30069,18860,19431,0.747794
21066,22230,25828,19386,19467,0.750012
20806,23258,25580,19315,19546,0.75306
22840,25311,24036,19501,17791,0.763127
24961,26607,36203,19460,11420,0.821538
23696,26405,34110,19434,12684,0.824331
23267,24407,26247,19268,12901,0.826266
22782,24850,27154,19752,14405,0.831267
21035,21338,35135,20834,25801,0.833335
18045,21442,28755,20007,20462,0.835366
20079,23495,27211,20193,18707,0.844113
19369,21248,25390,21299,19523,0.84629
19109,22276,25142,21228,19602,0.849308
21143,24329,23598,21414,17847,0.859495
21130,24692,34565,18602,19290,1.94032
21197,24774,34688,18599,19211,1.94238
27068,28198,33563,17195,19956,1.95587
27135,28280,33686,17192,19877,1.95919
23526,25114,23498,19008,16050,2.02157
23593,25196,23621,19005,15971,2.0248
20591,24558,33429,19893,17460,2.12796
20658,24640,33552,19890,17381,2.13011
21017,24643,28933,20151,17601,2.15207
21084,24725,29056,20148,17522,2.15733
20374,22478,27235,21254,18338,2.18274
20441,22560,27358,21251,18259,2.18476
22164,24542,23675,20906,15711,2.21739
22231,24624,23798,20903,15632,2.22074
19589,22806,31736,18671,21107,2.5722
21736,23050,27058,19356,18677,2.64533
21803,23132,27181,19353,18598,2.64758
22950,25882,29516,19219,17018,2.66864
23017,25964,29639,19216,16939,2.6714
23459,25032,23375,19011,16129,2.70379
23660,25278,23744,19002,15892,2.70913
23727,25360,23867,18999,15813,2.71244
19117,22754,30723,19959,19198,2.84832
19184,22836,30846,19956,19119,2.85044
20816,24397,28564,20160,17838,2.88219
20883,24479,28687,20157,17759,2.8871
21553,25299,29917,20127,16969,2.8918
21620,25381,30040,20124,16890,2.89687
19503,21412,25636,21293,19365,2.93809
19570,21494,25759,21290,19286,2.94029
21963,24296,23306,20915,15948,2.99807
22030,24378,23429,20912,15869,3.00135
23370,26018,25889,20852,14289,3.00469
23437,26100,26012,20849,14210,3.00802
21210,24411,23721,21411,17768,3.04712
19656,22888,31859,18668,21028,3.33398
21891,25187,30684,18845,19036,3.38374
21133,22312,25951,19383,19388,3.43548
21937,23296,27427,19347,18440,3.43782
22004,23378,27550,19344,18361,3.44003
22883,25800,29393,19222,17097,3.46568
23084,26046,29762,19213,16860,3.47078
23151,26128,29885,19210,16781,3.47372
23392,24950,23252,19014,16208,3.5212
