obj0,obj1,obj2,obj3,obj4,cpu
21047,12512,9021,15733,15880,0.239184
19931,12183,8271,14039,16084,0.259322
17574,10432,10552,16887,13507,0.275321
16458,10103,9802,15193,13711,0.296987
16824,13902,10019,15016,15728,0.324334
24186,19946,12512,11732,14048,0.34143
18457,16203,13193,13038,10905,0.35862
18189,10031,11585,15463,13915,0.383991
17073,9702,10835,13769,14119,0.414389
17812,9859,12072,17913,13630,0.439415
16696,9530,11322,16219,13834,0.473578
18535,16974,13481,11840,13625,0.520649
20452,17659,15948,11842,12961,0.538529
17008,15950,10681,13378,12172,0.544263
17246,15377,12201,14404,12295,0.553277
20444,11572,10873,13015,13611,0.619582
18990,10387,13302,13771,13455,0.643382
15396,11434,15594,19359,13228,0.654596
17907,10356,12314,14853,12444,0.69112
18613,10215,13789,16221,13170,0.719241
14646,14904,15061,17488,15449,0.743836
18684,15242,13237,12147,15646,0.771097
24335,18214,12268,12039,16069,0.78365
20601,15927,15704,12149,14982,0.799253
14830,16952,15723,15850,11893,0.806782
21560,11901,11623,14709,13407,0.855428
18167,13336,11809,12794,11993,0.87694
20084,14021,14276,12796,11329,0.891675
21174,14085,9001,13371,15979,0.905723
21687,13474,11603,12347,13506,0.92687
18316,11604,11565,13101,14014,0.941437
20233,12289,14032,13103,13350,0.962821
19023,10685,13064,16547,12240,0.969664
17790,13164,12296,15244,11708,0.995622
17701,12005,10532,14525,13606,1.02473
19150,12258,13044,14185,12339,1.04428
17157,14218,10437,13685,14193,1.15993
14979,15220,15479,16157,13914,1.16786
17666,17281,16886,15472,11291,1.19043
21025,15817,9245,13064,13958,1.2268
21538,15206,11847,12040,11485,1.23217
16646,14374,16212,15248,12029,1.26301
15552,10740,15238,16223,14155,1.30776
17552,13737,10776,14218,11585,1.34971
19001,13990,13288,13878,10318,1.3549
15374,14739,15818,16690,11306,1.36144
18210,15068,16981,16312,10704,1.37303
16291,10897,16475,20367,13666,1.37982
16269,14202,16699,17698,11744,1.38989
