obj0,obj1,obj2,obj3,obj4,cpu
13696,16999,10196,17897,12570,0
13944,16995,10817,17463,12700,0
13669,17088,9411,17054,13323,0
12940,16696,11171,16975,15506,0
15998,16438,13049,19124,16435,0
15908,16324,14429,19066,18939,0
13854,16881,12197,17405,15204,0
13727,17016,10881,17188,15731,0
17698,16543,12465,17074,13384,0
16942,16240,13440,16152,16320,0
18260,15412,14418,17311,15659,0
18170,15298,15798,17253,18163,0
17946,16539,13086,16640,13514,0
17856,16425,14466,16582,16018,0
17671,16632,11680,16231,14137,0
17729,16560,13150,16365,16545,0
17238,16324,13620,16536,16128,0
17312,16345,13665,16632,16080,0
15982,16345,14474,19162,18891,0
16056,16366,14519,19258,18843,0
18244,15319,15843,17349,18115,0
14224,16986,12422,17885,14964,0
17930,16446,14511,16678,15970,0
17803,16581,13195,16461,16497,0
17877,16602,13240,16557,16449,0
13828,16948,11711,18127,14930,0
13902,16969,11756,18223,14882,0
17016,16261,13485,16248,16272,0
17978,16534,14070,17496,15648,0
18466,15382,15978,17637,17971,0
18540,15403,16023,17733,17923,0
14150,16965,12377,17789,15012,0
13875,17058,10971,17380,15635,0
13014,16717,11216,17071,15458,0
13976,16990,11801,18319,14834,0
17090,16282,13530,16344,16224,0
17534,16408,13800,16920,15936,0
17608,16429,13845,17016,15888,0
16278,16429,14654,19546,18699,0
18318,15340,15888,17445,18067,0
18392,15361,15933,17541,18019,0
14002,16923,12287,17597,15108,0
14076,16944,12332,17693,15060,0
18078,16488,14601,16870,15874,0
18152,16509,14646,16966,15826,0
13801,17037,10926,17284,15683,0
13310,16801,11396,17455,15266,0
13384,16822,11441,17551,15218,0
17164,16303,13575,16440,16176,0
17386,16366,13710,16728,16032,0
17460,16387,13755,16824,15984,0
17682,16450,13890,17112,15840,0
16130,16387,14564,19354,18795,0
16204,16408,14609,19450,18747,0
13928,16902,12242,17501,15156,0
18004,16467,14556,16774,15922,0
18226,16530,14691,17062,15778,0
13236,16780,11351,17359,15314,0
13458,16843,11486,17647,15170,0
13532,16864,11531,17743,15122,0
17756,16471,13935,17208,15792,0
17830,16492,13980,17304,15744,0
18253,15493,14385,17420,15765,0
18246,15574,14352,17529,15871,0
17243,16977,12024,17606,13755,0
13088,16738,11261,17167,15410,0
13162,16759,11306,17263,15362,0
13680,16906,11621,17935,15026,0
13754,16927,11666,18031,14978,0
17904,16513,14025,17400,15696,0
17633,16605,12402,17150,13437,0
17568,16667,12339,17226,13490,0
13606,16885,11576,17839,15074,0
18239,15655,14319,17638,15977,0
18232,15736,14286,17747,16083,0
18128,15784,15600,17907,18799,0
18121,15865,15567,18016,18905,0
17411,16880,11428,16535,14349,0
17346,16942,11365,16611,14402,0
17503,16729,12276,17302,13543,0
17438,16791,12213,17378,13596,0
18135,15703,15633,17798,18693,0
17606,16694,11617,16307,14190,0
17541,16756,11554,16383,14243,0
17373,16853,12150,17454,13649,0
17308,16915,12087,17530,13702,0
16682,16488,13188,16456,16532,0
16617,16550,13125,16532,16585,0
16765,16592,13215,16724,16489,0
16700,16654,13152,16800,16542,0
18225,15817,14253,17856,16189,0
18218,15898,14220,17965,16295,0
18142,15622,15666,17689,18587,0
18114,15946,15534,18125,19011,0
18107,16027,15501,18234,19117,0
17476,16818,11491,16459,14296,0
16877,16302,13377,16228,16373,0
16812,16364,13314,16304,16426,0
16357,16798,12873,16836,16797,0
16292,16860,12810,16912,16850,0
16821,16447,13296,16476,16431,0
16756,16509,13233,16552,16484,0
17025,16344,13467,16420,16277,0
16960,16406,13404,16496,16330,0
16709,16737,13134,16972,16547,0
17191,16552,13521,16956,16191,0
17126,16614,13458,17032,16244,0
17543,16491,13782,17092,15941,0
17478,16553,13719,17168,15994,0
18211,15979,14187,18074,16401,0
18149,15541,15699,17580,18481,0
18093,16189,15435,18452,19329,0
17216,17066,11239,16763,14508,0
17151,17128,11176,16839,14561,0
17534,16746,12961,16593,16704,0
17469,16808,12898,16669,16757,0
16747,16426,13251,16380,16479,0
16487,16674,12999,16684,16691,0
16422,16736,12936,16760,16744,0
16951,16323,13422,16324,16325,0
16886,16385,13359,16400,16378,0
16431,16819,12918,16932,16749,0
16830,16530,13278,16648,16436,0
17099,16365,13512,16516,16229,0
17052,16593,13413,16936,16292,0
16987,16655,13350,17012,16345,0
17256,16490,13584,16880,16138,0
17200,16635,13503,17128,16196,0
18190,16222,14088,18401,16719,0
18163,15379,15765,17362,18269,0
18100,16108,15468,18343,19223,0
17686,16787,12834,16944,13726,0
17621,16849,12771,17020,13779,0
17791,16487,14403,16658,16071,0
17865,16508,14448,16754,16023,0
17281,17004,11302,16687,14455,0
17599,16684,13024,16517,16651,0
17274,16994,12709,16897,16916,0
17209,17056,12646,16973,16969,0
16552,16612,13062,16608,16638,0
16561,16695,13044,16780,16643,0
16496,16757,12981,16856,16696,0
16895,16468,13341,16572,16383,0
16839,16613,13260,16820,16441,0
16774,16675,13197,16896,16494,0
17173,16386,13557,16612,16181,0
17108,16448,13494,16688,16234,0
17247,16407,13602,16708,16133,0
17321,16428,13647,16804,16085,0
17330,16511,13629,16976,16090,0
17265,16573,13566,17052,16143,0
17469,16470,13737,16996,15989,0
17404,16532,13674,17072,16042,0
17348,16677,13593,17320,16100,0
18204,16060,14154,18183,16507,0
18197,16141,14121,18292,16613,0
