obj0,obj1,obj2,cpu
19639,26138,32904,0.214082
19517,27346,37351,0.21531
30921,26277,29836,0.282177
20324,26132,31762,0.320765
21883,22746,30995,0.372686
22568,22740,29853,0.44252
21487,23634,32099,0.660263
21454,23708,32191,0.661392
21520,23560,32007,0.768272
21124,24448,33111,0.769937
21091,24522,33203,0.771007
21685,23190,31547,0.823025
21652,23264,31639,0.824121
21190,24300,32927,0.825217
21157,24374,33019,0.826297
20794,25188,34031,0.827368
20761,25262,34123,0.828434
21718,23116,31455,0.871084
21619,23338,31731,0.872783
21586,23412,31823,0.87387
21289,24078,32651,0.875006
21256,24152,32743,0.876086
20827,25114,33939,0.878369
20563,25706,34675,0.880077
20530,25780,34767,0.881271
22370,23184,30405,0.895068
22337,23258,30497,0.896137
21850,22820,31087,0.908686
21817,22894,31179,0.909748
21553,23486,31915,0.912569
21322,24004,32559,0.913684
21223,24226,32835,0.915978
20860,25040,33847,0.917082
20629,25558,34491,0.918744
20596,25632,34583,0.919816
20497,25854,34859,0.920887
20464,25928,34951,0.921957
22403,23110,30313,0.928358
21751,23042,31363,0.941023
21388,23856,32375,0.943852
21355,23930,32467,0.944915
21025,24670,33387,0.947173
20992,24744,33479,0.94825
20662,25484,34399,0.949322
20431,26002,35043,0.953879
22436,23036,30221,0.956622
21784,22968,31271,0.965956
21421,23782,32283,0.968192
21058,24596,33295,0.970422
20926,24892,33663,0.972089
20893,24966,33755,0.97316
20728,25336,34215,0.97423
20695,25410,34307,0.975377
20398,26076,35135,0.977064
22502,22888,30037,0.978145
22469,22962,30129,0.979236
22304,23332,30589,0.980311
22271,23406,30681,0.981386
20959,24818,33571,0.988298
22535,22814,29945,0.995549
22172,23628,30957,1.01076
22238,23480,30773,1.01243
22205,23554,30865,1.0135
