obj0,obj1,obj2
20957,25492,27299
21554,24049,25694
21880,23075,27912
23627,22026,32865
24224,20583,31260
24550,19609,33478
27842,19597,33322
27908,19534,33257
27974,19471,33192
28040,19408,33127
28106,19345,33062
28172,19282,32997
28238,19219,32932
28299,19053,34274
28436,19030,32737
28502,18967,32672
28568,18904,32607
28634,18841,32542
28700,18778,32477
28766,18715,32412
28832,18652,32347
28898,18589,32282
28964,18526,32217
29030,18463,32152
22578,25145,24364
29096,18400,32087
29162,18337,32022
29228,18274,31957
29357,18257,31940
29486,18240,31923
29615,18223,31906
29744,18206,31889
29873,18189,31872
30002,18172,31855
30131,18155,31838
30260,18138,31821
30389,18121,31804
30518,18104,31787
30647,18087,31770
30776,18070,31753
30905,18053,31736
31034,18036,31719
31163,18019,31702
31292,18002,31685
31421,17985,31668
31550,17968,31651
31679,17951,31634
31808,17934,31617
31937,17917,31600
32066,17900,31583
32195,17883,31566
32324,17866,31549
32453,17849,31532
32582,17832,31515
32711,17815,31498
32840,17798,31481
32911,17781,32818
32977,17718,32753
33106,17701,32736
33235,17684,32719
33364,17667,32702
33493,17650,32685
33622,17633,32668
33751,17616,32651
33880,17599,32634
34009,17582,32617
34138,17565,32600
34267,17548,32583
34396,17531,32566
34525,17514,32549
34654,17497,32532
34783,17480,32515
34879,17428,30862
34945,17365,30797
35011,17302,30732
25738,25259,24338
25804,25196,24273
35077,17239,30667
25870,25133,24208
35143,17176,30602
25936,25070,24143
35209,17113,30537
26002,25007,24078
35275,17050,30472
26068,24944,24013
26134,24881,23948
35341,16987,30407
26200,24818,23883
35407,16924,30342
26266,24755,23818
35473,16861,30277
26332,24692,23753
35539,16798,30212
26398,24629,23688
35605,16735,30147
26464,24566,23623
35671,16672,30082
26530,24503,23558
35737,16609,30017
26596,24440,23493
26662,24377,23428
35803,16546,29952
26728,24314,23363
35869,16483,29887
26794,24251,23298
35935,16420,29822
26860,24188,23233
36001,16357,29757
26926,24125,23168
36067,16294,29692
26992,24062,23103
36133,16231,29627
27058,23999,23038
36199,16168,29562
27124,23936,22973
27190,23873,22908
36265,16105,29497
27256,23810,22843
36331,16042,29432
27322,23747,22778
36397,15979,29367
27388,23684,22713
36463,15916,29302
27454,23621,22648
36529,15853,29237
27520,23558,22583
36595,15790,29172
27586,23495,22518
24241,22192,27840
36661,15727,29107
27652,23432,22453
39882,15675,30423
27718,23369,22388
24567,21218,30058
24590,19646,33460
24630,19683,33442
24670,19720,33424
24710,19757,33406
24750,19794,33388
24790,19831,33370
24830,19868,33352
24870,19905,33334
24910,19942,33316
24950,19979,33298
24990,20016,33280
25030,20053,33262
25070,20090,33244
25110,20127,33226
25150,20164,33208
25190,20201,33190
25230,20238,33172
25270,20275,33154
25310,20312,33136
25350,20349,33118
25390,20386,33100
25430,20423,33082
25470,20460,33064
25510,20497,33046
25550,20534,33028
39948,15612,30358
25590,20571,33010
27516,20571,31104
27582,20508,31039
27784,23306,22323
27648,20445,30974
27714,20382,30909
27780,20319,30844
27846,20256,30779
24607,21255,30040
24647,21292,30022
27912,20193,30714
24687,21329,30004
24727,21366,29986
24767,21403,29968
24807,21440,29950
24847,21477,29932
27978,20130,30649
27152,21173,25806
24887,21514,29914
24927,21551,29896
24967,21588,29878
27218,21110,25741
27948,19571,33239
25007,21625,29860
25047,21662,29842
28014,19508,33174
25087,21699,29824
25127,21736,29806
25167,21773,29788
27284,21047,25676
28044,20067,30584
25207,21810,29770
25247,21847,29752
25287,21884,29734
25327,21921,29716
27350,20984,25611
25367,21958,29698
28080,19445,33109
25407,21995,29680
27882,19634,33304
25447,22032,29662
25487,22069,29644
28110,20004,30519
25527,22106,29626
27384,20697,31234
25567,22143,29608
27416,20921,25546
25607,22180,29590
26162,22118,26781
26096,22181,26846
28146,19382,33044
26228,22055,26716
27816,19697,33369
21920,23112,27894
27450,20634,31169
26294,21992,26651
28176,19941,30454
21960,23149,27876
27776,19660,33387
22000,23186,27858
27482,20858,25481
26360,21929,26586
22040,23223,27840
22080,23260,27822
26426,21866,26521
22120,23297,27804
27850,23243,22258
28212,19319,32979
22160,23334,27786
26492,21803,26456
40014,15549,30293
22200,23371,27768
28242,19878,30389
22240,23408,27750
26558,21740,26391
27548,20795,25416
22280,23445,27732
26624,21677,26326
22320,23482,27714
22360,23519,27696
28278,19256,32914
22400,23556,27678
26690,21614,26261
28304,19156,32867
22440,23593,27660
28308,19815,30324
26756,21551,26196
22480,23630,27642
27614,20732,25351
22520,23667,27624
26822,21488,26131
22560,23704,27606
22600,23741,27588
28344,19193,32849
26888,21425,26066
22640,23778,27570
28370,19093,32802
22680,23815,27552
28374,19752,30259
26954,21362,26001
22720,23852,27534
22760,23889,27516
27020,21299,25936
22800,23926,27498
22840,23963,27480
27086,21236,25871
22880,24000,27462
28410,19130,32784
27796,20688,25444
22920,24037,27444
24912,23974,25473
28440,19689,30194
24846,24037,25538
24978,23911,25408
25044,23848,25343
25110,23785,25278
25176,23722,25213
25242,23659,25148
25304,22937,27626
25278,23037,27673
25308,23596,25083
25238,23000,27691
28476,19067,32719
25212,23100,27738
27978,20644,25537
25172,23063,27756
28506,19626,30129
25344,22974,27608
25146,23163,27803
25106,23126,27821
25370,22874,27561
25374,23533,25018
28542,19004,32654
25410,22911,27543
28572,19563,30064
25436,22811,27496
28160,20600,25630
25440,23470,24953
28608,18941,32589
25476,22848,27478
28638,19500,29999
25502,22748,27431
27916,23180,22193
25506,23407,24888
28674,18878,32524
25542,22785,27413
28342,20556,25723
28704,19437,29934
25568,22685,27366
25572,23344,24823
40080,15486,30228
28740,18815,32459
