obj0,obj1,obj2,obj3
18444,16792,27882,29760
19143,17143,29452,29739
19198,17168,29468,29671
19253,17193,29484,29603
19308,17218,29500,29535
19363,17243,29516,29467
19418,17268,29532,29399
19446,17462,28687,26015
18503,16877,27866,29799
18562,16962,27850,29838
18621,17047,27834,29877
18680,17132,27818,29916
18739,17217,27802,29955
18798,17302,27786,29994
18857,17387,27770,30033
18916,17472,27754,30072
18975,17557,27738,30111
19034,17642,27722,30150
19093,17727,27706,30189
19152,17812,27690,30228
19211,17897,27674,30267
19270,17982,27658,30306
19329,18067,27642,30345
19388,18152,27626,30384
19447,18237,27610,30423
19506,18322,27594,30462
19548,16743,27560,30206
19600,16715,27414,30163
19652,16687,27268,30120
19704,16659,27122,30077
19756,16631,26976,30034
19808,16603,26830,29991
19570,17609,28802,26012
19694,17756,28917,26009
19818,17903,29032,26006
19942,18050,29147,26003
20066,18197,29262,26000
20190,18344,29377,25997
20314,18491,29492,25994
20438,18638,29607,25991
20562,18785,29722,25988
20686,18932,29837,25985
20810,19079,29952,25982
20934,19226,30067,25979
21058,19373,30182,25976
21174,17077,26613,25945
21226,17049,26467,25902
21263,17853,26374,25387
19860,16575,26684,29948
19912,16547,26538,29905
19964,16519,26392,29862
20016,16491,26246,29819
21387,18000,26489,25384
21511,18147,26604,25381
21635,18294,26719,25378
21759,18441,26834,25375
21883,18588,26949,25372
22007,18735,27064,25369
22131,18882,27179,25366
22255,19029,27294,25363
22379,19176,27409,25360
22503,19323,27524,25357
20068,16463,26100,29776
22576,18077,29604,25004
20120,16435,25954,29733
20172,16407,25808,29690
22700,18224,29719,25001
22824,18371,29834,24998
22948,18518,29949,24995
23072,18665,30064,24992
23113,20525,30251,24175
20224,16379,25662,29647
20261,17183,25569,29132
20276,16351,25516,29604
20328,16323,25370,29561
20387,16408,25354,29600
20446,16493,25338,29639
20505,16578,25322,29678
20564,16663,25306,29717
20623,16748,25290,29756
20682,16833,25274,29795
20741,16918,25258,29834
20800,17003,25242,29873
20859,17088,25226,29912
20918,17173,25210,29951
20977,17258,25194,29990
21036,17343,25178,30029
21095,17428,25162,30068
21154,17513,25146,30107
21213,17598,25130,30146
21272,17683,25114,30185
21331,17768,25098,30224
21390,17853,25082,30263
21449,17938,25066,30302
21469,17078,24955,29492
21521,17050,24809,29449
24789,20168,28323,24148
24841,20140,28177,24105
24893,20112,28031,24062
24945,20084,27885,24019
21573,17022,24663,29406
24997,20056,27739,23976
26033,22797,36164,23606
21625,16994,24517,29363
21677,16966,24371,29320
21729,16938,24225,29277
26243,21140,31168,23164
21781,16910,24079,29234
21833,16882,23933,29191
21885,16854,23787,29148
31694,27745,37416,22885
21937,16826,23641,29105
21989,16798,23495,29062
31904,26088,32420,22443
22041,16770,23349,29019
19496,16771,27706,30249
19316,17338,29436,29749
19257,17253,29452,29710
19430,17448,29436,29720
19371,17363,29452,29681
19312,17278,29468,29642
19426,17388,29468,29613
19367,17303,29484,29574
19422,17328,29500,29506
19505,17547,28671,26054
19564,17632,28655,26093
19623,17717,28639,26132
19682,17802,28623,26171
19741,17887,28607,26210
19800,17972,28591,26249
19859,18057,28575,26288
19918,18142,28559,26327
19977,18227,28543,26366
20036,18312,28527,26405
20095,18397,28511,26444
20154,18482,28495,26483
20213,18567,28479,26522
20272,18652,28463,26561
20331,18737,28447,26600
20390,18822,28431,26639
20449,18907,28415,26678
22093,16742,23203,28976
20508,18992,28399,26717
20550,17413,28365,26461
20602,17385,28219,26418
20654,17357,28073,26375
20706,17329,27927,26332
20758,17301,27781,26289
20810,17273,27635,26246
20862,17245,27489,26203
20914,17217,27343,26160
20960,17534,27139,29111
20966,17189,27197,26117
21015,17559,27155,29043
21018,17161,27051,26074
21070,17133,26905,26031
21122,17105,26759,25988
21278,17021,26321,25859
21330,16993,26175,25816
21389,17078,26159,25855
21448,17163,26143,25894
21507,17248,26127,25933
21566,17333,26111,25972
21625,17418,26095,26011
21684,17503,26079,26050
21743,17588,26063,26089
21802,17673,26047,26128
21861,17758,26031,26167
21920,17843,26015,26206
21979,17928,25999,26245
22038,18013,25983,26284
22097,18098,25967,26323
22627,19470,27639,25354
22635,18162,29588,25043
22694,18247,29572,25082
22145,16714,23057,28933
22751,19617,27754,25351
22753,18332,29556,25121
22812,18417,29540,25160
22156,18183,25951,26362
22871,18502,29524,25199
22875,19764,27869,25348
22930,18587,29508,25238
22215,18268,25935,26401
22989,18672,29492,25277
22991,17468,24300,25317
22274,18353,25919,26440
22333,18438,25903,26479
23043,17440,24154,25274
22392,18523,25887,26518
22451,18608,25871,26557
23196,18812,30179,24989
24113,20532,30221,24707
22471,17748,25760,25747
23095,17412,24008,25231
24165,20504,30075,24664
23147,17384,23862,25188
24217,20476,29929,24621
21417,17106,25101,29535
23271,17531,23977,25185
23395,17678,24092,25182
23519,17825,24207,25179
23643,17972,24322,25176
23767,18119,24437,25173
23891,18266,24552,25170
24015,18413,24667,25167
24139,18560,24782,25164
24373,20392,29491,24492
24263,18707,24897,25161
24269,20448,29783,24578
22523,17720,25614,25704
24387,18854,25012,25158
24393,18468,27291,24376
24321,20420,29637,24535
22575,17692,25468,25661
21365,17134,25247,29578
22627,17664,25322,25618
22679,17636,25176,25575
24517,18615,27406,24373
24529,20308,29053,24363
24581,20280,28907,24320
22731,17608,25030,25532
24633,20252,28761,24277
24685,20224,28615,24234
24737,20196,28469,24191
22783,17580,24884,25489
22939,17496,24446,25360
29930,25396,31035,23857
29982,25368,30889,23814
30034,25340,30743,23771
22835,17552,24738,25446
30086,25312,30597,23728
30138,25284,30451,23685
22419,17776,25906,25790
24511,19001,25127,25155
24635,19148,25242,25152
24759,19295,25357,25149
24883,19442,25472,25146
25007,19589,25587,25143
25131,19736,25702,25140
25255,19883,25817,25137
25379,20030,25932,25134
25503,20177,26047,25131
25627,20324,26162,25128
25751,20471,26277,25125
25875,20618,26392,25122
25999,20765,26507,25119
30190,25256,30305,23642
26123,20912,26622,25116
26247,21059,26737,25113
26371,21206,26852,25110
26495,21353,26967,25107
26619,21500,27082,25104
26743,21647,27197,25101
21454,17140,26290,25813
30242,25228,30159,23599
22367,17804,26052,25833
24641,18762,27521,24370
22844,17065,24627,28912
30294,25200,30013,23556
22887,17524,24592,25403
30346,25172,29867,23513
30398,25144,29721,23470
24765,18909,27636,24367
30450,25116,29575,23427
30502,25088,29429,23384
24889,19056,27751,24364
30554,25060,29283,23341
30606,25032,29137,23298
23320,18959,30294,24986
23444,19106,30409,24983
23568,19253,30524,24980
23692,19400,30639,24977
23816,19547,30754,24974
23940,19694,30869,24971
24064,19841,30984,24968
24183,20125,32287,24818
30658,25004,28991,23255
24307,20272,32402,24815
24188,19988,31099,24965
19473,17293,29548,29331
19528,17318,29564,29263
19583,17343,29580,29195
19638,17368,29596,29127
19693,17393,29612,29059
19748,17418,29628,28991
19803,17443,29644,28923
20498,17441,28511,26504
25013,19203,27866,24361
25137,19350,27981,24358
25261,19497,28096,24355
25385,19644,28211,24352
25509,19791,28326,24349
25633,19938,28441,24346
20840,17157,28658,29537
20889,17076,28350,29519
20892,17129,28512,29494
20895,17182,28674,29469
20941,17048,28204,29476
20944,17101,28366,29451
20947,17154,28528,29426
20996,17073,28220,29408
20999,17126,28382,29383
21002,17179,28544,29358
20886,17023,28188,29544
20993,17020,28058,29433
21048,17045,28074,29365
21051,17098,28236,29340
21054,17151,28398,29315
20938,16995,28042,29501
21045,16992,27912,29390
21100,17017,27928,29322
21103,17070,28090,29297
21106,17123,28252,29272
20990,16967,27896,29458
21097,16964,27766,29347
21152,16989,27782,29279
20935,16942,27880,29526
21155,17042,27944,29254
21158,17095,28106,29229
21042,16939,27750,29415
21578,17287,26405,25810
21702,17434,26520,25807
21826,17581,26635,25804
21950,17728,26750,25801
21149,16936,27620,29304
21204,16961,27636,29236
21207,17014,27798,29211
20987,16914,27734,29483
21210,17067,27960,29186
21094,16911,27604,29372
20932,16889,27718,29551
21201,16908,27474,29261
21256,16933,27490,29193
21259,16986,27652,29168
21039,16886,27588,29440
21262,17039,27814,29143
21146,16883,27458,29329
20984,16861,27572,29508
21308,16905,27344,29150
21253,16880,27328,29218
21311,16958,27506,29125
21091,16858,27442,29397
21314,17011,27668,29100
21198,16855,27312,29286
21036,16833,27426,29465
21360,16877,27198,29107
21305,16852,27182,29175
21363,16930,27360,29082
21366,16983,27522,29057
21143,16830,27296,29354
21415,16902,27214,29039
21418,16955,27376,29014
21467,16874,27068,28996
20981,16808,27410,29533
21470,16927,27230,28971
21412,16849,27052,29064
21473,16980,27392,28946
21522,16899,27084,28928
21250,16827,27166,29243
21525,16952,27246,28903
21577,16924,27100,28860
21088,16805,27280,29422
21580,16977,27262,28835
21632,16949,27116,28792
21357,16824,27036,29132
21687,16974,27132,28724
21195,16802,27150,29311
21033,16780,27264,29490
21302,16799,27020,29200
21140,16777,27134,29379
20978,16755,27248,29558
21247,16774,27004,29268
21085,16752,27118,29447
21192,16749,26988,29336
21030,16727,27102,29515
21137,16724,26972,29404
21082,16699,26956,29472
21027,16674,26940,29540
19444,16799,27852,30292
24312,20135,31214,24962
19481,17413,29484,29545
19536,17438,29500,29477
19477,17353,29516,29438
19532,17378,29532,29370
19587,17403,29548,29302
19642,17428,29564,29234
19697,17453,29580,29166
20446,17469,28657,26547
22703,17414,25875,28916
22706,17467,26037,28891
22755,17386,25729,28873
22758,17439,25891,28848
22752,17333,25567,28898
22761,17492,26053,28823
22810,17411,25745,28805
22813,17464,25907,28780
22807,17358,25583,28830
22816,17517,26069,28755
22749,17280,25405,28923
22862,17383,25599,28762
22865,17436,25761,28737
22868,17489,25923,28712
22804,17305,25421,28855
22917,17408,25615,28694
22920,17461,25777,28669
22923,17514,25939,28644
22914,17355,25453,28719
22859,17330,25437,28787
22969,17380,25469,28651
22972,17433,25631,28626
22975,17486,25793,28601
22801,17252,25259,28880
21141,16784,26940,29511
22966,17327,25307,28676
23021,17352,25323,28608
23024,17405,25485,28583
22911,17302,25291,28744
23027,17458,25647,28558
22856,17277,25275,28812
23018,17299,25161,28633
21200,16869,26924,29550
23073,17324,25177,28565
22963,17274,25145,28701
23076,17377,25339,28540
21196,16809,26956,29443
23079,17430,25501,28515
22908,17249,25129,28769
22798,17199,25097,28905
23070,17271,25015,28590
23125,17296,25031,28522
22853,17224,25113,28837
23128,17349,25193,28497
23131,17402,25355,28472
23015,17246,24999,28658
21255,16894,26940,29482
21251,16834,26972,29375
22960,17221,24983,28726
23122,17243,24869,28547
22905,17196,24967,28794
23177,17268,24885,28479
23180,17321,25047,28454
23183,17374,25209,28429
23067,17218,24853,28615
22850,17171,24951,28862
23232,17293,24901,28411
23235,17346,25063,28386
23229,17240,24739,28436
23012,17193,24837,28683
21314,16979,26924,29521
23284,17265,24755,28368
23287,17318,24917,28343
22795,17146,24935,28930
21310,16919,26956,29414
23290,17371,25079,28318
23174,17215,24723,28504
23339,17290,24771,28300
22957,17168,24821,28751
21306,16859,26988,29307
23342,17343,24933,28275
23394,17315,24787,28232
23119,17190,24707,28572
23397,17368,24949,28207
22902,17143,24805,28819
23449,17340,24803,28164
23064,17165,24691,28640
23504,17365,24819,28096
22847,17118,24789,28887
23009,17140,24675,28708
21365,16944,26972,29346
21420,16969,26988,29278
22954,17115,24659,28776
21361,16884,27004,29239
21416,16909,27020,29171
21471,16934,27036,29103
22899,17090,24643,28844
21526,16959,27052,29035
21581,16984,27068,28967
