obj0,obj1,obj2,obj3,cpu
34837,18178,21213,20315,0.35682
32773,19481,17579,18128,0.449849
27159,23517,21280,14190,0.553177
23432,25098,25971,14700,0.618378
31824,19192,23867,20930,0.629327
34426,18887,22276,21974,0.636343
26583,22565,21819,16188,0.642999
26613,25940,18864,10901,0.688268
25095,24820,17646,12003,0.705009
31075,20805,20079,18112,0.716522
22886,27521,23555,11411,0.726774
21368,26401,22337,12513,0.770679
19950,27741,24637,12737,0.776859
29760,20495,20233,18743,0.780276
32362,20190,18642,19787,0.787083
24519,23868,18185,14001,0.794169
23101,25208,20485,14225,0.80635
29596,21551,19165,15573,0.876963
31449,19646,24083,21676,0.967473
34051,19341,22492,22720,0.9781
29185,22260,20228,17232,0.990597
24915,27264,21364,10885,1.04921
29050,23974,16749,12284,1.05544
23397,26144,20146,11987,1.07365
27532,22854,15531,13386,1.07981
25834,24178,18031,13370,1.08912
29535,21907,21199,19197,1.11559
24684,25529,18709,13662,1.17189
23266,26869,21009,13886,1.18122
29385,20949,20449,19489,1.18882
31987,20644,18858,20533,1.19917
27121,23563,16594,15045,1.21254
34462,18632,21429,21061,1.23757
32548,20893,18545,18582,1.38535
32398,19935,17795,18874,1.41599
21468,28861,25855,11635,1.43942
28342,21835,22533,18967,1.53548
32001,19360,23836,21079,1.62647
31626,19814,24052,21825,1.62928
26760,22733,21788,16337,1.64026
23467,26148,20096,12047,1.6748
31145,20809,20029,18172,1.68922
25904,24182,17981,13430,1.69492
21545,26569,22306,12662,1.70173
24861,25697,18678,13811,1.70508
23336,26873,20959,13946,1.71004
29937,20663,20202,18892,1.71207
29562,21117,20418,19638,1.71673
32164,20812,18827,20682,1.72744
24696,24036,18154,14150,1.73089
27298,23731,16563,15194,1.74174
23171,25212,20435,14285,1.75396
32178,19528,23805,21228,1.77572
31803,19982,24021,21974,1.77891
26937,22901,21757,16486,1.78719
23537,26152,20046,12107,1.82522
31215,20813,19979,18232,1.84121
25974,24186,17931,13490,1.8471
21722,26737,22275,12811,1.85211
20020,27745,24587,12797,1.8576
30114,20831,20171,19041,1.86381
28412,21839,22483,19027,1.86584
29739,21285,20387,19787,1.86891
