obj0,obj1,obj2,obj3,cpu
21739,20838,25547,18120,0.275781
23252,21113,22811,17381,0.282006
29673,14261,29180,38560,0.325081
30996,14266,28446,38939,0.333294
31186,14536,26444,37821,0.337445
32509,14541,25710,38200,0.344257
22236,16148,24791,27656,0.348609
23559,16153,24057,28035,0.355527
23749,16423,22055,26917,0.359644
25072,16428,21321,27296,0.365955
21830,22224,24927,19640,0.405622
23343,22499,22191,18901,0.408457
28096,18206,25329,21888,0.429751
29609,18481,22593,21149,0.437621
25876,21758,23293,17319,0.44419
23403,19603,22116,18530,0.45933
24916,19878,19380,17791,0.467601
26373,17068,22537,26855,0.489263
27696,17073,21803,27234,0.497337
25239,17654,26805,23361,0.530884
26562,17659,26071,23740,0.540774
26752,17929,24069,22622,0.547574
28075,17934,23335,23001,0.557948
20546,19051,23592,20003,0.565184
21869,19056,22858,20382,0.575441
22059,19326,20856,19264,0.582733
23382,19331,20122,19643,0.593417
25117,20864,17890,19321,0.640494
27540,20523,19862,17729,0.683652
21870,23367,23868,19577,0.696289
23383,23642,21132,18838,0.70688
25047,22407,17701,19248,0.713055
24683,19971,21338,19202,0.730726
25625,18017,26065,25201,0.795177
19567,19177,21912,21413,0.850659
20890,19182,21178,21792,0.862347
21080,19452,19176,20674,0.874701
22403,19457,18442,21053,0.887402
27741,21509,18372,19259,0.901089
27671,23052,18183,19186,0.942279
23704,20097,19658,20612,0.987973
25027,20102,18924,20991,0.9946
30059,14624,28440,40400,1.031
22622,16511,24051,29496,1.10034
19953,19540,21172,23253,1.10406
27631,21909,19242,19249,1.16641
27620,21949,19329,19248,1.16706
23381,19683,22290,18528,1.17601
23370,19723,22377,18527,1.17665
24783,23367,19789,19224,1.18049
24772,23407,19876,19223,1.18169
30974,14346,28620,38937,1.20881
30963,14386,28707,38936,1.20949
26496,17899,26593,23734,1.21202
26485,17939,26680,23733,1.21358
32432,14821,26319,38193,1.22115
32421,14861,26406,38192,1.22186
23493,16393,24579,28029,1.23806
23482,16433,24666,28028,1.23873
21847,19136,23032,20380,1.24419
21836,19176,23119,20379,1.24543
22370,19577,18703,21050,1.25814
22359,19617,18790,21049,1.25941
23360,19411,20296,19641,1.26352
23349,19451,20383,19640,1.26484
27642,21869,19155,19250,1.26552
27986,18606,26199,21878,1.26917
27975,18646,26286,21877,1.26981
27309,21363,21689,17708,1.27285
27298,21403,21776,17707,1.2735
23392,19643,22203,18529,1.27688
23084,20763,24639,18501,1.27765
23073,20803,24726,18500,1.27827
24839,20158,19989,17784,1.28133
24828,20198,20076,17783,1.28203
24893,22967,18919,19234,1.28275
24882,23007,19006,19233,1.28418
24640,23887,20920,19211,1.28491
24629,23927,21007,19210,1.28618
27685,17113,21890,27233,1.28935
27674,17153,21977,27232,1.29001
30985,14306,28533,38938,1.32049
26529,17779,26332,23737,1.32715
26518,17819,26419,23736,1.3284
26474,17979,26767,23732,1.33037
32454,14741,26145,38195,1.33853
32443,14781,26232,38194,1.33921
28042,18054,23596,22998,1.34281
28031,18094,23683,22997,1.344
23515,16313,24405,28031,1.35672
23504,16353,24492,28030,1.3574
23471,16473,24753,28027,1.35853
20879,19222,21265,21791,1.35919
20868,19262,21352,21790,1.36049
21858,19096,22945,20381,1.37049
21781,19376,23554,20374,1.37124
22392,19497,18529,21052,1.38747
23371,19371,20209,19642,1.39877
23338,19491,20470,19639,1.40063
27730,21549,18459,19258,1.40136
27719,21589,18546,19257,1.40202
24974,21384,19021,19308,1.40387
24963,21424,19108,19307,1.40459
28019,18486,25938,21881,1.4065
28008,18526,26025,21880,1.40715
27898,18926,26895,21870,1.40779
29510,18841,23376,21140,1.41019
29499,18881,23463,21139,1.41086
27320,21323,21602,17709,1.41155
27660,23092,18270,19185,1.41409
27649,23132,18357,19184,1.41536
23117,20643,24378,18504,1.41779
23106,20683,24465,18503,1.41849
23040,20923,24987,18497,1.41919
23029,20963,25074,18496,1.41984
24905,19918,19467,17790,1.42308
24894,19958,19554,17789,1.42378
24608,20998,21816,17763,1.42448
24597,21038,21903,17762,1.42522
24904,22927,18832,19235,1.42593
24827,23207,19441,19228,1.42786
24816,23247,19528,19227,1.42917
24739,23527,20137,19220,1.43016
24728,23567,20224,19219,1.43148
25016,20142,19011,20990,1.4391
25005,20182,19098,20989,1.44036
30919,14546,29055,38932,1.47262
30908,14586,29142,38931,1.47333
26551,17699,26158,23739,1.4814
26507,17859,26506,23735,1.48212
32465,14701,26058,38196,1.49603
28064,17974,23422,23000,1.5026
27987,18254,24031,22993,1.5033
23526,16273,24318,28032,1.51564
21814,19256,23293,20377,1.54156
21803,19296,23380,20376,1.5429
22381,19537,18616,21051,1.56046
22326,19737,19051,21046,1.56243
22315,19777,19138,21045,1.56409
27708,21629,18633,19256,1.5904
25106,20904,17977,19320,1.59214
25095,20944,18064,19319,1.59283
28030,18446,25851,21882,1.59614
27997,18566,26112,21879,1.59749
27931,18806,26634,21873,1.59867
27920,18846,26721,21872,1.59937
29576,18601,22854,21146,1.6011
29565,18641,22941,21145,1.6018
27496,20683,20210,17725,1.60371
27485,20723,20297,17724,1.60442
27221,21683,22385,17700,1.60517
27210,21723,22472,17699,1.60594
23205,20323,23682,18512,1.61024
23194,20363,23769,18511,1.61089
23095,20723,24552,18502,1.61159
23062,20843,24813,18499,1.61283
23051,20883,24900,18498,1.61369
23018,21003,25161,18495,1.61486
24872,20038,19728,17787,1.6175
24861,20078,19815,17786,1.6183
24619,20958,21729,17764,1.61911
24586,21078,21990,17761,1.62032
24575,21118,22077,17760,1.62119
25003,22567,18049,19244,1.62193
24992,22607,18136,19243,1.6232
24838,23167,19354,19229,1.62572
24794,23327,19702,19225,1.6275
24761,23447,19963,19222,1.63044
24662,23807,20746,19213,1.63142
24651,23847,20833,19212,1.63266
24618,23967,21094,19209,1.63342
30941,14466,28881,38934,1.70391
30930,14506,28968,38933,1.70464
26540,17739,26245,23738,1.72011
32487,14621,25884,38198,1.73436
32476,14661,25971,38197,1.73513
28053,18014,23509,22999,1.74095
28009,18174,23857,22995,1.74173
27998,18214,23944,22994,1.74297
20577,18697,22512,22993,1.74523
20678,18649,22572,23151,1.74656
21771,18676,22252,26097,1.75181
21872,18628,22312,26255,1.75291
23548,16193,24144,28034,1.7685
20857,19302,21439,21789,1.77204
20846,19342,21526,21788,1.77331
21825,19216,23206,20378,1.80989
21792,19336,23467,20375,1.81067
22191,18924,19836,22412,1.81831
22292,18876,19896,22570,1.81942
24995,16708,21930,27289,1.83803
24984,16748,22017,27288,1.83883
22348,19657,18877,21048,1.84475
22337,19697,18964,21047,1.84633
23294,19651,20818,19635,1.88223
27675,21749,18894,19253,1.88446
27664,21789,18981,19252,1.8854
25062,21064,18325,19316,1.88834
25051,21104,18412,19315,1.88918
24952,21464,19195,19306,1.8899
24941,21504,19282,19305,1.8906
28041,18406,25764,21883,1.89339
27964,18686,26373,21876,1.8961
27909,18886,26808,21871,1.89704
29587,18561,22767,21147,1.89825
29532,18761,23202,21142,1.89946
29521,18801,23289,21141,1.90018
27507,20643,20123,17726,1.90227
27342,21243,21428,17711,1.90342
27331,21283,21515,17710,1.90418
27254,21563,22124,17703,1.90514
27243,21603,22211,17702,1.90585
27627,23212,18531,19182,1.91004
27616,23252,18618,19181,1.91127
23238,20203,23421,18515,1.91331
23227,20243,23508,18514,1.91406
23139,20563,24204,18506,1.91485
23128,20603,24291,18505,1.91564
22996,21083,25335,18493,1.91928
22985,21123,25422,18492,1.92005
24883,19998,19641,17788,1.924
24850,20118,19902,17785,1.92523
24751,20478,20685,17776,1.92641
24740,20518,20772,17775,1.92724
25014,22527,17962,19245,1.93012
24948,22767,18484,19239,1.93209
24937,22807,18571,19238,1.93342
24860,23087,19180,19231,1.93462
24849,23127,19267,19230,1.93589
24805,23287,19615,19226,1.93858
24750,23487,20050,19221,1.94514
24673,23767,20659,19214,1.94637
30943,15418,28641,38479,2.011
31044,15370,28701,38637,2.01184
30952,14426,28794,38935,2.03055
27704,17759,24477,25240,2.07372
27760,17749,24501,25394,2.07455
32498,14581,25797,38199,2.07801
28020,18134,23770,22996,2.09083
20173,18889,22272,22361,2.09628
20274,18841,22332,22519,2.09819
22496,17785,23652,25995,2.09889
22597,17737,23712,26153,2.09989
20963,19060,21772,24833,2.10759
21064,19012,21832,24991,2.10865
23185,18004,23092,28309,2.1097
23286,17956,23152,28467,2.1108
20938,18981,23760,21081,2.12169
20994,18971,23784,21235,2.12267
23537,16233,24231,28033,2.1265
20802,19502,21874,21784,2.13275
21888,19068,19656,21938,2.18602
21989,19020,19716,22096,2.18692
24918,17628,21456,26678,2.18756
25019,17580,21516,26836,2.18843
25039,16548,21582,27293,2.20092
25028,16588,21669,27292,2.20168
23327,19531,20557,19638,2.23686
27686,21709,18807,19254,2.23775
27653,21829,19068,19251,2.23943
25073,21024,18238,19317,2.24147
24996,21304,18847,19310,2.2427
24985,21344,18934,19309,2.2435
28085,18246,25416,21887,2.24811
28074,18286,25503,21886,2.24892
27942,18766,26547,21874,2.2497
29598,18521,22680,21148,2.25198
29543,18721,23115,21143,2.25329
27518,20603,20036,17727,2.25684
27474,20763,20384,17723,2.25802
27463,20803,20471,17722,2.25885
27287,21443,21863,17706,2.26099
27232,21643,22298,17701,2.26182
27638,23172,18444,19183,2.26699
23337,19843,22638,18524,2.27176
23326,19883,22725,18523,2.27262
23216,20283,23595,18513,2.27387
23172,20443,23943,18509,2.27488
23161,20483,24030,18508,2.27581
23007,21043,25248,18494,2.27755
23653,23414,21348,18862,2.28006
23698,23376,21384,18866,2.28096
24817,20238,20163,17782,2.28815
24630,20918,21642,17765,2.28905
24542,21238,22338,17757,2.29026
24531,21278,22425,17756,2.29102
25025,22487,17875,19246,2.29191
24959,22727,18397,19240,2.29585
24926,22847,18658,19237,2.29915
24871,23047,19093,19232,2.30128
24717,23607,20311,19218,2.31304
25295,17644,26829,23515,2.35255
25351,17634,26853,23669,2.35355
25681,18007,26089,25355,2.35835
27368,17819,24333,24316,2.41332
27424,17809,24357,24470,2.41423
28040,17699,24621,26164,2.41485
19870,19033,22092,21887,2.44743
19971,18985,22152,22045,2.44854
20375,18793,22392,22677,2.44978
22092,17977,23412,25363,2.45053
22193,17929,23472,25521,2.45169
22698,17689,23772,26311,2.4525
22799,17641,23832,26469,2.45343
20862,19108,21712,24675,2.46447
21670,18724,22192,25939,2.46637
22882,18148,22912,27835,2.46822
22983,18100,22972,27993,2.46943
20882,18991,23736,20927,2.48625
21330,18911,23928,22159,2.48745
21386,18901,23952,22313,2.4883
22495,18454,22225,24319,2.49194
22596,18406,22285,24477,2.49295
