obj0,obj1,obj2,obj3,cpu
1667,2836,2599,2079,0.0816579
1113,2767,2533,2903,0.0816663
1257,1987,2737,2993,0.0816743
2748,3146,2460,1285,0.08168
3198,2339,2139,1841,0.081691
3524,3779,956,2352,0.0817103
3261,2500,1426,2331,0.0817175
2321,2735,2893,1507,0.0817259
2942,1553,2040,2994,0.0817417
2836,1898,1812,2963,0.0817625
2272,3177,1380,3266,0.0817884
2584,3637,1610,2176,0.0818032
2813,3873,1033,2773,0.0818226
3200,2997,2007,1547,0.0818335
3333,3229,1335,2069,0.0818552
1881,2127,2844,2201,0.0818777
2202,1836,2387,2591,0.0818967
2149,1597,2418,3265,0.0819366
2773,1737,2525,2473,0.0819515
2842,2492,2687,1654,0.0819718
3367,2155,1654,2362,0.0820008
2622,3323,1412,2490,0.082021
1934,2680,1964,2816,0.082046
2485,3027,1750,2279,0.0820907
1603,3157,1977,3222,0.0821294
1629,3322,1900,3633,0.0821382
1139,2932,2456,3314,0.0821518
2412,2463,2330,2021,0.0821614
2111,2108,2950,2077,0.0822075
1998,2020,2204,3126,0.0822301
2811,3215,1165,3067,0.0822465
2620,2665,1544,2784,0.0822703
2704,1878,2808,2313,0.0823131
2795,1606,2245,2827,0.0823342
3522,3121,1088,2646,0.0823661
3129,2480,2422,1681,0.082388
2324,3228,2272,1733,0.0824083
2050,1943,2359,2722,0.0824379
3391,3547,1628,1830,0.0825114
2169,2842,2865,1638,0.0825211
2340,3614,1325,3317,0.082546
3220,2208,1859,2195,0.0825555
2166,3260,2230,1946,0.0825946
2474,2746,2617,1733,0.104621
2773,2586,2440,1769,0.104654
2973,3170,2248,1600,0.104675
2823,3524,1166,2729,0.162578
3131,3138,2290,1387,0.162613
1773,2881,2486,2270,0.162701
1897,2817,2705,1955,0.162735
2288,2527,2111,2336,0.162777
3628,2776,1316,2677,0.162849
3264,3370,1618,1909,0.162861
1283,2152,2660,3404,0.162884
1487,1968,2843,2869,0.162901
2909,2945,1938,1831,0.162938
2917,2870,1393,3098,0.162996
2080,1738,2701,3105,0.163018
3439,2884,1563,2100,0.163039
2150,1913,2232,2995,0.163058
1435,2045,2688,3273,0.16309
1545,2702,2758,2430,0.163112
1697,2595,2786,2299,0.163158
2537,2058,1989,2927,0.18464
2474,1897,2702,2437,0.184709
2971,2512,2380,1894,0.18474
2537,2907,1904,2223,0.184759
3034,2673,1667,2384,0.184794
1850,1757,2595,3229,0.18482
3097,2519,1474,3278,0.184862
3389,2889,1760,2124,0.184878
2040,2292,2226,2766,0.184901
1508,2611,2451,3014,0.201823
2062,2680,2517,2190,0.201895
2489,3091,2084,1968,0.201945
1652,1831,2655,3104,0.20198
2276,1971,2762,2312,0.202027
2339,2132,2049,2802,0.202086
2487,2433,2216,2262,0.202146
2195,2912,1845,2712,0.202199
1906,2723,2155,2632,0.234248
2260,2570,2302,2152,0.234333
2668,3266,2496,1505,0.2344
3086,3643,1876,1735,0.234429
2991,3097,2350,1527,0.234455
2989,2439,2482,1821,0.234496
1854,2800,2000,3036,0.234531
1291,2825,2484,3183,0.255993
1343,2748,2639,2779,0.256087
2002,3117,1909,2867,0.256136
3192,2641,1709,2171,0.256159
2553,3464,1695,2330,0.256231
3292,2937,1768,1933,0.256263
2157,3226,2043,2398,0.271947
2371,2517,2288,2520,0.271983
1817,2448,2222,3344,0.272012
2395,3496,1653,2543,0.281707
3106,3402,1576,2122,0.28177
1896,3072,2022,2676,0.281815
1612,3191,2164,2770,0.281865
2393,2838,1785,2837,0.281905
2149,2446,2333,2561,0.287124
2836,2747,1727,2259,0.287192
2643,1713,2217,2958,0.309264
3140,2328,1895,2415,0.30936
3203,2174,1702,3309,0.309415
3630,3434,1184,2383,0.309441
3247,3442,1354,2281,0.309466
2558,2481,1689,3477,0.3095
2393,1864,2122,3237,0.338638
2445,1787,2277,2833,0.338741
2149,3064,1704,3034,0.338811
2177,2631,1854,3058,0.338864
1678,1996,2578,3515,0.338921
2726,2320,1772,2815,0.338956
2564,2686,2783,1749,0.339039
1534,2776,2374,3425,0.33907
2655,2414,2220,2263,0.339099
2016,2832,2376,2512,0.339146
3080,2167,1919,2335,0.339182
2818,2466,1736,2605,0.339259
1940,2546,2676,2541,0.339328
2531,2478,2001,2578,0.33939
2728,2978,1640,2521,0.339448
2790,2899,1586,2581,0.339487
2942,2402,1955,2290,0.339543
2503,2911,1851,2554,0.339616
2197,2799,2674,1822,0.348272
2933,2220,2124,2168,0.348359
2579,2373,1977,2648,0.348459
2058,2616,2183,2501,0.367457
1842,3172,2270,2646,0.367591
3097,3368,1389,2574,0.373074
2347,2372,2273,2686,0.384319
2380,2551,2475,2068,0.384396
2646,2212,2096,2722,0.39379
2610,2404,1844,3073,0.419456
1843,2613,2145,3755,0.41966
2111,3378,1902,2720,0.419724
2396,3113,1599,2951,0.419764
2405,3147,1786,2499,0.432979
3212,3057,1804,2153,0.43307
2829,3065,1974,2051,0.433109
1922,3237,1945,3087,0.433148
2627,2847,2070,2239,0.44562
2365,2297,1972,3213,0.445701
2301,2567,2073,2743,0.45892
2551,2806,1827,2624,0.46759
2643,2952,1791,2414,0.467696
2771,2331,2059,2490,0.477244
