obj0,obj1,obj2,obj3,obj4,cpu
1494,3532,2394,2793,2810,0
1957,2933,2405,3019,2416,0
2772,3206,2303,1719,3216,0
1843,3525,1855,3039,3016,0
2782,2945,1893,2784,2315,0
2155,3540,2207,1742,3332,0
1813,3700,3410,2310,1978,0
3079,3855,2170,3238,1582,0
2943,3185,1930,2588,2098,0
2668,3537,1343,2804,2915,0
1078,3479,3571,2698,3455,0
1786,2810,3024,3257,2621,0
2771,3619,1294,2618,3182,0
2788,3629,1458,2947,2531,0
1757,3568,2790,1958,2827,0
2523,2933,2443,2781,1849,0
1323,3409,3013,3031,3015,0
2651,2977,2456,2209,2825,0
3296,3473,2701,2943,1186,0
2682,3147,3014,2947,1267,0
2427,3811,3210,2895,1337,0
2902,3037,2008,2927,1931,0
2282,3480,1785,2517,2641,0
1987,2912,3391,2269,2538,0
1933,3592,2854,1780,2934,0
2931,3360,3143,2782,1110,0
2541,3597,1765,2029,3606,0
2216,2941,2942,2384,2252,0
2347,3463,1834,2737,2412,0
2365,3573,1701,2207,3499,0
2885,3027,1844,2598,2582,0
2393,3302,3409,2246,1794,0
2853,3309,2449,1854,2857,0
2550,3258,2950,1757,2818,0
2422,2948,2905,2094,3111,0
1536,3533,2354,2642,3419,0
2045,2818,3561,2622,2457,0
2352,2810,3062,3019,2054,0
1408,3816,3523,2626,2668,0
1249,3602,2952,2460,3250,0
1541,2880,3582,2924,3061,0
1483,3363,3458,2382,2765,0
2989,3266,3313,3135,1029,0
2060,3532,2432,2555,2243,0
1466,3646,2908,2032,3587,0
2375,3155,3513,2550,1670,0
3002,3228,1832,2308,2792,0
2385,3562,1736,2331,2908,0
1363,3564,2957,2218,3320,0
1192,3441,3576,2456,3525,0
1712,3003,2963,2686,2856,0
2611,2822,2512,3022,2520,0
2480,2854,3075,2447,3030,0
3354,3379,2871,3296,1105,0
3133,3103,2241,3066,1650,0
2219,3746,3003,2721,1661,0
2655,2861,2561,3116,2093,0
1989,3724,3474,2132,2085,0
2583,2876,3295,3158,1773,0
2640,3134,2431,2491,2059,0
2333,3142,2930,2094,2462,0
2754,3059,2407,2023,3092,0
2606,3390,3570,2109,1969,0
2714,3742,2612,3077,1506,0
1597,3614,2345,2607,3077,0
1715,3808,3024,3023,2265,0
1352,3684,2903,2274,3517,0
1582,3028,3504,2585,3228,0
1692,2906,3684,2723,3199,0
2439,3636,1997,2701,2325,0
3174,3251,2163,2727,1817,0
2503,3051,3051,2229,2752,0
1863,3029,3065,2485,2994,0
2312,3696,2419,1926,3016,0
2017,2876,3257,3396,2340,0
1554,3475,3246,3170,2734,0
2886,2927,2794,3255,1812,0
1733,3054,3606,2384,3366,0
2324,3472,2691,3015,2120,0
2670,3702,2230,2840,2044,0
2264,3052,2704,3207,2178,0
2308,3668,2560,2126,2835,0
2041,3578,2202,1984,3262,0
2658,3244,2298,1961,3146,0
2506,3677,2405,2903,1830,0
1365,3410,2973,2880,3624,0
2537,3015,2451,2451,2755,0
1871,3217,3534,2852,2274,0
2178,3209,3035,3249,1871,0
2200,3000,3552,2132,2713,0
1962,3438,3021,2301,2911,0
3215,3343,2119,2568,2066,0
2674,3730,2089,2640,2225,0
1827,2958,2946,2918,2788,0
1966,3111,3016,2299,3261,0
3134,3240,1973,2433,2425,0
3273,3249,2289,2921,1985,0
2097,3079,2453,2874,2751,0
2768,3178,2444,1919,3035,0
2151,3512,2348,1942,3151,0
2849,3281,2590,2054,2676,0
2899,3146,1881,2494,2525,0
1980,3230,3053,2195,3204,0
2374,3234,2886,1935,2711,0
2663,3079,2491,2636,2184,0
1672,3402,2474,3277,3221,0
2912,3292,2620,2471,2027,0
2163,3614,2383,2369,2510,0
1983,3671,1903,2894,3351,0
2640,3097,2402,2265,3022,0
3123,3313,2638,3157,1386,0
2176,3340,2453,2975,2617,0
1676,3679,2402,2497,3754,0
2308,2986,2900,2336,3041,0
3060,3787,1647,2927,2499,0
1753,3540,2931,2158,2646,0
2037,3550,2343,2184,3081,0
2546,3230,3091,1957,2637,0
1929,3564,2995,1980,2753,0
2361,3545,1842,2407,3318,0
2871,3200,2664,2630,1778,0
2830,3052,2742,2969,1611,0
2040,3471,2333,2340,2815,0
2537,3569,1906,2229,3425,0
3019,3695,1691,3086,2250,0
1829,3204,2951,2396,3066,0
2654,3216,2439,2161,2965,0
2429,3029,3103,2247,2427,0
3042,3183,2056,2782,2266,0
2083,3312,3004,2009,3471,0
1881,3335,2875,2166,3270,0
2696,3009,2483,2777,2260,0
2652,2970,2434,2683,2687,0
2192,3460,2550,2890,2487,0
2243,3369,2545,2880,2479,0
1852,3149,3011,2541,3191,0
2356,3087,2990,2239,2587,0
2532,3111,3054,2061,2694,0
2091,3368,2369,2631,3437,0
1770,3294,2860,2564,2934,0
2021,3421,3192,2918,2081,0
2308,3352,2594,3100,2250,0
1767,3373,2870,2408,3200,0
1659,3387,3522,2204,2872,0
2497,3414,1962,3042,3120,0
2673,3465,2152,3261,2326,0
2541,3453,2011,3136,2693,0
2393,2958,2984,2680,2221,0
2267,3392,2433,2453,3544,0
2135,3407,2418,2725,3010,0
1889,3409,3051,2793,2448,0
2808,3133,2668,2393,2509,0
2074,3134,2393,2729,2626,0
2305,3200,2626,2868,2345,0
2371,3679,2590,2543,2186,0
2097,3710,2822,2336,2413,0
3003,3221,2523,3014,1770,0
2273,3734,2886,2158,2520,0
2100,3631,2812,2492,2147,0
3164,3461,2560,2818,1553,0
2890,3400,2982,2135,2404,0
2758,3415,2967,2407,1870,0
2714,3376,2918,2313,2297,0
2799,3348,3002,2657,1477,0
3120,3422,2511,2724,1980,0
2503,3756,2415,2747,2096,0
2629,3426,2103,3167,2753,0
2366,2892,3070,2689,2960,0
2258,2906,3722,2485,2632,0
2654,3582,2133,2925,2174,0
2367,3651,2731,2743,2005,0
2698,3255,2488,2255,2538,0
2150,3644,2154,3227,2778,0
2911,3215,2619,2207,2776,0
2214,3280,2441,2584,2961,0
3083,3331,1978,2443,2433,0
2445,3346,2674,2723,2680,0
1801,3651,2693,2981,2572,0
3252,3434,2652,2849,1613,0
2254,3866,3034,2520,2097,0
2792,3924,2768,3056,1413,0
2816,3321,3137,2760,1789,0
2430,3890,3098,2342,2204,0
2971,3503,3128,2270,2045,0
2660,3912,2627,2931,1780,0
2253,3559,2494,2203,2990,0
2593,3627,1943,2505,2584,0
2780,3280,2479,2346,2394,0
2711,3821,2622,2921,1772,0
2485,3328,3334,3437,1633,0
1988,3418,3522,2562,2484,0
2313,3719,2973,2355,2322,0
