obj0,obj1,obj2,obj3,obj4,cpu
1494,3532,2394,2793,2810,0.508342
1957,2933,2405,3019,2416,0.508354
2772,3206,2303,1719,3216,0.508365
1843,3525,1855,3039,3016,0.508379
2782,2945,1893,2784,2315,0.508399
2155,3540,2207,1742,3332,0.508437
1813,3700,3410,2310,1978,0.508456
3079,3855,2170,3238,1582,0.508482
2943,3185,1930,2588,2098,0.508495
2668,3537,1343,2804,2915,0.508529
1078,3479,3571,2698,3455,0.508565
1786,2810,3024,3257,2621,0.508598
2771,3619,1294,2618,3182,0.508631
2788,3629,1458,2947,2531,0.508681
1757,3568,2790,1958,2827,0.508691
2523,2933,2443,2781,1849,0.508739
1323,3409,3013,3031,3015,0.508821
2651,2977,2456,2209,2825,0.508853
3296,3473,2701,2943,1186,0.508905
2682,3147,3014,2947,1267,0.50892
2427,3811,3210,2895,1337,0.508941
2902,3037,2008,2927,1931,0.50897
2282,3480,1785,2517,2641,0.508992
1987,2912,3391,2269,2538,0.509137
1933,3592,2854,1780,2934,0.50922
2931,3360,3143,2782,1110,0.50924
2541,3597,1765,2029,3606,0.509275
2216,2941,2942,2384,2252,0.5093
2347,3463,1834,2737,2412,0.509377
2365,3573,1701,2207,3499,0.509439
2885,3027,1844,2598,2582,0.509471
2393,3302,3409,2246,1794,0.509524
2853,3309,2449,1854,2857,0.509596
2550,3258,2950,1757,2818,0.509651
2422,2948,2905,2094,3111,0.509728
1536,3533,2354,2642,3419,0.509815
2045,2818,3561,2622,2457,0.509862
2352,2810,3062,3019,2054,0.509893
1408,3816,3523,2626,2668,0.509946
1249,3602,2952,2460,3250,0.509988
1541,2880,3582,2924,3061,0.510037
1483,3363,3458,2382,2765,0.510077
2989,3266,3313,3135,1029,0.510175
2060,3532,2432,2555,2243,0.510201
1466,3646,2908,2032,3587,0.510344
2375,3155,3513,2550,1670,0.510379
3002,3228,1832,2308,2792,0.510446
2385,3562,1736,2331,2908,0.510526
1363,3564,2957,2218,3320,0.510618
1192,3441,3576,2456,3525,0.510723
1712,3003,2963,2686,2856,0.51076
2611,2822,2512,3022,2520,0.510866
2480,2854,3075,2447,3030,0.510894
3354,3379,2871,3296,1105,0.51093
3133,3103,2241,3066,1650,0.510964
2219,3746,3003,2721,1661,0.511015
2655,2861,2561,3116,2093,0.511131
1989,3724,3474,2132,2085,0.511157
2583,2876,3295,3158,1773,0.51119
2640,3134,2431,2491,2059,0.511235
2333,3142,2930,2094,2462,0.511424
2754,3059,2407,2023,3092,0.511573
2606,3390,3570,2109,1969,0.511702
2714,3742,2612,3077,1506,0.511733
1597,3614,2345,2607,3077,0.511779
1715,3808,3024,3023,2265,0.511853
1352,3684,2903,2274,3517,0.511903
1582,3028,3504,2585,3228,0.511967
1692,2906,3684,2723,3199,0.796704
2439,3636,1997,2701,2325,0.796786
3174,3251,2163,2727,1817,0.796836
2503,3051,3051,2229,2752,0.796914
1863,3029,3065,2485,2994,0.796954
2312,3696,2419,1926,3016,0.797023
2017,2876,3257,3396,2340,0.797088
1554,3475,3246,3170,2734,0.797153
2886,2927,2794,3255,1812,0.797217
1733,3054,3606,2384,3366,0.797262
2324,3472,2691,3015,2120,0.797297
