obj0,obj1,obj2,obj3,obj4,cpu
2990,2900,2883,2682,1633,0.758924
3736,1146,3006,2363,2887,0.758933
3457,1277,3060,2586,2347,0.758943
2598,2050,1954,2983,2980,0.758963
3548,1788,2876,2248,2291,0.758982
2605,3158,2849,2702,1796,0.759017
1923,3536,2638,2941,2361,0.759039
2050,2540,2507,3176,2614,0.759057
2681,1459,3231,3000,2704,0.759096
3740,2305,2854,1595,2847,0.759116
3614,2462,1761,2299,2746,0.759139
2793,3212,3015,1752,2514,0.759184
2663,2768,3070,3229,1659,0.759209
3379,1856,2734,1994,2941,0.759244
2048,2776,3102,3649,2040,0.759339
3169,2238,1815,2744,2640,0.759359
3305,2492,1843,2166,2863,0.759468
3523,1951,1945,2637,2802,0.759527
2401,3305,2775,1892,2868,0.75959
2976,2644,1657,2357,3270,0.759644
3032,2425,2764,2247,2228,0.75971
3178,2954,3049,1732,2351,0.759895
3035,1172,3361,2893,2866,0.759927
3158,1597,3009,2744,2264,0.759979
3753,2293,1931,2197,2753,0.76004
3371,1948,3072,3202,1793,0.760098
1983,2910,2264,2995,2798,0.760119
2111,3590,2804,1991,3079,0.760187
3039,3123,2879,1834,2344,0.760201
2561,3354,2742,2883,1837,0.760269
3072,2268,3021,3360,1710,0.760347
3074,2032,2426,2887,2284,0.760385
3211,2278,2517,3036,2025,0.760505
2946,3096,2776,2863,1674,0.760557
3355,2563,2820,1615,3010,0.760654
3067,2907,2355,1801,3366,0.760704
3827,1657,2822,2025,2831,0.760766
3781,1669,3129,2163,2398,0.760834
3690,1158,3313,2501,2454,0.760887
3308,2069,1985,2642,2647,0.760927
3333,1868,3041,2132,2508,0.761012
2621,2728,2368,2937,2274,0.761129
2619,2964,2963,3410,1700,0.761283
2365,3075,2156,2499,2851,0.761326
2776,1665,2620,2857,3060,0.761476
3130,1378,2750,2750,3222,0.761585
3462,2459,2888,2864,1737,0.761671
3459,2814,2595,1661,3012,0.761716
3844,2556,2629,1641,2849,0.761755
3509,1802,3262,3038,1852,0.761826
2228,2155,3173,3050,2694,0.761857
2673,2941,2609,1854,3575,0.761922
2141,2803,3205,2620,2710,0.761991
2686,2929,1686,2456,3481,0.762097
2075,3360,2185,2598,3062,0.762164
2594,2479,1765,2853,3217,0.76221
3705,2725,2459,1743,2842,0.762335
2819,1897,2845,2465,3401,0.762478
3598,1292,2816,2527,2828,0.762565
2595,2130,3243,3616,2150,0.762744
2488,2657,2743,2322,2852,0.762827
3261,2688,1736,2347,2904,0.763026
3003,2893,2260,2441,2327,0.763089
3167,2474,2410,3217,2066,0.763253
3555,2486,2991,1835,2407,0.763323
2777,3192,2384,1900,3577,0.763425
2641,2282,2179,2591,3321,0.763461
3046,1813,2167,2893,3242,0.763613
3600,2313,3078,2700,1796,0.763675
2198,2942,2772,2421,3063,0.763728
2690,2500,1875,2586,3244,0.763789
2074,3173,2962,2439,2894,0.763892
3788,2367,3244,1750,2514,0.763964
3210,2122,3211,3196,1769,0.764011
2760,2293,2577,2284,3559,0.764107
3607,1516,2528,2494,2782,0.764263
1981,3146,2859,3468,2224,0.764517
3176,1187,3117,2834,3347,0.764599
2644,1859,2321,3067,3105,0.764649
2161,2525,2930,2869,2878,0.764712
2460,2205,2981,2711,2961,1.02402
3241,2002,2544,2158,2882,1.02439
3060,2646,2493,2695,2280,1.02475
3104,2450,2600,2514,2239,1.02492
3552,2251,2688,2545,2129,1.0251
2976,1568,3093,2712,3024,1.02527
3508,2447,2581,2726,2170,1.02538
3014,2658,2800,2833,1847,1.02549
3689,1803,2632,2189,2772,1.02568
3117,1583,2849,2653,3505,1.02586
3417,1936,2765,3064,2226,1.02596
3058,2683,2643,1834,3412,1.02609
3004,1973,3002,2636,2337,1.02621
2918,2644,3014,3252,1783,1.02649
3311,2759,2713,1796,3051,1.02662
2870,2629,2477,2784,2694,1.02674
3696,2501,2747,1776,2888,1.02696
2523,2968,3097,2124,2763,1.58376
3656,2502,2463,2591,2131,1.58436
3698,2027,2344,2156,2726,1.58455
3931,1908,2597,2071,2833,1.58493
2757,2982,2396,2359,2497,1.58506
3253,1803,2398,2601,2620,1.58532
3256,2274,2147,2171,2940,1.58582
2045,3199,2960,3173,2256,1.58605
2705,2293,2951,2794,2254,1.58616
3142,2724,2430,2339,2334,1.58655
2432,2705,2399,2680,2667,1.58681
3519,2256,2372,2442,2390,1.58742
3840,1397,2781,2409,2889,1.58771
3483,2107,2509,2040,2943,1.58787
3428,1745,2556,2780,2446,1.58801
3612,2698,2356,2772,2172,1.58819
2637,2711,1990,2461,3558,1.58832
2890,2239,3105,3328,2470,1.80258
3555,1790,2955,2900,2285,1.80287
2983,2266,3208,2299,3140,1.80299
2374,2876,2993,3327,2407,1.80322
2467,2903,3096,2298,3077,1.80335
3124,2281,2964,2240,3621,1.80348
3265,2306,3017,2162,2335,1.85967
2880,2564,2983,2182,2498,1.85997
2742,2710,2793,2346,2439,1.86034
3391,1478,3262,2659,2371,2.18799
3208,2701,2375,2560,2241,2.18819
3756,1832,2198,2552,2909,2.18851
3259,1851,2289,2647,2724,2.1886
2760,2559,2538,2835,2281,2.18874
2851,2822,3236,2279,2377,2.18904
3437,1466,2955,2521,2804,2.18917
2596,2286,2549,3456,2406,2.1894
2713,3178,2289,2540,2538,2.30494
3345,2253,2319,2204,2884,2.30508
2712,2991,3066,2381,2370,2.30523
3415,3010,2488,1842,3053,2.30537
3212,2470,2040,2352,2981,2.30562
3299,1612,2765,2685,2745,2.30584
3011,2671,3117,2223,2453,2.3759
2749,3408,2908,1933,2555,2.37613
3152,2512,2990,2669,1906,2.43792
3707,1614,2502,2557,2986,2.80808
2597,1894,2648,3143,2724,2.80828
3661,1626,2809,2695,2553,2.80851
3704,2075,2235,2202,2830,2.80862
2951,1607,2778,3036,2886,2.80873
3307,1913,2679,2802,2391,2.80891
3752,2137,2625,2357,2497,2.80906
3162,2060,2821,3041,2102,2.80918
2795,2604,2931,2086,3470,2.80937
3105,1929,3530,2531,3035,2.80957
3092,1622,2534,2977,3367,2.80967
2233,3253,3126,2223,2974,2.80978
3180,2346,2965,2066,3307,2.8099
2949,1843,3373,3509,2312,2.81009
3486,1684,2651,2516,2727,2.91398
3154,2259,2323,2231,3350,2.91441
2938,2174,3204,2709,2361,2.91474
2864,2544,2352,2330,3561,2.91497
2772,2094,2431,2727,3297,2.9151
2610,2320,3065,2554,2747,2.91534
2868,2115,2541,2460,3324,2.91561
2822,1474,2987,2941,3185,2.91591
3134,2537,2598,1982,3182,3.41018
3043,2274,1900,2538,3086,3.41075
2798,2181,3073,2562,3254,3.41122
2142,2990,2428,2779,2878,3.47179
3304,2336,2537,2326,2607,3.47207
2544,2491,2711,2985,2699,3.4725
2592,2553,3101,3140,2366,3.47272
2593,2709,2407,2980,2622,3.47291
2689,2344,2569,2746,2988,3.47309
2773,1909,3152,2603,2968,3.50698
3221,1889,2566,2412,3166,3.58977
3126,1683,3177,2555,2810,3.59022
3126,1807,2561,2620,3459,3.59048
2320,2605,3094,2653,2958,3.59066
3164,2897,2268,2741,2282,3.68367
3166,2482,2347,2490,2548,3.68398
3004,2020,2855,2323,2915,3.85846
3195,2014,2851,2296,2449,3.85905
2714,2305,2884,2422,3126,3.85949
3237,1854,3255,2551,2444,3.876
2685,2742,2463,2297,3313,4.01449
3133,2381,3292,2142,2926,4.01516
2684,2586,3157,2457,3057,4.01535
2547,2068,2853,3461,2483,4.01549
2543,2497,2664,3331,2720,4.01578
2751,2216,3400,2638,2873,4.01592
2752,2372,2706,2478,3129,4.01606
2498,2303,2720,3086,2876,4.05612
3208,2322,2751,2745,2543,4.05649
2589,2566,3418,2530,2972,4.05678
2496,2539,3315,3559,2302,4.05693
2975,2441,2498,2830,2436,4.30227
3521,2187,2540,3110,2228,4.3029
3011,2718,2970,1910,3031,4.37762
3244,2552,3370,2138,2560,4.39379
3056,2498,3204,3088,1842,4.4372
3145,2035,2611,2264,3396,4.4679
2591,2559,3054,3486,2387,4.5715
2592,2715,2360,3326,2643,4.57185
2593,2323,2459,3013,2961,4.57202
3022,2453,2024,2441,3395,4.61228
2731,2551,2830,2381,3438,4.61273
2640,2288,2132,2937,3342,4.61292
2995,1831,3066,3371,2745,4.6131
2843,2666,3321,2241,3137,4.75757
3267,1698,2933,2496,3291,4.83123
3228,2354,3178,2382,2433,4.89132
3323,2560,2567,2239,2789,4.89163
3569,1760,2312,2721,2927,4.94862
3403,2625,3210,1770,2677,5.01879
