obj0,obj1,obj2,cpu
987,4587,4369,0.0898771
1574,3298,4121,0.0898844
4468,2052,2202,0.0898906
3139,4584,1730,0.0899015
3951,4172,1611,0.0899156
4862,781,4154,0.0899225
3019,4339,1874,0.0899273
2453,4836,2116,0.0899332
3048,4095,1934,0.0899384
1180,3911,4548,0.0899473
1262,3680,4429,0.0899522
2154,2844,3596,0.0899587
1949,3948,3071,0.0899694
4063,3760,1649,0.0899906
4246,3290,1751,0.0900057
4563,2574,1972,0.0900215
3197,2226,2911,0.0900336
3136,3103,2266,0.0900454
2942,1818,3795,0.0900553
4858,968,3699,0.0900641
4316,1003,3930,0.090081
4765,1615,2645,0.090087
2291,2506,3805,0.0900951
3869,2010,2608,0.0901005
4169,1869,2545,0.0901127
2329,4484,2330,0.0901225
1449,4771,3433,0.090131
1422,4830,3464,0.0901383
2573,5081,1972,0.0901446
1069,4356,4250,0.0901545
1096,4297,4219,0.0901824
2605,2432,3386,0.0902011
2737,2130,3543,0.0902128
2457,3253,2851,0.0902234
1478,4527,3493,0.090254
3171,3700,2001,0.0902659
4168,2193,2265,0.0902729
4134,962,4556,0.0902822
4129,996,4254,0.0902901
4672,806,4265,0.0903062
3269,1503,4338,0.0903149
2450,2266,4007,0.0903216
3907,1055,4672,0.0903297
4972,1176,3320,0.0903364
5008,1569,2697,0.09035
4762,1924,2302,0.0903568
4465,1542,2846,0.0903652
4355,1835,2496,0.0903946
1472,3315,4599,0.0904167
4351,1334,3225,0.0904237
2485,3952,2387,0.0904358
1828,4954,2906,0.0904465
2426,4895,2147,0.0904544
2767,2900,2793,0.0904622
1444,3387,4468,0.0904733
4151,2768,1981,0.0904808
3763,3901,1712,0.0905026
4383,875,4536,0.0905136
3780,1140,4524,0.0905216
3902,1089,4370,0.090532
5359,1766,2442,0.0905414
5116,1812,2390,0.0905493
1761,3025,4289,0.0905585
1920,2785,4491,0.0905678
3920,1478,3314,0.0905785
4007,1719,2870,0.0906001
2264,3929,2672,0.0906108
3051,3455,2145,0.0906257
2570,3600,2508,0.0906371
1855,4895,2875,0.0906485
2592,2966,2931,0.0906579
2777,1951,4550,0.0906672
4426,1398,3096,0.0906754
4195,1385,3249,0.0906847
2482,4592,2176,0.0906966
3159,1602,4638,0.0907056
3391,1452,4184,0.0907143
2951,1840,3746,0.0907474
1381,3974,3942,0.0907591
3851,2909,2044,0.0907718
3846,1482,3392,0.0907917
4743,1337,3119,0.128283
4351,1195,3500,0.128303
1841,3820,3559,0.128312
3747,2045,2725,0.128327
4497,1703,2675,0.128354
5168,1530,2786,0.128363
3453,1882,3197,0.128374
2156,2793,3725,0.12839
2116,2913,3619,0.1284
1897,4146,3302,0.128412
3322,4114,1832,0.128422
4520,1770,2598,0.128435
3770,2112,2648,0.128448
1923,3589,3440,0.128459
2034,3144,3738,0.128478
1964,4590,3007,0.128489
3431,2495,2556,0.1285
1961,3520,3417,0.128519
3378,1679,3601,0.128548
3278,1525,4289,0.177694
3789,1162,4475,0.177712
2378,2337,4149,0.177723
3335,1935,3173,0.177735
4668,1273,3248,0.17775
4199,1198,3704,0.17776
1734,4448,3156,0.177775
2191,2610,3981,0.177794
3496,2409,2568,0.177805
4894,1361,3076,0.177827
1927,3772,3335,0.177842
4823,1116,3527,0.17786
4016,1069,4359,0.177874
1975,5140,2731,0.17789
2814,2178,3537,0.177909
2880,2942,2690,0.177921
2795,3294,2569,0.177935
3946,3431,1814,0.177949
3025,1836,3668,0.177969
4782,1481,2869,0.177982
5163,1412,2976,0.177998
4429,1208,3478,0.17801
4355,1147,3680,0.178021
2059,2912,3824,0.178031
4125,1202,3782,0.178047
4203,1076,4035,0.178066
4277,1072,3957,0.178083
2682,2480,3380,0.1781
3334,2713,2453,0.210531
2886,1926,3734,0.210566
2507,3318,2810,0.210584
2313,2604,3798,0.210601
2462,2400,3989,0.210643
3891,1220,4001,0.210656
3800,1165,4317,0.210673
4027,1072,4201,0.210691
4758,1750,2637,0.210708
3618,1359,4068,0.210724
2943,2250,3282,0.24439
3487,2387,2617,0.244412
1963,3469,3546,0.244442
2131,3799,3028,0.244459
2198,4243,2733,0.244477
3171,1657,3996,0.244491
2385,4376,2391,0.244516
2541,3844,2448,0.244529
4128,1337,3551,0.244544
3227,3592,2062,0.244561
4203,1540,3147,0.244576
2358,4435,2422,0.24459
3107,3347,2206,0.244603
2414,4132,2451,0.244618
3505,1469,4069,0.244645
2951,3879,2149,0.244659
3226,1975,3313,0.244679
3418,1638,3659,0.244719
3981,1289,3933,0.244735
3967,1839,2764,0.279809
1733,3058,4323,0.279851
3687,1238,4422,0.279871
4029,2847,2125,0.279893
1475,4359,3616,0.279938
1421,3440,4631,0.279955
2302,2436,4579,0.279973
3737,1349,3969,0.279991
3635,1425,3916,0.280016
