obj0,obj1,obj2,cpu
3552,3042,1913,0
3154,3412,1922,0
3243,2760,2366,0
3651,3739,1541,0
4540,1338,4157,0
2845,3130,2375,0
1808,2995,4347,0
4343,3465,1435,0
3950,1706,3411,0
4441,3194,1522,0
3867,2684,2199,0
4049,3369,1532,0
1359,5487,3005,0
1908,3885,2786,0
2752,4603,1743,0
1502,5236,2885,0
2732,4408,1808,0
4207,3757,1423,0
4059,1399,4261,0
3647,1455,4419,0
1005,5557,3760,0
1065,5297,3438,0
2418,3173,2834,0
2264,2259,4755,0
3112,1991,3464,0
1274,4104,4014,0
3961,1827,3221,0
4756,2836,1808,0
3278,2041,3289,0
1416,4875,3079,0
2412,4914,2005,0
1994,4246,2592,0
2418,4783,2018,0
2252,4733,2193,0
2949,4508,1663,0
3360,4474,1476,0
3945,3835,1444,0
1150,4821,3612,0
1293,4570,3492,0
1208,5046,3318,0
2665,2373,3487,0
1754,3977,3010,0
2766,2406,3253,0
2630,2142,4092,0
3558,2402,2652,0
2695,4939,1784,0
2666,4242,1937,0
2074,3935,2611,0
3163,4569,1556,0
3491,1581,4185,0
3338,1635,4225,0
1129,4840,4162,0
1214,4364,4336,0
1090,5081,3934,0
2315,2749,3583,0
1949,2866,4246,0
2174,2878,3684,0
2299,2490,4150,0
4310,2559,2219,0
4802,2418,2386,0
2246,4864,2180,0
3142,1777,4128,0
1273,5126,3199,0
1559,3711,3859,0
2669,2060,4323,0
3392,2352,2827,0
3050,2082,3751,0
2423,2780,3572,0
2760,1988,4595,0
2906,1910,4372,0
2163,3232,3292,0
2317,3140,3068,0
3046,2767,2616,0
3451,1597,4322,0
3723,1737,3617,0
1791,3716,3491,0
3223,1982,3738,0
3780,1801,3421,0
3713,1856,3362,0
3454,1858,3480,0
2115,3247,3306,0
3764,1587,3923,0
4023,1585,3805,0
3052,2492,2895,0
3724,1977,3172,0
4231,1518,3963,0
3767,1648,3786,0
1830,3640,3461,0
1189,4580,3840,0
3972,1520,4081,0
3537,2039,3171,0
1840,4338,2816,0
3550,1837,3630,0
3280,1940,3759,0
2591,3073,2821,0
1701,4482,2924,0
3832,1430,4467,0
4313,1369,4363,0
2140,3416,3151,0
2490,3040,3055,0
1999,3545,3252,0
1655,4307,3029,0
2937,2658,3032,0
1578,4177,3337,0
1447,4478,3268,0
1732,4085,3113,0
1993,5286,2423,0
1999,5155,2436,0
2333,4975,2161,0
1850,5537,2543,0
2951,2459,3129,0
3745,1972,3329,0
2281,3297,3131,0
2625,2535,3354,0
2417,2706,3593,0
2073,3468,3370,0
2659,2402,3707,0
3486,1974,3447,0
2805,2324,3484,0
2451,2573,3946,0
2547,3104,2859,0
3889,1494,4271,0
3450,1951,3532,0
2648,3137,2625,0
2945,2734,2850,0
4128,1394,4315,0
3408,3110,2151,0
3746,1695,3727,0
3099,2828,2604,0
3033,3971,1959,0
3102,3710,1979,0
2750,3946,2180,0
3919,2610,2534,0
2961,2663,2965,0
3438,4068,1759,0
3010,3480,2160,0
2658,3716,2361,0
2764,2758,3045,0
3610,2328,2987,0
3408,1908,3675,0
1350,4904,3283,0
1644,5094,2850,0
1435,4428,3457,0
1493,4653,3163,0
1787,4843,2730,0
1558,4733,3044,0
2135,5144,2388,0
3371,1989,3346,0
2954,2103,3601,0
2549,2302,4033,0
3228,2309,3086,0
2942,2223,3444,0
2408,2431,4134,0
3921,1789,3520,0
3662,1791,3638,0
2801,2352,3545,0
2558,2577,3492,0
3137,2170,3390,0
2664,2453,3585,0
2160,4296,2417,0
3465,2159,3135,0
3693,1636,4174,0
3053,3379,2156,0
3143,4374,1621,0
3285,3595,1852,0
3701,2634,2374,0
2500,4192,2112,0
3142,2727,2600,0
3451,3009,2147,0
3465,1972,3479,0
3635,1877,3469,0
3696,3561,1665,0
3990,3657,1568,0
3897,3286,1736,0
2586,4553,1918,0
2529,4889,1959,0
3957,2571,2393,0
3646,1998,3279,0
4147,2911,1963,0
3250,3284,2076,0
2744,3097,2609,0
2675,4744,1849,0
3648,2289,2846,0
4441,3007,1866,0
2941,3002,2529,0
3486,3320,1923,0
2901,2303,3634,0
3248,2420,3065,0
2800,2270,3868,0
2904,2160,3974,0
2594,2990,3025,0
2460,2948,3405,0
2606,2870,3182,0
2448,3068,3248,0
3600,1773,3950,0
3070,1839,4843,0
3787,1498,4396,0
2767,2890,3012,0
1332,4488,3723,0
1892,3541,3706,0
2038,3463,3483,0
4060,1504,4134,0
1340,4474,3722,0
2336,3132,3279,0
1805,4787,2804,0
1662,5038,2924,0
2699,2204,3897,0
2524,2502,3588,0
2971,2120,3565,0
3975,1581,3944,0
2158,2619,4251,0
