obj0,obj1,obj2
1096,4152,4201
1152,4735,3922
1164,4617,3819
1216,4637,3817
1272,5222,3623
1201,3967,4211
1322,3966,4348
1348,3851,4439
1284,5104,3520
1378,3779,3924
1286,4867,3491
1406,5354,3192
1395,3704,4269
1483,3594,3934
1186,4458,3992
1501,3389,4220
1216,4360,4027
1295,4567,3736
1190,4502,3910
1218,4268,3903
1415,5054,3437
1537,5304,3109
1336,4847,3728
1417,4817,3408
1321,4175,4037
1338,4755,3604
1265,4522,3881
1622,3388,4357
1648,3273,4448
1465,4527,3361
1357,3937,4281
1321,4452,3827
1365,4111,3601
1585,5014,3062
1485,4598,3302
1358,4354,3877
1762,3174,4300
1378,4508,3539
1587,4777,3033
1498,4995,3240
1684,4870,3017
1697,5267,2955
1442,4410,3434
1783,3016,3943
1562,4897,3135
1707,5264,2734
1395,3930,3917
1464,4110,3765
1468,4018,3735
1930,2900,4171
1577,4780,3254
1498,3987,3750
1498,4264,3540
1502,3877,3753
1585,4867,3185
1519,4178,3445
1596,4477,3278
1564,4383,3316
1618,4751,3241
1468,4085,3715
1716,4964,2979
1984,2861,4018
1630,3478,4162
1639,4518,3269
1518,3690,3912
1603,4079,3550
1573,3900,3725
1639,4665,3146
1603,3802,3760
1677,3331,3992
1626,3896,3681
1838,5214,2651
1718,4727,2950
2044,2801,4023
1639,3564,4004
1652,3964,3614
1667,4634,3220
1622,4362,3369
1677,3557,3640
1634,3720,3731
1761,5169,2850
1659,4264,3419
1679,4418,3081
1717,4239,3417
1646,4113,3492
1718,4130,3387
2090,2716,3784
1713,3915,3503
1784,5139,2900
1733,4069,3165
1998,5030,2620
1785,4672,2882
1671,4247,3433
1666,3866,3691
1998,5177,2497
1720,3743,3423
1799,4905,2782
1707,3459,3675
2118,2670,4186
1786,4361,2967
2126,2661,3936
2224,2525,3952
1721,3424,3917
1763,4042,3396
1886,4777,2727
1773,4039,3175
1827,3944,3291
1746,3737,3488
1824,3441,3868
1750,3645,3458
1823,4439,2870
1815,3290,3939
1826,3239,3927
1854,3343,3903
1840,4230,3124
2085,5049,2442
1853,4556,2866
1861,3251,3722
1863,4660,2800
1930,4855,2699
1834,3904,3171
1866,4222,3104
1965,5149,2698
1985,4633,2682
1848,3583,3399
1784,3504,3476
1889,4268,3101
1889,4335,3081
2266,2488,3741
1874,3810,3267
1904,3989,3092
2129,5127,2414
1916,4345,3009
1870,4132,3159
1878,4690,2796
1924,4210,2962
1873,4155,3139
2373,2433,3887
2169,5567,2292
1870,3387,3540
1897,3689,3227
1940,4428,2811
1903,3224,3769
1908,3154,3528
1932,4341,2880
2017,4727,2644
1954,4112,2997
2024,5129,2568
2400,2297,3909
2052,4828,2581
2024,4476,2793
2019,4040,2929
1966,3066,3732
1975,3521,3311
2004,4105,3056
1953,3874,3156
2014,4071,3056
1927,3806,3223
2062,4932,2515
1916,3347,3454
2035,4592,2784
1966,3747,3149
2031,3924,3139
2057,4558,2727
1911,3439,3523
2022,4330,2870
1933,3498,3447
1942,4409,2855
2036,3832,3070
2034,4050,2903
2202,5157,2345
2060,4097,2858
2069,4440,2624
2072,4427,2854
2073,4359,2772
2039,2957,3750
2045,3925,3020
1995,3060,3890
1976,3684,3230
2266,5258,2259
1986,3672,3191
1998,3460,3319
2006,3586,3265
2095,4325,2715
2084,4450,2598
2062,4896,2556
2123,4091,2708
2064,3952,2938
2052,2949,3796
2028,3362,3354
2052,3820,3144
2278,5140,2156
2006,3653,3245
2100,4668,2447
2073,3691,3013
2527,2273,3821
2261,4777,2302
2045,3515,3204
2010,3697,3163
2032,3134,3706
2019,3295,3475
2036,3555,3280
2556,2221,3957
2050,3104,3668
2046,3597,3162
2071,3562,3159
2088,3701,2987
2021,3162,3464
2057,3062,3463
2075,3417,3239
2093,3290,3451
2107,3331,3364
2216,4999,2359
2095,3915,2899
2056,3390,3321
2114,4352,2633
2141,3993,2789
2118,3603,3022
2107,3045,3528
2142,3273,3385
2133,4555,2555
2134,2809,3709
2125,3817,2934
2609,2133,3734
2231,4618,2364
2134,3347,3215
2145,2812,3516
2160,3029,3438
2190,3532,3144
2116,3510,3230
2138,4101,2682
2150,3990,2846
2171,3895,2824
2129,3588,3155
2169,3165,3256
2169,3575,3072
2154,4319,2531
2197,3341,3065
2140,3509,3206
2430,4890,2079
2143,3690,2981
2141,4290,2601
2182,3787,2844
2158,3700,2955
2168,4003,2717
2187,4206,2639
2272,4240,2518
2188,3602,2990
2212,3689,2879
2225,3973,2627
2283,4331,2344
2661,2082,3989
2233,3931,2649
2212,3351,3039
2180,3040,3373
2253,3615,2916
2217,4108,2674
2203,3215,3221
2201,4224,2578
2255,3875,2662
2258,3311,2953
2299,4940,2162
2151,2974,3507
2269,3833,2765
2239,2624,3719
2215,3125,3170
2199,3067,3291
2265,3525,2865
2460,5480,2055
2743,1942,3902
2189,2905,3441
2287,3582,2733
2321,4108,2586
2240,3331,3168
2242,3253,3074
2470,5477,1834
2294,2720,3451
2245,3027,3205
2265,3020,3342
2337,3982,2428
2332,4791,2240
2329,2948,3308
2261,2599,3768
2353,4591,2246
2308,3711,2648
2233,3117,3256
2288,3213,2988
2283,3517,2951
2295,3427,2900
2331,2912,3422
2305,2692,3693
2331,3196,3105
2357,3816,2605
2379,2903,3321
2391,3161,3009
2321,2584,3473
2344,3480,2853
2392,4727,2219
2343,3479,2875
2381,2836,3261
2357,3581,2701
2365,3512,2821
2348,2975,3226
2492,5031,1876
2318,3073,3191
2374,3382,2888
2370,4203,2289
2403,3047,3139
2364,3881,2566
2411,3232,2785
2441,3051,3101
2338,3613,2683
2395,3358,2943
2533,4864,2193
2891,1928,4281
2406,2823,3244
2546,4682,1960
2396,3678,2564
2361,3259,2974
2407,3922,2557
2387,3718,2640
2417,2698,3361
2908,1879,4035
2426,3580,2599
2408,3980,2531
2449,3009,3027
2484,3575,2724
2441,3069,3089
2424,3854,2373
2492,3533,2650
2393,3879,2570
2522,4649,2228
2410,2507,3703
2449,3007,3053
2385,4213,2263
2422,2412,3789
2458,2993,3109
2471,2953,3136
2499,3407,2748
2415,4115,2298
2463,2489,3460
2467,3129,2927
2476,2773,3208
2524,4635,2237
2552,4543,2188
2424,2815,3330
2469,3766,2382
2554,3378,2581
2436,2725,3279
2960,1828,4290
2564,4333,2235
2479,2911,3062
2437,2371,3725
2531,2869,2940
2433,2587,3425
2511,3192,2798
2488,2683,3157
2571,4240,2212
2571,4631,2181
2480,3751,2515
2468,2468,3701
2584,4094,2009
2566,3288,2530
2514,3139,2919
2533,2485,3613
2541,3094,2833
2567,2396,3593
2506,2675,3243
2515,2438,3715
2439,3864,2347
2518,2585,3192
2973,1788,4194
2609,3474,2313
2527,3761,2507
2571,2320,3724
2561,2771,2975
2663,3047,2854
2563,4153,2281
2584,3280,2616
2596,3190,2565
2584,2255,3953
2572,2534,3335
2582,2369,3553
2993,1778,3994
2601,5427,1751
2633,3145,2819
2712,2977,2817
2999,1744,3972
2649,3180,2773
2622,3871,2251
2604,2470,3409
2593,2295,3773
2682,3075,2782
2597,2298,3628
2626,2416,3456
2640,2705,3127
2713,3172,2758
2755,3163,2600
2721,2895,2872
3042,1688,4203
2778,3148,2761
2719,3179,2741
2653,2515,3392
2678,2709,3089
2654,2394,3248
2779,3119,2629
2664,2229,3466
2634,2372,3444
2659,4921,1868
2638,3745,2093
2708,2611,3124
2743,3074,2793
2809,3021,2664
2807,3070,2788
2722,2565,3040
2693,5068,1799
2639,3376,2348
2751,2797,2907
2773,2830,2825
2705,2129,3892
2839,2975,2785
2706,4891,1947
2677,2558,3227
2744,2700,3039
2764,2677,3025
2713,4572,1952
2827,2617,3024
2829,2727,2967
3120,1672,4422
2761,5390,1597
2756,4670,1913
2654,4572,1984
2869,2877,2820
2804,2556,3195
2816,2466,3144
2855,2983,2652
2742,2203,3708
2870,2803,2807
2809,3156,2469
2842,2773,2866
2880,2968,2661
2761,2370,3412
2750,2122,3877
2755,2102,3703
2911,2930,2734
3146,1628,4200
2788,2203,3416
2859,2652,2927
2683,4640,1982
2694,3642,2235
2812,2797,2869
2838,2352,3292
2770,4512,1927
2825,3081,2617
2913,2928,2797
2780,2016,3718
2984,2875,2794
2799,2159,3666
2785,4522,1901
3002,2897,2763
2728,5362,1798
2894,3071,2517
2733,5335,1769
