obj0,obj1,obj2,obj3,cpu
3858,3690,4363,2267,0.489109
1859,4251,4539,4116,0.489119
4375,1900,3862,3731,0.48913
4560,3006,2134,4136,0.489138
4739,3181,1918,4248,0.489144
3171,3479,2673,3915,0.489152
3709,2770,2731,4130,0.489173
4603,4468,1504,3866,0.489186
4835,3716,1703,4117,0.489199
4774,2146,4297,2952,0.489212
4326,2005,3921,3441,0.489222
4461,2071,4534,3093,0.489246
3847,2858,3734,2945,0.489256
4263,3234,2292,3741,0.489283
4568,3370,3989,2286,0.489304
4098,4183,1585,4764,0.489315
3866,4935,1386,4513,0.489333
4179,3216,3305,2848,0.489357
3333,3789,4843,2510,0.489377
3877,3624,3000,3014,0.489387
3209,3734,3655,2965,0.4894
4151,4347,1677,3760,0.489419
3061,2581,4398,3419,0.489446
2687,3806,3964,3303,0.489472
3508,2130,4825,3272,0.489489
3398,2137,4243,3775,0.489505
2480,4558,2210,4979,0.489531
1757,5045,3413,5103,0.489547
2161,2835,4809,4537,0.489558
2402,2868,3850,4717,0.489575
2697,3066,3901,3755,0.489607
3186,2462,4018,3680,0.489636
2610,3136,3375,4313,0.489669
2117,4388,5276,3621,0.4897
2128,4538,4157,3770,0.48971
2200,4020,4253,3687,0.489729
2080,3948,3745,4182,0.489753
2453,3550,4350,3527,0.489788
2773,4060,3801,3171,0.489821
3134,4524,3981,2640,0.489838
2653,3988,3293,3666,0.489862
1931,3733,4635,4033,0.489907
4140,1844,4159,3938,0.489935
3782,1974,3676,4336,0.489956
3946,3650,1944,4135,0.489978
4331,5097,1277,4220,0.490012
4563,4345,1476,4471,0.490036
3287,4136,1886,4848,0.490068
2314,3505,3239,4923,0.490102
3148,2427,3433,4528,0.490139
2570,3084,3287,4738,0.490175
4163,4044,1927,3642,0.490209
3756,2007,4726,3377,0.490252
4823,2041,4238,3242,0.490296
4194,3222,4137,2413,0.490319
3511,3326,3960,2799,0.490345
4067,2822,2715,3767,0.490413
4548,2564,3285,3335,0.490461
4601,3699,3578,2375,0.490523
4989,4005,3117,2495,0.490545
4870,3511,3496,2448,0.490565
3885,4960,1480,4054,0.490589
3879,4976,1450,4114,0.490624
2302,4998,2222,5230,0.490646
4479,2637,2624,4079,0.490663
4121,2585,2640,4442,0.490691
4784,3030,3436,2751,0.490722
1872,3680,4220,4586,0.490756
1997,4743,2946,5041,0.49079
3120,4424,4204,2639,0.490816
3846,4168,2589,3140,0.490845
