obj0,obj1,obj2,obj3,cpu
3114,4810,3851,2478,0.920344
2698,5181,4984,2151,0.920365
2914,4918,4898,2114,0.920379
3356,4442,2912,3137,0.920408
3880,4795,3082,2649,0.920434
3153,4304,4410,2271,0.920449
2671,4615,3678,3012,0.920487
4044,2768,5076,2723,0.920526
3795,2082,3425,4139,0.920538
3422,2550,3130,3985,0.920555
4152,2046,4033,3744,0.920581
3803,1878,3323,4856,0.920618
3950,1900,4864,3557,0.920637
3248,4431,2651,3446,0.920666
2664,3872,2375,4806,0.920693
3558,4140,1849,4545,0.920729
1324,4584,4403,4186,0.920748
1613,4720,4459,3647,0.92077
1307,4314,4533,4355,0.920781
2294,4288,4634,2875,0.9208
1515,3978,3955,4816,0.920873
3741,3296,2776,3587,0.920895
3974,4209,3060,2842,0.920935
3919,4289,3641,2442,0.920999
4013,3703,3619,2635,0.921055
3698,3798,1983,4284,0.921086
3218,3082,2410,4761,0.921112
2488,2446,4532,4483,0.921172
2879,2746,2946,5060,0.921216
2325,3536,2911,5105,0.921268
3246,4506,4537,2181,0.921324
2905,3978,4695,2501,0.921356
2975,3311,3545,3416,0.92142
3428,3395,3006,3456,0.921521
2636,4028,4327,2838,0.921563
4012,4491,3768,2352,0.921648
3354,3176,4914,2759,0.921665
3247,3718,4388,2464,0.921702
3494,3369,4284,2599,0.921751
2819,2673,4740,3689,0.921848
4156,1981,5050,3377,0.921953
3606,2385,4210,3424,0.921982
3494,3172,4236,2770,0.922058
3593,1936,4256,3952,0.922139
4007,1592,3694,5050,0.9222
4284,1559,4668,4140,0.922224
4243,1690,4680,3901,0.922255
4160,1527,4114,4782,0.922289
3585,1746,3937,4540,0.922397
3723,1881,3689,4341,0.922485
3927,1595,4060,4535,0.922657
2079,5040,2523,4979,0.922723
2202,4788,2450,5104,0.922758
2129,4413,2625,5233,0.922781
2766,4342,2165,5034,0.922801
1824,4957,4705,3198,0.922816
1469,3858,4425,4697,0.922833
1501,4654,4027,4154,0.922885
1642,4796,3437,4469,0.922919
2181,4905,4901,2718,0.922958
1937,4340,4438,3355,0.922987
1460,4888,3881,4655,0.923032
3809,3277,2716,3670,0.923053
3774,3302,2129,4644,0.923085
4199,3719,4160,2499,0.923112
3629,4313,2361,3660,0.923135
3630,3817,2043,4201,0.923174
3879,2948,2467,4386,0.923212
3378,2639,2639,5137,0.923285
3844,2160,2921,5129,0.923335
3846,3287,2303,4237,0.923401
3222,2765,3393,3722,0.923486
3317,3916,2273,4070,0.923788
3014,2048,4660,4372,0.923977
3304,1985,3630,4779,0.924058
2599,4272,2268,5229,0.924319
1863,3043,4466,4848,0.924449
2530,2537,4684,4228,0.924545
4082,3188,3241,3259,0.924669
2597,4534,3768,3045,0.924828
2669,3487,3862,3364,0.925027
2135,5319,3218,3957,0.925277
3340,3920,4515,2374,0.925367
3634,1805,4244,4191,0.925431
3838,2687,4890,2903,0.925504
3466,2389,4888,3413,0.925566
3983,1527,4093,5176,0.925625
3750,1595,4039,4929,0.9257
4356,1760,4404,3938,0.925767
3991,1769,4852,3796,0.925809
3866,4198,2799,3151,0.925859
2006,4665,2698,5108,0.92594
1535,4821,4649,3737,0.925995
1620,3624,4293,4558,0.926027
1789,3316,4266,4631,0.926119
2659,5490,4377,2529,0.926186
2142,5214,4294,3096,0.926229
3847,3677,1954,4515,0.926273
3935,3683,2421,3775,0.926311
4024,1864,3286,5033,0.926347
3207,1916,3914,5046,0.926383
1758,3397,4128,5106,0.926443
2099,3098,3854,4839,0.926484
2982,2469,3288,4721,0.926633
1712,3277,4598,4987,0.926755
2370,3475,4521,3431,0.926793
2463,3371,4170,3480,0.926854
3952,3748,3176,2968,0.926936
3395,3936,3471,2930,0.926991
2400,4962,2632,4401,0.927077
3489,4655,2227,3921,0.927142
1825,4274,4006,3862,0.927184
2167,4211,3747,3654,0.927275
2456,4633,2967,3935,0.927379
3508,1699,4001,4973,0.927445
2959,2669,4062,3700,0.92749
3163,2769,2683,4950,0.927595
3588,2008,3367,4669,0.927655
2834,2384,3619,4892,0.927711
2710,2825,4018,3786,0.927785
4490,1640,4854,3960,0.927861
4449,1771,4866,3721,0.9279
3999,1796,3796,4333,0.927932
3886,1726,4072,4296,0.928036
3391,4070,1952,4740,0.928108
1905,3134,4618,4593,0.928168
1662,3715,4445,4303,0.928221
1764,4033,3753,4377,0.928275
1587,3963,4129,4409,0.928364
1692,4048,3579,4784,0.928439
1994,5177,3808,3642,0.928509
2279,4080,4131,3318,0.928582
2365,3059,3493,4669,0.928687
3482,2227,3964,3839,0.928884
3212,2214,3642,4386,0.929022
2495,2613,4210,4371,0.929104
2421,2886,4010,4154,0.929172
2711,3333,3049,4329,0.929321
2619,2439,3933,5158,0.929409
1943,3553,3587,5099,0.929457
2002,3029,4138,5106,0.929528
2082,3131,4693,4199,0.929583
2081,3339,4465,3970,0.929682
4151,2542,4351,3203,0.929885
2710,4109,4237,2805,0.929957
2241,4292,3657,3621,0.930081
2135,4711,2858,4513,0.930215
2525,4118,2589,4559,0.93035
1997,4040,3537,4171,0.930554
3474,3800,4965,2396,0.930681
3380,4386,4987,2203,0.930724
4043,3694,2682,3466,0.930769
3215,1909,4185,4629,0.930823
3303,2184,4716,3833,0.930882
3033,2396,4262,3917,0.930956
3350,2349,3394,4187,0.931029
2777,2472,4128,4184,0.931115
4107,1559,4647,4534,0.93123
3307,1838,4476,4716,0.931326
4195,1611,3782,4810,0.931372
4348,1546,4202,4542,0.931432
1631,3934,4512,4063,0.931478
1648,4204,4382,3894,0.93156
1302,4476,4601,4509,0.931753
1920,4070,4568,3524,0.931808
1755,4248,3339,4881,0.931956
1989,4395,2828,5277,0.932069
1578,4178,3715,4913,0.932188
1895,4266,3136,4837,0.932326
1814,5397,3109,4535,0.932528
2108,3603,3243,4915,0.932608
2546,3359,2888,4898,0.932738
1832,4066,3376,4740,0.932856
3684,2603,2692,4753,0.933
3543,2613,2800,4568,0.933142
2916,2941,3710,3670,0.933377
2627,3002,3702,4038,0.934002
2784,2552,4218,4003,0.934375
2743,3568,3772,3331,0.93449
3354,3314,3096,3489,0.934648
3222,2962,3441,3551,0.934768
3008,4332,4876,2307,0.934885
3381,3598,4838,2486,0.934963
3208,4224,3829,2671,0.935037
3066,2608,4184,3645,0.935168
3453,1766,4412,4731,0.93532
3160,1976,4596,4387,0.935411
1596,4450,4589,3816,0.935519
1926,4195,3068,5180,0.93563
2327,3747,4169,3401,0.935748
2283,5356,3704,3411,0.935896
2400,3888,2632,5143,0.935978
3044,2720,3107,4491,0.936083
2038,3611,4113,3940,0.936277
3916,2145,3095,4722,0.936478
2174,3432,4162,3848,0.936596
2380,3548,3854,3732,0.936746
2440,3089,3248,5380,0.936885
2487,2654,4304,4254,0.93698
1966,4416,3416,4177,0.937098
2358,4048,2692,4754,0.93725
3006,2055,4389,4789,0.937442
3284,2415,3378,4184,0.937564
3991,1897,3411,4616,0.937724
1966,3386,3890,4599,0.93785
1968,4641,2961,4708,0.938057
1797,3694,3917,4526,0.938214
1807,4687,4835,3367,0.938349
2028,3093,4122,4664,0.938461
2071,4121,3447,4138,0.93862
4139,3566,3910,2694,1.40923
2255,4597,4027,3253,1.40935
2734,2744,3776,4154,1.40944
2617,3565,3993,3331,1.40955
3733,4251,4071,2410,1.40963
3023,2880,3832,3615,1.40972
2786,4975,3492,3153,1.40981
3028,3726,4622,2626,1.40988
3457,1805,4223,4585,1.40998
2893,2958,3755,3722,1.41008
2660,3293,4345,3361,1.41016
2776,2790,4360,3715,1.41027
2444,2926,3952,4224,1.41034
2716,2508,3649,4891,1.41041
4045,2272,4758,3264,1.41051
3839,2191,4572,3444,1.41059
3371,3446,4784,2590,1.41067
3776,2027,3455,4429,1.41074
3775,2017,3780,4183,1.41081
3115,4484,3923,2705,1.41091
2825,4666,4099,2775,1.41108
2584,4106,4458,2805,1.41118
3921,3039,2619,4131,1.41128
3546,1881,3668,4735,1.41135
2164,2826,4553,4775,1.41144
3814,1769,4831,4190,1.41151
2328,3429,3937,3870,1.41159
3668,3341,4695,2599,1.41173
2396,4739,3437,3568,1.4118
3018,3297,2673,4498,1.41192
3076,4793,3316,3083,1.41221
4132,1981,4388,3788,1.41235
1923,3447,3784,4922,1.41249
4067,4023,3474,2796,1.41271
3494,3194,4711,2715,1.41284
2633,3571,3852,3453,1.413
3867,3159,3067,3646,1.41315
4208,3051,3532,3318,1.41326
3554,3258,3297,3515,1.41334
3694,4560,3464,2788,1.41349
2545,4415,3851,3183,1.41361
4307,1677,4214,4303,1.41375
1898,3237,4329,4582,1.41386
3409,3340,3036,3746,1.41406
3293,3369,4036,3070,1.41416
2926,4119,2891,3746,1.89484
4063,1970,4588,3594,1.89512
1757,4134,4339,3892,1.89525
4197,1850,5038,3616,1.89538
1712,4891,4273,3705,1.89546
3737,4324,2622,3351,1.89558
2471,3008,3386,4905,1.89568
3261,2273,3949,4037,1.89581
3333,2474,3685,3835,1.89595
3706,2006,3980,3989,1.89608
2280,2668,4524,4637,1.8962
1873,3561,4457,4124,1.89632
3328,2743,2844,4381,1.89644
2798,3927,2398,4712,1.89657
3628,3249,4734,2621,1.89666
3738,3828,2304,3892,1.89675
1518,4551,4779,3906,1.89686
1550,3733,4706,4645,1.89693
2322,2759,4676,4382,1.89701
2228,3467,3195,5372,1.8971
3706,1809,3607,5123,1.89723
2782,2677,3230,5327,1.89733
3344,2053,4704,4072,1.89744
4080,1845,4297,3946,1.89757
2564,4644,3228,3626,1.89773
2089,3298,4371,4087,1.89789
2378,3237,4379,3719,1.89802
2162,3500,4465,3756,1.89815
2364,3244,4836,3708,1.89829
2046,4073,4347,3524,1.89841
2008,4248,4744,3360,1.89857
3740,2265,4660,3446,1.8987
2906,2585,3355,4690,1.89881
2015,4450,3112,4604,1.89906
1853,5033,3683,4020,1.89923
4120,1859,3466,4916,1.89947
3628,3052,4686,2792,1.89964
3425,3927,2534,3761,1.89975
3806,3809,2244,3975,1.89993
2792,4595,4962,2344,1.90019
3256,2542,3108,4583,1.90034
2611,2698,4684,4014,1.90051
2478,3326,3265,4535,1.90062
2704,3015,3170,4699,1.90079
3951,2757,4614,2940,1.90092
3951,2954,4662,2769,1.90101
2580,3107,3045,5336,1.90111
2643,3307,2805,5433,1.90126
2427,4145,2525,5334,1.90139
3095,2209,4660,4158,1.9015
1934,4204,3963,3860,1.90164
2162,3697,4513,3585,1.90179
1719,4112,4688,3899,1.90189
2865,3872,2623,4335,1.90202
1990,4141,4123,3686,1.90224
1820,3970,3913,4203,1.90248
2199,3393,3674,4393,1.90265
2555,3807,3005,4275,1.90279
2806,2270,4652,4526,1.90295
3385,1961,4200,4277,1.90303
3281,2570,2923,5404,1.90318
3352,3137,2433,4667,1.90329
3597,4666,2488,3612,1.90339
1874,3353,4685,4353,1.90347
2075,3305,4828,4076,1.90355
3118,2407,3356,4782,1.90365
3491,1939,3651,4936,1.90374
3471,2412,3064,4770,1.90383
3333,2277,3312,4969,1.90394
2972,2519,3371,4693,1.90404
2860,2542,4728,3928,1.90416
4085,2637,5064,2962,1.90427
4063,2167,4636,3423,1.90434
3507,2258,4876,3652,1.90446
3512,2694,2662,5043,1.90457
3066,2700,2967,5217,1.90468
2508,4973,2893,4092,1.90478
3747,2091,3205,5396,1.90486
2243,4722,3119,4204,1.90496
3334,3588,2720,3852,1.90504
2661,4382,2851,4012,2.1543
1754,4862,3869,3962,2.15455
1759,3610,3965,4816,2.15466
2627,2432,4204,4741,2.15475
2078,4482,3848,3670,2.15487
1443,4618,4011,4824,2.15499
2782,2684,3551,4458,2.1551
2515,2931,3684,4399,2.15525
1625,4526,3567,4638,2.15537
1800,3892,3563,5089,2.15547
2866,4287,4088,2879,2.15557
2435,4430,4044,3190,2.15567
1943,4465,2938,5011,2.15575
3131,3930,3502,3323,2.15586
3170,3621,4109,2945,2.15605
3104,2200,3893,4516,2.15616
3254,3678,3429,3448,2.15629
2663,4368,2693,4265,2.15639
3005,2459,4275,4064,2.15649
3004,2667,4047,3835,2.15658
3017,3191,4669,3155,2.15669
3140,2939,4596,3280,2.1568
3018,2983,4897,3384,2.15695
3865,1663,4609,4578,2.15709
2893,2393,3843,4571,2.15719
2626,2640,3976,4512,2.15732
2025,3571,3604,4646,2.15743
2255,3544,3781,4130,2.15754
2061,4212,3978,3839,2.15765
2608,4267,2324,5083,2.15774
3217,3578,2728,4220,2.15783
2895,3549,2746,4373,2.1581
3741,1631,4055,5220,2.1582
2140,3380,3452,5112,2.15828
2294,3875,4191,3659,2.15848
1609,4498,4011,4459,2.15857
1737,4592,3999,4131,2.15866
2066,4213,2865,5136,2.15877
2516,2723,3912,4628,2.15888
2303,2812,4225,5033,2.15905
3162,3477,2359,5038,2.15926
2567,3786,4716,3248,2.15949
3843,2943,4401,3078,2.15971
3539,3020,2931,4268,2.15989
2784,4130,2778,4137,2.1602
3202,3873,4606,2510,2.48258
1472,4803,3900,4580,2.48296
2072,4511,3098,4416,2.48309
3392,3229,2394,4645,2.4833
3247,2430,3283,4548,2.48346
4522,3070,4378,2897,2.48364
2975,2714,3048,5001,2.48375
3614,1862,3608,4818,2.48391
3400,1953,3732,4720,2.48405
3043,2695,2988,5084,2.48425
2815,3434,2548,5328,2.48442
2838,4019,2359,4690,2.48454
2906,4000,2299,4773,2.48466
3311,1877,4287,4570,2.48478
3604,1667,4103,4914,2.4849
2476,4524,2341,5104,2.48503
2927,4509,2542,4024,2.48515
2376,4935,2434,4988,2.48529
1673,5255,3699,4220,2.48541
3442,2562,3005,4576,2.48552
2812,2476,3751,4832,2.48567
3101,2502,3347,4533,2.48581
2205,3163,3746,4632,2.48596
3126,2761,4434,3450,2.48611
2733,3062,4008,3685,2.48624
4166,2610,3452,3833,2.4864
3680,3150,2654,4132,2.48649
3722,3241,2806,3877,2.48666
3367,3249,2884,4001,2.48678
3460,3210,2334,4728,2.48691
3172,3117,3162,3973,2.48703
4251,2779,3884,3348,2.4874
1999,4136,3273,4545,2.48751
2879,3543,2887,4251,2.48765
3725,2413,2901,4846,2.48781
3620,2767,2563,5104,2.48792
3443,4433,4247,2480,2.48802
4582,3223,4628,2702,2.48813
3449,2112,4652,3848,2.48823
3168,4733,2118,4499,2.48837
1828,4623,3164,4752,2.48848
3809,1994,3330,4846,2.4886
3510,2543,2945,4659,2.4887
2462,3028,3541,4607,2.48883
2752,3234,2788,5231,2.48898
3677,2673,4067,3418,2.48917
4523,2574,4060,3438,2.4895
2712,3473,2990,4446,2.48963
3315,2411,3223,4631,2.4898
1905,4441,3201,4611,2.48995
3000,2145,4115,4868,2.49008
2104,3782,3611,4287,2.49022
3607,3232,2232,4839,2.49036
2349,3827,2819,5390,2.49048
3668,1841,4895,4175,2.4906
3468,1934,3672,4803,2.49072
2743,3486,4853,3133,2.49085
2512,3251,3440,4393,2.49097
4234,2591,3392,3916,2.49121
2339,4070,3091,4312,2.62473
2129,2902,4656,4776,2.62539
1821,3597,3888,5203,2.6261
2206,2941,4324,4420,2.62647
2852,4038,2981,3779,2.6268
2102,4696,2984,4614,2.62711
2205,3149,4096,4191,2.6273
2322,3800,3221,4481,2.62763
2823,3202,3433,3993,2.90683
3095,3609,4276,3041,2.90755
2311,3262,4058,4057,2.90789
2375,2742,4049,5233,2.90825
2109,3909,3921,3835,2.90855
1935,3467,3752,5074,2.9098
2169,3614,3241,5470,2.9101
2194,3073,4626,4225,2.91064
3056,4115,3717,3248,2.91096
2626,4185,4004,3268,2.91128
2078,3255,4274,4263,2.91156
2519,4506,3566,3589,2.9122
2371,3845,3160,4306,2.91283
2502,3662,3033,4477,2.91315
2022,3323,4050,4425,2.91385
2986,2398,4240,4548,2.9143
2309,3632,3038,5426,2.91495
2124,4851,3024,4573,2.91554
2816,2884,3554,4363,2.91581
2991,3289,2859,4629,2.91643
2273,4643,2713,4913,2.91679
2231,4187,3026,4567,2.91713
2269,3655,3249,4683,2.91752
2075,3485,3549,5030,2.91786
1876,3902,4137,4041,2.91822
3211,3427,4628,3003,2.91857
2480,4246,3072,4275,2.91918
2183,3990,3831,3802,2.91948
2180,4522,3359,4107,2.91983
2340,4588,2938,4536,2.92018
2152,2982,4474,4480,2.92058
2427,3080,4410,4019,2.92094
2380,2859,4161,4600,2.92124
2583,2877,3770,4569,2.92153
2753,3789,2736,4675,2.92179
2268,2990,3777,4936,2.92207
2251,3912,4431,3621,2.92235
2673,3096,3032,5174,2.92282
1992,3720,4489,4003,2.92389
2932,2702,3906,4325,2.92482
2385,2989,4258,4274,2.92507
2680,3414,2911,4804,2.92581
2926,3203,3005,4516,2.9261
2820,3734,2961,4298,2.9264
2517,3378,3750,3941,2.92665
2413,4301,2847,4652,2.92734
2514,4316,3620,3604,2.92767
2405,3509,3366,4277,2.92808
2752,4285,3054,4134,2.92894
2613,2866,3945,4394,2.92962
3084,2865,3344,4483,2.9301
2991,2935,3149,4879,2.93072
2744,3348,3625,3918,3.19642
1949,4146,3546,4346,3.19721
3451,3014,2464,5008,3.19752
3197,2339,3244,4908,3.19785
3572,1873,4793,4234,3.19823
3373,2670,4290,3452,3.1986
2931,2378,3605,5078,3.19885
2314,2968,3810,5026,3.19924
2337,3688,2872,5046,3.19967
2197,3670,3075,5090,3.19996
2484,3961,3722,3649,3.20021
2523,4710,2559,4526,3.2005
3917,2535,2746,5000,3.20077
2869,3687,2543,4694,3.20095
3844,2447,4083,3619,3.20123
3405,2582,4010,3724,3.20144
2473,4263,2457,5014,3.20173
3714,1802,3878,4706,3.20197
2842,2302,4160,4928,3.20218
3324,2295,4236,3995,3.20241
2485,4519,2397,4958,3.20262
2340,4460,2742,4590,3.20285
3238,2621,2842,5181,3.20309
3537,1917,3684,5026,3.20335
3448,1841,4239,4876,3.20356
2260,3870,2835,5187,3.20377
2267,4085,2917,4719,3.20402
2390,3833,2844,4844,3.20433
2580,2929,3449,4856,3.20456
3135,2092,3976,5272,3.20481
3106,2352,4511,4242,3.20502
2366,3321,3554,4595,3.20549
3378,2926,3801,3627,3.20575
2746,3939,2616,4569,3.20596
2997,2554,3507,4645,3.20643
2463,4208,2669,4715,3.20666
3606,2407,4685,3369,3.20691
2700,4073,3458,3634,3.20714
3792,1722,3738,4863,3.33455
2342,4446,2584,4843,3.33509
1875,4459,3650,4289,3.33537
2668,4093,4257,3010,3.33559
2629,4402,3650,3388,3.33584
2199,4079,3629,3997,3.33609
3629,2290,2965,4942,3.33633
2269,4071,2759,4972,3.33655
1987,4525,4082,3782,3.33679
2206,3871,2999,4875,3.33698
2744,3280,4144,3566,3.33722
2933,3736,3671,3454,3.33742
2311,4145,4061,3490,3.33782
3017,3793,2991,3957,3.33801
3799,2017,4442,3772,3.33821
2202,4428,2787,4887,3.33842
1863,4092,3323,5186,3.33864
2066,3853,3202,4919,3.33888
2129,4053,2962,5016,3.33917
2368,4982,3431,3777,3.33939
2928,3480,4160,3279,3.33978
3688,2308,4150,3659,3.34003
1933,4118,3990,4167,3.34025
3980,1741,3826,4623,3.34044
3193,2478,4363,3824,3.34119
4092,1807,4258,4116,3.3414
2279,4246,2824,4746,3.34156
3099,3039,3941,3542,3.34173
2003,4110,3120,5142,3.34252
2047,5060,3322,4355,3.34273
2646,2428,4318,4477,3.47744
1744,4732,4359,3803,3.47796
2005,4152,4578,3414,3.47813
3553,2999,2872,4187,3.47827
3485,3018,2932,4104,3.47844
2289,4563,3070,4130,3.47859
2505,2756,3893,4637,3.47877
2970,2458,3537,4826,3.47895
3997,3249,2368,4471,3.47912
3852,2450,3257,4374,3.47926
2033,4868,4415,3264,3.47945
4138,2921,2793,4311,3.48015
3935,3140,3007,3729,3.48043
3509,2216,3270,5076,3.48159
3784,2469,3317,4291,3.48204
1965,3792,4241,4011,3.48235
2035,3784,3371,4986,3.48264
2226,4079,2892,5265,3.48286
2368,3476,4559,3553,3.82653
2240,3535,3205,4846,3.82705
2303,3735,2965,4943,3.8273
3296,2634,3069,4561,3.82749
2115,4092,3830,3792,3.8278
3083,3033,4082,3420,3.8282
3262,3603,2546,4259,3.82868
3780,2554,4669,3253,3.82904
3778,4192,2332,3891,3.82976
2227,4158,4262,3285,3.83031
2760,3756,4723,2964,3.83108
3050,3574,4547,2894,3.83167
2295,4080,4862,3104,3.83229
2371,3267,4749,3660,3.83299
2777,2582,4588,3944,3.83338
2776,2945,4388,3659,3.83364
2100,3517,3408,4890,3.83392
2544,3959,2541,5418,3.83423
3737,2826,4317,3223,3.83447
4063,3133,3271,3549,3.83474
3337,2916,2667,4834,3.835
2982,3504,2445,5133,3.83527
2407,3605,3102,4651,3.83551
2470,3805,2862,4748,3.83581
1808,4004,4136,4031,3.83614
4136,3508,3096,3420,3.83641
2487,2809,4332,4198,3.83662
2540,2792,3705,5049,3.83683
3220,2129,4846,4192,3.83708
2675,3564,4253,3314,3.83728
2468,4718,3903,3255,3.83754
2079,3340,4503,4092,3.83776
2445,2718,4180,4453,3.83796
3055,3879,2270,5004,3.83823
