obj0,obj1,obj2,obj3,cpu
3733,4649,2813,2623,0.464788
3518,4335,2385,3354,0.464797
3856,4207,1957,4094,0.46481
4636,1664,4758,3758,0.464819
3279,5097,3454,2146,0.464831
4448,3743,2881,2701,0.464849
3708,3885,2411,3502,0.464864
4663,2559,3953,2397,0.464879
4972,3012,1942,4670,0.464896
4892,1995,3418,4078,0.464914
3117,4031,2563,3872,0.464931
4616,3101,5034,1580,0.464946
4786,2321,4800,2095,0.464969
4716,3101,3581,2285,0.464983
4413,3711,3485,2083,0.465007
4746,3198,3535,2263,0.465056
4781,3230,2931,2881,0.465071
4326,3535,2893,2798,0.465089
3797,3758,3333,2449,0.465127
3643,4708,3173,2249,0.465152
4523,4767,4679,1235,0.465173
4825,3840,4595,1390,0.465184
4640,4565,4546,1279,0.4652
4937,4476,4951,1147,0.465225
5103,2224,4547,2192,0.465241
5156,2766,4175,2080,0.465269
5324,1732,4701,2820,0.465305
3307,3581,2589,4020,0.465319
3232,3270,2696,4632,0.465343
3042,3720,2670,4484,0.465381
1927,4658,4297,2928,0.465397
2221,4013,4215,2879,0.465431
2208,3355,3942,4569,0.46548
1796,3577,4580,4339,0.465516
3836,2016,4242,3579,0.465552
3296,2050,4919,4012,0.465657
4130,1792,4745,3751,0.465693
2077,2951,4823,4907,0.465713
2760,2257,4677,5003,0.465736
1901,3343,4602,4617,0.465758
2209,3555,4360,3327,0.465789
1808,4035,4435,3891,0.465838
2583,3468,3302,4633,0.465861
2342,3807,4459,2851,0.465878
2711,5010,3801,2372,0.465908
1969,4484,4631,2896,0.465962
1934,4974,4410,2770,0.465986
2932,4763,4597,2065,0.466013
4751,3133,2977,2903,0.466058
4786,3615,2453,3441,0.466105
2638,4397,3190,3438,0.466142
4046,3757,1983,4242,0.466211
4182,3231,2552,3603,0.466235
4557,2672,2681,3858,0.466302
5039,2678,2453,4163,0.466343
4653,2548,2671,4580,0.466363
5211,2459,2689,4168,0.466393
4728,3737,5390,1337,0.466411
4314,4028,5118,1425,0.466435
4612,4164,3912,1621,0.466477
4236,3594,3253,2424,0.466513
4556,4768,3943,1523,0.466579
4472,4533,4221,1424,0.466602
5215,1952,4581,2428,0.466642
