obj0,obj1,obj2,obj3,obj4,cpu
5092,3208,2204,4743,4113,22.8554
4401,4884,1855,4149,4513,22.8554
5419,4826,2357,4170,3225,22.8555
3024,3567,4590,4088,3150,22.8555
5612,4002,1710,4921,4030,22.8555
4810,2765,3064,3942,3932,22.8555
4933,4183,1763,4700,4378,22.8556
5276,3675,1867,4805,4194,22.8556
5439,3498,2147,5266,3629,22.8557
3899,3719,3572,4824,2656,22.8557
3986,4698,2439,4128,3987,22.8558
3800,4383,2236,4156,4985,22.8559
2684,4295,3724,4214,3687,22.8559
4285,3726,4321,3374,2949,22.856
2389,3909,4116,4155,4083,22.856
4982,3627,3815,5150,1974,22.8561
5542,3818,3168,5159,2297,22.8561
5648,3360,2513,5360,3108,22.8562
5088,3169,3160,5351,2785,22.8562
3698,2333,4442,4008,4793,22.8563
4570,4249,4288,3501,2591,22.8564
4834,4534,4052,3146,2987,22.8565
4846,4630,3637,3463,2776,22.8566
5163,4045,3838,3022,3234,22.8566
4614,3237,4107,3250,3196,22.8567
4965,3605,3897,2977,3633,22.8568
4792,4215,3633,2903,3945,22.8569
3264,4274,3017,4373,3942,22.8571
3260,4200,4182,4593,2605,22.8573
3309,4090,4557,4215,2792,22.8574
2819,4056,4088,4717,3025,22.8575
2975,3677,4215,4466,2963,22.8577
3926,2344,4136,4165,4469,22.858
3776,2719,3704,4308,3991,22.8581
4745,2453,3940,3799,3832,22.8582
4803,2657,4194,3249,3887,22.8584
2309,4101,4108,4294,4057,22.8584
5116,3008,2812,4022,3691,22.8585
5188,3396,2746,3878,3635,22.8587
5472,4843,1619,4372,4247,22.8589
1971,3862,4798,4662,4379,22.8589
2051,3670,4806,4523,4405,22.859
4283,2639,3395,4274,3979,22.859
4705,4923,1829,3920,4616,22.8592
5005,4571,1697,4556,4322,22.8593
5237,4222,1737,4471,4481,22.8594
4741,2879,3217,4828,3269,22.8595
5057,2966,2695,4369,3717,22.8597
5545,3952,2845,5002,2592,22.8599
5718,4456,2408,4657,2993,22.86
4537,3759,2900,5057,2971,22.8601
5684,4390,1644,4777,3974,22.8603
4868,5156,1777,3965,4438,22.8604
5125,4449,1879,4733,3898,22.8605
5589,3688,3767,4787,2022,22.8606
4980,3969,4236,3878,2272,22.8608
4910,3494,4513,5142,1855,22.8609
5238,3977,4658,4892,1644,22.861
4454,4561,4566,5104,1614,22.8611
2272,3811,4449,4170,4337,22.8611
3656,3736,4450,4564,2397,22.8612
2148,3891,4657,4751,3653,22.8613
2600,3483,4599,4546,3333,22.8614
4126,4078,4421,5354,1825,22.8615
5310,4110,3960,4900,1763,22.8616
3303,2820,4264,3825,4889,22.8617
2633,3566,4051,3940,4790,22.8618
3705,2939,4344,3521,4108,22.862
4548,2885,4980,4598,2474,22.8622
5307,4054,3081,3175,3865,22.8623
4935,3452,3576,3431,3169,22.8624
4841,2825,4079,3266,3524,22.8627
4511,2674,4059,3283,4477,22.8628
3995,3792,3691,3104,4973,22.863
3368,3976,3947,4817,2669,22.8632
2798,3923,4540,4591,2934,22.8634
3194,3459,4808,4562,2726,22.8635
2879,3996,4466,4902,2806,22.8637
