obj0,obj1,obj2,cpu
5200,6062,704,0.177617
5759,5921,562,0.177625
5795,5256,731,0.177634
4986,4873,1138,0.177642
5193,2751,2548,0.177652
3625,5985,1634,0.177659
4589,6143,1027,0.177665
4439,5636,1143,0.177676
5174,1136,5040,0.177686
5175,1520,4086,0.177693
5558,2405,2881,0.177705
929,5219,5438,0.177712
1817,3512,4956,0.177721
5530,5369,788,0.177736
4016,4599,1772,0.177743
5368,4509,1185,0.177755
5405,3964,1518,0.177765
4408,2611,3001,0.177776
2147,5740,3009,0.17779
1660,5091,3828,0.177798
1090,5505,4743,0.177817
4069,6378,1336,0.177823
4918,5997,860,0.17783
5359,1151,4793,0.177847
5019,1330,4491,0.177859
5515,1341,4388,0.177878
3608,2320,3900,0.17789
3035,2495,4394,0.177917
3466,1857,5298,0.177932
4909,2053,3435,0.177946
4249,2364,3318,0.177966
971,5574,5168,0.177983
2211,3093,4622,0.177998
1167,4656,5455,0.178018
1664,3674,5329,0.178036
2133,3028,5820,0.178051
2050,3144,5484,0.178064
2527,2609,5486,0.178082
4952,4763,1205,0.178099
3919,5871,1452,0.178118
3422,3275,3017,0.178143
5756,3333,2009,0.178165
5117,4202,1450,0.178179
3646,3909,2353,0.1782
1853,6562,3209,0.178237
2226,6245,2839,0.178251
1581,6558,3518,0.178264
1875,5736,3318,0.178281
1502,6053,3688,0.178302
2445,5281,2818,0.17832
2173,5277,3127,0.17835
2763,5011,2580,0.17837
1518,4910,4200,0.178406
2408,3923,3559,0.178428
1150,5930,4526,0.178443
1354,5016,4476,0.178454
1396,5580,4095,0.178469
3702,6553,1579,0.178483
2995,6349,2123,0.178494
2799,5592,2419,0.178504
2501,6051,2610,0.178517
4656,5566,1054,0.178527
4854,1182,5532,0.178544
4834,1315,4738,0.178557
4645,1282,5371,0.178575
4039,1682,4804,0.17859
3973,2307,3590,0.178613
3984,2477,3375,0.178641
3873,2207,3843,0.178657
4515,1831,3969,0.178678
3832,2942,3035,0.178709
4097,2829,2978,0.178733
3780,3745,2381,0.178757
2689,2880,4188,0.178775
2222,3263,4407,0.178797
2694,2473,5289,0.178814
2444,2725,5150,0.178834
1651,3873,4907,0.178858
1698,4278,4383,0.178876
2958,2254,5566,0.17889
5552,5020,893,0.178901
4931,3415,2085,0.178915
2522,3380,3857,0.178939
3206,3557,2954,0.178949
3240,2892,3594,0.178963
1774,6057,3379,0.178979
1420,6297,3843,0.17899
1232,5686,4371,0.178999
1000,5771,5045,0.179011
1254,5399,4467,0.17902
3313,6079,1885,0.179032
4244,5114,1445,0.179043
4223,1442,5542,0.17906
4432,1342,5703,0.179071
3841,1952,4428,0.179081
3268,2127,4922,0.179092
2461,2841,4761,0.179114
3597,1778,5439,0.179134
4092,1521,5401,0.17915
1498,4035,5280,0.179183
1490,3961,5653,0.179211
1828,3682,4741,0.179232
1534,4384,4659,0.179251
1562,3839,5569,0.179274
1747,3558,5665,0.179295
2791,2390,5763,0.179312
4089,4065,2007,0.179333
3046,3118,3542,0.179356
1875,4087,4217,0.179384
1695,4719,4034,0.179403
3111,5498,2168,0.179424
3307,6255,1872,0.179446
4377,1706,4365,0.179463
4106,1839,4371,0.179482
1405,4173,5420,0.179497
2108,3806,4109,0.179518
4514,1361,5230,0.179552
4412,1475,4909,0.179567
3333,1997,5162,0.179615
5459,2218,3199,0.281194
4152,3639,2276,0.28125
2909,3650,3273,0.281275
2905,2374,5238,0.281299
1442,4374,4960,0.281327
2840,4438,2822,0.281353
2250,4825,3281,0.28138
5472,2876,2514,0.281454
4639,2916,2641,0.281502
4560,2192,3421,0.281526
4344,4515,1666,0.281544
4522,4329,1695,0.281559
3974,3825,2247,0.281573
1606,4268,4684,0.281594
3299,1993,5495,0.281624
3154,5422,2159,0.281643
5170,2901,2503,0.281665
1648,3896,5236,0.281683
1941,3604,4846,0.281699
1791,3643,5575,0.281711
5641,3464,1978,0.281724
5315,3453,2009,0.281739
4645,2589,2942,0.281761
4461,5044,1356,0.281794
3450,4020,2472,0.281822
2672,2742,4710,0.281854
4876,2894,2582,0.281889
4636,3692,2055,0.281917
3950,5228,1627,0.281986
3673,2190,4140,0.378557
3906,1822,4668,0.378602
1511,4962,4207,0.378628
2850,2617,4495,0.378644
1324,4322,5604,0.378661
4367,4849,1490,0.378681
4170,1603,4945,0.378698
4645,2991,2584,0.378711
5468,5893,665,0.378731
4401,4959,1423,0.378755
4753,1863,3840,0.378776
4315,1814,4266,0.378792
3586,4716,2085,0.37881
3100,2365,4634,0.37884
3150,2734,3945,0.378856
3065,3037,3663,0.378871
2511,3210,4072,0.378885
3054,2867,3878,0.37891
1259,4746,5102,0.378928
3691,3353,2780,0.378946
4469,3496,2242,0.378965
4747,1338,4985,0.378986
5567,6130,626,0.379002
3471,5158,2022,0.379022
4707,5467,1104,0.379041
5900,1912,3557,0.379058
5173,1834,3712,0.379076
3180,4632,2443,0.379095
2158,5301,3201,0.379115
1085,5033,5426,0.37914
1190,5099,4963,0.379158
3620,4826,2018,0.379175
4778,3816,1868,0.379193
4242,3664,2224,0.379215
4668,1572,4461,0.379254
2442,4921,3030,0.379275
4924,5397,1015,0.379297
1865,5392,3534,0.379317
1179,4972,5139,0.379337
1270,4873,4926,0.379353
3214,4742,2376,0.379376
4483,1557,4708,0.379418
3204,4186,2638,0.379437
2476,5031,2963,0.379459
2805,4941,2672,0.379474
2670,4793,2865,0.379506
3159,5252,2273,0.379546
4194,5845,1320,0.455257
1453,4162,5637,0.455329
3247,3630,2916,0.455361
3674,6080,1629,0.455395
4416,2560,3131,0.455423
1121,5733,4649,0.455457
2922,2512,4716,0.455496
4799,2524,3020,0.455525
4064,4470,1884,0.455557
4812,3187,2397,0.455584
5645,3331,2125,0.455617
4985,3642,2008,0.455637
3947,3941,2194,0.455659
4086,2442,3430,0.455687
2229,6047,2919,0.455708
1856,6364,3289,0.455731
2128,6368,2980,0.455756
2810,4503,2877,0.455779
2527,5588,2728,0.455802
1967,4723,3725,0.455826
3420,4085,2527,0.455862
1508,4359,5013,0.455898
3120,2242,5092,0.455926
3821,2555,3487,0.455955
4875,5129,1242,0.456013
2813,5957,2359,0.456036
3362,6174,1880,0.456058
1117,5084,5369,0.456079
2102,4432,3740,0.456099
2538,4499,3186,0.456127
4805,5764,997,0.456155
3589,3471,2830,0.456195
3537,4614,2217,0.456252
1431,5208,4301,0.456286
1285,5627,4373,0.456309
1793,5980,3473,0.456328
1801,4067,4623,0.456349
5076,2249,3248,0.456371
4259,4992,1582,0.45639
4610,5242,1299,0.456411
3999,5323,1622,0.456478
3858,3549,2593,0.456502
4516,6204,1088,0.507396
2524,5786,2648,0.507457
2842,5516,2410,0.507482
4868,1589,4164,0.507508
3961,2078,4095,0.507533
4226,1965,4038,0.50756
4295,2305,3478,0.507612
4816,4336,1616,0.50764
3105,3539,3154,0.507663
5127,6123,765,0.507717
3961,2627,3330,0.507736
3498,2715,3652,0.50776
3202,2309,4739,0.507794
3234,5574,2055,0.507821
2771,3312,3771,0.50785
2512,3071,4354,0.507876
3400,2039,5115,0.507925
4159,1808,4471,0.507947
4616,1417,4844,0.507974
3399,3425,2972,0.508
4865,5692,959,0.508032
5733,3483,1964,0.508072
3996,6439,1397,0.508092
2360,3157,4580,0.508113
4194,1577,5015,0.508145
4801,1432,4597,0.508178
3557,3517,2752,0.508225
3006,2420,4858,0.508327
2959,3835,3099,0.50835
2124,4303,3730,0.52931
3245,5135,2247,0.52936
5207,3036,2390,0.529393
4954,3311,2210,0.529419
3685,5305,1851,0.529466
3636,5546,1826,0.52949
1714,4225,4443,0.529517
1550,4331,4719,0.529542
4450,2541,3093,0.606922
1956,3530,4778,0.606959
4894,3960,1752,0.606984
1840,4459,4011,0.60701
2396,4083,3531,0.607038
2431,3711,3737,0.607066
4077,4225,1979,0.607157
3194,3717,2926,0.60721
1816,4905,3816,0.607238
2372,4529,3336,0.60728
2694,4347,3060,0.607319
1598,4188,4948,0.607366
4808,2180,3379,0.607395
2342,3000,4933,0.607458
3663,4949,1958,0.607493
2114,5169,3345,0.607659
1864,3917,4432,0.607706
1700,4023,4708,0.607754
2510,3540,3829,0.607798
1782,3817,5102,0.607841
4652,1990,3784,0.607927
4532,2123,3651,0.607954
2199,3253,4594,0.608042
2499,3370,4044,0.608085
4174,2484,3365,0.608115
3961,2467,3562,0.608147
2120,3424,4502,0.608244
4735,3672,2003,0.608274
5078,4471,1460,0.608305
