obj0,obj1,obj2,cpu
6945,2716,3020,0.333685
7209,3630,2330,0.333711
6668,1037,5506,0.333732
7150,1139,5197,0.333757
6277,1308,4927,0.333785
920,6037,6541,0.333823
6236,4981,1654,0.33385
6571,4765,1726,0.333887
5896,6052,1408,0.333915
6123,5323,1544,0.33394
5613,1985,4089,0.33397
6304,1554,4424,0.334016
6786,1656,4115,0.334038
6180,1396,4756,0.33406
5782,5006,1740,0.334091
6595,4339,1941,0.33412
6296,4017,2180,0.334153
6553,3941,2183,0.334213
3003,6086,2944,0.33424
4749,1561,6851,0.334264
6371,1070,5685,0.334289
5694,1222,6180,0.33431
1820,3763,6498,0.334349
4125,2408,4927,0.334379
3627,2559,5315,0.334405
3749,2094,7120,0.334429
1009,6365,6056,0.334456
1896,6377,4183,0.334481
2929,5864,3045,0.334502
2275,6143,3715,0.334541
1719,5815,4500,0.334577
1471,5884,4961,0.334621
1083,5160,7207,0.33465
930,5651,7285,0.334678
953,5736,6844,0.3347
7251,4028,2088,0.334732
6276,5805,1423,0.334754
5743,5570,1529,0.33478
5669,5348,1630,0.334829
3596,6043,2552,0.334864
4945,6179,1827,0.334891
5255,6140,1678,0.334913
5482,1812,4459,0.334938
4906,2104,4529,0.334977
5953,1552,4578,0.335007
6216,1896,3954,0.335037
6759,1410,4618,0.335089
5884,4440,2024,0.335115
5102,5658,1799,0.335151
5845,3729,2499,0.335195
5433,4152,2343,0.335236
6032,2525,3389,0.335278
6693,2807,3001,0.33531
6338,4415,1938,0.33534
4109,6271,2245,0.335374
5563,1248,6452,0.335399
3409,2328,6729,0.335449
4238,1790,7048,0.335489
5975,1149,6176,0.335516
1801,3833,6349,0.335548
2656,2988,6440,0.335588
1964,3588,6792,0.33562
1600,4122,6633,0.335644
1581,4192,6484,0.335676
1213,4859,7088,0.335715
1682,4253,5995,0.335742
1837,4351,5546,0.335772
3414,2976,4841,0.335797
3682,2964,4519,0.335844
3213,2453,6843,0.335884
2800,2813,6734,0.335908
1131,6470,5657,0.335941
1251,6097,5432,0.335977
2076,6272,3957,0.33601
1899,5710,4274,0.336039
2063,4985,4362,0.33609
2524,5820,3520,0.336127
2822,4973,3509,0.336159
2979,5485,3121,0.336225
3111,4390,3603,0.336255
2692,4221,4181,0.336288
1073,5546,6463,0.336368
1596,6074,4652,0.336423
1705,5108,4923,0.336452
7227,4454,1873,0.33649
4266,5750,2217,0.336516
4192,5528,2318,0.336554
5964,1987,3935,0.336606
5248,1583,5571,0.336638
5865,1894,4108,0.336676
6931,2056,3669,0.336713
6284,2434,3408,0.33674
6662,1498,4447,0.336769
5028,5436,1900,0.336801
5734,3157,2977,0.336849
2352,4402,4456,0.33689
2872,3895,4301,0.336917
5638,2435,3642,0.336959
3555,3710,3772,0.336995
3647,3886,3533,0.337042
3988,4767,2790,0.337079
5331,4718,2059,0.337122
5416,1298,6670,0.337165
3069,2628,6549,0.337199
1194,4929,6939,0.337246
1587,4245,6355,0.337282
3083,3020,5276,0.337319
3138,3425,4480,0.33735
2798,3606,4755,0.337394
1376,6287,5123,0.337447
2148,5387,4079,0.337476
3522,5821,2653,0.337517
3268,4902,3215,0.337557
3105,4143,3828,0.337594
3561,3957,3547,0.337628
2403,4804,4087,0.337665
1165,5481,6127,0.337707
1607,4712,5643,0.337755
1385,5268,5656,0.337794
1544,5143,5298,0.337842
6259,1984,3855,0.337885
6883,1568,4286,0.337936
6143,3097,2911,0.337969
2116,4630,4618,0.338008
5208,2640,3677,0.338043
3872,3788,3465,0.33809
4139,2844,4213,0.338139
5989,2437,3488,0.338179
4044,3964,3222,0.338212
5203,4151,2430,0.33825
4187,4354,2886,0.338299
4481,4945,2412,0.338332
5132,5131,1963,0.338371
3702,2149,6771,0.338408
3801,2198,6284,0.338446
6240,1096,5957,0.338484
2838,3180,5470,0.338522
2532,4076,4576,0.33856
1460,4809,6008,0.338603
3322,3462,4245,0.33866
2553,5431,3604,0.338699
3699,5350,2696,0.338732
4790,1852,5498,0.338775
4016,2208,5753,0.33883
6007,2075,3836,0.338872
6829,1744,4016,0.338916
3892,3022,4230,0.33896
5092,3579,2908,0.339014
4966,3604,2959,0.339173
4101,4425,2900,0.339221
3448,2491,5976,0.339259
3533,2508,5699,0.339301
3117,2663,6289,0.339344
1286,4864,6603,0.339391
1292,4917,6474,0.339431
4594,4603,2522,0.339485
4573,1877,5858,0.339545
1200,4982,6810,0.339596
4316,3711,3260,0.339659
5480,6045,1671,0.586957
6529,4367,1968,0.587016
6194,4583,1896,0.587036
4839,6133,1941,0.587083
5743,4295,2215,0.587107
6081,4925,1786,0.587155
1771,6187,4492,0.587257
1028,5869,6458,0.587286
5170,3569,2933,0.587349
7185,4056,2115,0.5874
5515,1373,5936,0.587487
3641,2441,5882,0.587578
1651,5779,4735,0.587624
1038,5483,7202,0.587677
5340,3067,3230,0.587748
3940,3678,3660,0.587811
4025,4243,3168,0.587857
3260,4110,3803,0.587899
2746,4395,4055,0.587938
2884,5374,3423,0.587984
5988,1187,5938,0.588147
4444,1872,6524,0.58825
4737,1812,5768,0.588286
2150,5953,4024,0.588328
2316,5635,3913,0.5884
3477,5331,3031,0.588452
4458,2984,3917,0.588497
2926,4069,4175,0.58854
2611,5096,3795,0.588581
2388,4897,4139,0.588631
3431,5865,2911,0.58868
4024,5822,2519,0.588711
5544,4708,2119,0.588794
5841,1237,6156,0.588851
3207,2623,6597,0.588896
3228,2801,5773,0.588935
2820,3014,6165,0.588972
2377,3228,6901,0.589044
4177,2082,6159,0.589092
3615,2410,6205,0.589148
5004,1602,6133,0.58921
1117,6197,5973,0.589248
