obj0,obj1,obj2,cpu
6945,2716,3020,0.221932
7209,3630,2330,0.221946
6668,1037,5506,0.22197
7150,1139,5197,0.221986
6277,1308,4927,0.221995
920,6037,6541,0.222008
6236,4981,1654,0.222018
6571,4765,1726,0.222029
5896,6052,1408,0.222039
6123,5323,1544,0.222047
5613,1985,4089,0.222057
6304,1554,4424,0.222072
6786,1656,4115,0.222079
6180,1396,4756,0.222086
5782,5006,1740,0.222097
6595,4339,1941,0.222107
6296,4017,2180,0.222116
6553,3941,2183,0.222134
3003,6086,2944,0.222144
4749,1561,6851,0.222157
6371,1070,5685,0.222168
5694,1222,6180,0.222176
1820,3763,6498,0.222193
4125,2408,4927,0.222203
3627,2559,5315,0.222212
3749,2094,7120,0.222219
1009,6365,6056,0.222229
1896,6377,4183,0.222237
2929,5864,3045,0.222243
2275,6143,3715,0.222256
1719,5815,4500,0.222267
1471,5884,4961,0.222285
1083,5160,7207,0.222296
930,5651,7285,0.222305
953,5736,6844,0.222312
7251,4028,2088,0.222327
6276,5805,1423,0.222334
5743,5570,1529,0.222343
5669,5348,1630,0.222357
3596,6043,2552,0.222368
4945,6179,1827,0.222378
5255,6140,1678,0.222386
5482,1812,4459,0.222394
4906,2104,4529,0.222407
5953,1552,4578,0.22242
6216,1896,3954,0.222442
6759,1410,4618,0.222458
5884,4440,2024,0.222467
5102,5658,1799,0.222482
5845,3729,2499,0.222504
5433,4152,2343,0.222519
6032,2525,3389,0.222572
6693,2807,3001,0.222584
6338,4415,1938,0.222595
4109,6271,2245,0.222606
5563,1248,6452,0.222614
3409,2328,6729,0.222624
4238,1790,7048,0.222647
5975,1149,6176,0.222657
1801,3833,6349,0.222668
2656,2988,6440,0.222684
1964,3588,6792,0.222696
1600,4122,6633,0.222704
1581,4192,6484,0.222735
1213,4859,7088,0.22275
1682,4253,5995,0.222759
1837,4351,5546,0.222769
3414,2976,4841,0.222778
3682,2964,4519,0.222797
3213,2453,6843,0.222811
2800,2813,6734,0.222819
1131,6470,5657,0.222835
1251,6097,5432,0.222843
2076,6272,3957,0.222854
1899,5710,4274,0.222864
2063,4985,4362,0.22288
2524,5820,3520,0.222892
2822,4973,3509,0.222902
2979,5485,3121,0.222919
3111,4390,3603,0.222929
2692,4221,4181,0.22294
1073,5546,6463,0.222959
1596,6074,4652,0.223003
1705,5108,4923,0.223014
7227,4454,1873,0.223028
4266,5750,2217,0.223038
4192,5528,2318,0.223052
5964,1987,3935,0.223069
5248,1583,5571,0.223081
5865,1894,4108,0.223095
6931,2056,3669,0.223109
6284,2434,3408,0.223119
6662,1498,4447,0.223131
5028,5436,1900,0.223143
5734,3157,2977,0.223163
2352,4402,4456,0.223178
2872,3895,4301,0.223188
5638,2435,3642,0.223215
3555,3710,3772,0.223228
3647,3886,3533,0.223246
3988,4767,2790,0.223261
5331,4718,2059,0.223281
5416,1298,6670,0.223299
3069,2628,6549,0.223311
1194,4929,6939,0.223328
1587,4245,6355,0.223341
3083,3020,5276,0.223355
3138,3425,4480,0.223366
2798,3606,4755,0.223379
1376,6287,5123,0.223394
2148,5387,4079,0.223405
3522,5821,2653,0.22342
3268,4902,3215,0.223435
3105,4143,3828,0.223449
3561,3957,3547,0.223462
2403,4804,4087,0.223474
1165,5481,6127,0.223495
1607,4712,5643,0.223548
1385,5268,5656,0.223563
1544,5143,5298,0.22358
6259,1984,3855,0.223594
6883,1568,4286,0.223608
6143,3097,2911,0.22362
2116,4630,4618,0.223646
5208,2640,3677,0.22366
3872,3788,3465,0.223682
4139,2844,4213,0.2237
5989,2437,3488,0.223715
4044,3964,3222,0.223727
5203,4151,2430,0.223742
4187,4354,2886,0.22376
4481,4945,2412,0.223773
5132,5131,1963,0.223788
3702,2149,6771,0.223802
3801,2198,6284,0.223823
6240,1096,5957,0.223837
2838,3180,5470,0.223852
2532,4076,4576,0.223866
1460,4809,6008,0.223882
3322,3462,4245,0.223901
2553,5431,3604,0.223915
3699,5350,2696,0.223928
4790,1852,5498,0.223943
4016,2208,5753,0.223968
6007,2075,3836,0.223985
6829,1744,4016,0.224
3892,3022,4230,0.224017
5092,3579,2908,0.224035
4966,3604,2959,0.224057
4101,4425,2900,0.224077
3448,2491,5976,0.224093
3533,2508,5699,0.224109
3117,2663,6289,0.224126
1286,4864,6603,0.224145
1292,4917,6474,0.22416
4594,4603,2522,0.22418
4573,1877,5858,0.224195
1200,4982,6810,0.224224
4316,3711,3260,0.224248
5480,6045,1671,0.389993
6529,4367,1968,0.390039
6194,4583,1896,0.390054
4839,6133,1941,0.390085
5743,4295,2215,0.390104
6081,4925,1786,0.390121
1771,6187,4492,0.390157
1028,5869,6458,0.390175
5170,3569,2933,0.390199
7185,4056,2115,0.390226
5515,1373,5936,0.390261
3641,2441,5882,0.390306
1651,5779,4735,0.390328
1038,5483,7202,0.390348
5340,3067,3230,0.390381
3940,3678,3660,0.390409
4025,4243,3168,0.390433
3260,4110,3803,0.390454
2746,4395,4055,0.390472
2884,5374,3423,0.390493
5988,1187,5938,0.390555
4444,1872,6524,0.390614
4737,1812,5768,0.390641
2150,5953,4024,0.390682
2316,5635,3913,0.390708
3477,5331,3031,0.390728
4458,2984,3917,0.390759
2926,4069,4175,0.390784
2611,5096,3795,0.390806
2388,4897,4139,0.390834
3431,5865,2911,0.390861
4024,5822,2519,0.39088
5544,4708,2119,0.390914
5841,1237,6156,0.39094
3228,2801,5773,0.390981
2820,3014,6165,0.391002
2377,3228,6901,0.391037
4177,2082,6159,0.391058
3615,2410,6205,0.391083
5004,1602,6133,0.391102
1117,6197,5973,0.391119
2442,3403,5972,0.391162
