obj0,obj1,obj2,cpu
-167,-366,-397,0.186275
-197,-361,-352,0.39069
-208,-329,-347,1.17304
-230,-434,-74,1.37299
-203,-132,-361,1.42644
-192,-164,-366,1.50625
-206,-380,-216,1.50978
-189,-471,-124,1.56873
-205,-454,-16,1.64783
-244,-95,-311,1.67563
-235,-378,-260,1.70735
-88,-368,-325,1.82351
-238,-324,-302,2.02577
-271,-397,-24,2.02904
-87,-442,-198,2.05045
-267,-393,-57,2.08674
-253,-430,-7,2.09283
-232,-454,84,2.09835
-237,-398,-102,2.2049
-292,-373,-115,2.22731
-221,-415,-210,2.25606
-194,-415,-310,2.26057
-233,-127,-316,2.26599
-104,-528,94,2.29316
-141,-491,-11,2.29625
-61,-496,-101,2.31343
-192,-417,-166,2.40531
-211,-275,-316,2.41181
-9,-498,71,2.42671
-205,-334,-292,2.47269
-262,-378,-160,2.4767
-278,-186,-250,2.49188
-249,-292,-297,2.4927
-168,-491,89,2.51224
-88,-496,-1,2.54011
-233,-380,-116,2.54148
-274,-90,-266,2.54229
-276,-341,-210,2.54519
-306,-336,-165,2.54674
-218,-196,-340,2.54932
