obj0,obj1,obj2,cpu
-244,-480,-294,0.0845657
-239,-298,-333,0.532183
-301,-106,-340,0.731077
-108,-510,-294,0.762264
-248,-266,-305,0.934536
-299,-218,-296,1.23995
-179,-276,-350,1.32845
-117,-468,-343,1.46464
-198,-332,-346,1.56883
-283,-317,-208,1.60133
-304,-48,-307,1.62128
-322,52,-360,1.65195
-166,-334,-331,1.65693
-136,-224,-360,1.66098
-168,-92,-355,1.6616
-260,160,-374,1.67436
-301,348,-370,1.67543
-260,-140,-353,1.69288
-278,-376,-276,1.71162
-245,130,-368,1.71578
-309,11,-239,1.72093
-228,-142,-338,1.7263
-183,-62,-361,1.73393
-198,-32,-367,1.73455
-306,-47,-272,1.73694
-157,-366,-359,1.73851
-189,-374,-297,1.74016
-269,-108,-325,1.74176
-230,100,-362,1.74351
-207,-300,-318,1.7464
