obj0,obj1,obj2,cpu
-888,468,227,0.337904
-150,-213,-196,1.09798
-426,130,-85,2.31343
-176,-282,-112,2.36129
-71,-201,-248,3.17685
-52,-304,-223,3.20489
49,-444,-189,4.05025
-92,-290,-210,4.05025
-192,-215,-169,4.05026
-267,-83,-151,4.13932
-884,553,213,4.45043
-187,-66,-228,4.578
-468,173,-109,4.99193
-112,-273,-149,5.16157
-51,-369,-148,5.16158
-50,-288,-237,5.21833
-248,-69,-155,5.23507
-308,-8,-127,5.24516
-252,-154,-141,5.31185
-394,-46,31,5.40417
-354,-125,-40,5.58299
-325,92,-174,5.63282
-308,37,-178,5.67456
-234,87,-205,5.70787
-109,-235,-206,5.76518
-124,-164,-216,5.81087
-265,16,-197,5.81361
-209,-160,-165,5.95574
-213,-128,-180,5.97242
-712,230,111,6.38521
-368,23,-53,6.39831
-212,-198,-108,6.40415
-51,-365,-234,6.41567
134,-452,-154,6.42617
6,-434,-251,6.43464
-10,-302,-250,6.45814
-268,-22,-140,6.50884
-410,21,-26,6.76952
-268,23,-191,6.87407
-154,-188,-175,6.87864
-227,-52,-215,6.89599
-233,26,-216,6.93508
-395,234,-188,6.94413
-172,-167,-172,7.01716
-131,-242,-196,7.02209
-365,61,-110,7.2615
-486,223,-80,7.47357
-315,-99,-79,7.77797
91,-442,-216,7.81849
-210,-152,-168,7.83255
-152,-229,-182,7.91667
-269,-133,-5,7.98407
-708,315,97,8.12765
-572,111,103,8.17941
-672,186,144,8.17944
-354,159,-212,8.21487
-314,115,-179,8.21491
-412,289,-184,8.27169
-368,98,-150,8.46397
-232,-106,-144,8.47529
-309,-85,-124,8.57769
-450,65,-59,8.58366
-506,211,-45,8.67606
-310,-24,-113,8.7912
-610,201,10,8.79122
-365,91,-156,8.8023
-512,167,-24,8.87181
-224,-89,-175,9.11695
-612,155,70,9.18099
-312,-123,-67,9.19965
-348,6,-114,9.22301
-201,-100,-210,9.24394
-26,-170,-249,9.27063
-90,-179,-212,9.29243
-170,-121,-232,9.29248
-130,-135,-245,9.29656
-352,-79,-100,9.2983
-468,128,-58,9.31596
-369,-58,36,9.36082
-530,113,76,9.37309
-446,150,-73,9.50107
-546,225,-32,9.52132
-452,303,-171,9.55721
-181,73,-237,9.5705
-329,124,-189,9.58126
-399,119,-128,9.64916
-289,-37,-127,9.72962
-329,-23,-114,9.72964
-370,7,-39,9.81845
-507,134,-42,9.83312
-550,140,-18,9.84114
-409,-14,3,9.84116
-648,284,23,10.0267
-367,45,-96,10.074
-667,270,27,10.074
-369,93,-125,10.1944
-585,303,-64,10.2923
-344,78,-170,10.4537
-522,235,-98,10.4567
-422,160,-139,10.4567
-412,5,-12,10.487
-512,80,29,10.4883
-266,-6,-154,10.5082
-67,-233,-233,10.514
32,-300,-277,10.5221
-130,-165,-199,10.5339
-74,-311,-213,10.5349
-124,4,-254,10.5481
-119,-112,-250,10.5599
-408,67,-86,10.5663
-510,96,15,10.6522
-435,248,-175,10.7189
-456,335,-186,10.7342
-278,-14,-132,10.7693
-512,364,-143,10.7823
-495,309,-147,10.8042
-370,52,-90,10.8227
-425,167,-133,10.8388
-351,30,-126,10.8668
-465,136,-69,10.9089
-470,82,2,10.9108
-570,157,43,10.9361
-668,301,84,10.9362
-627,226,60,10.9454
-428,129,-76,11.0535
-434,237,-123,11.1528
-739,578,-4,11.1657
-389,38,-86,11.2169
-764,491,65,11.2642
-706,391,-9,11.3236
-708,345,51,11.3957
-411,91,-98,11.3977
-781,523,9,11.4182
