obj0,obj1,obj2,cpu
126,-495,-107,1.5965
-211,-285,-257,2.36196
14,-395,-362,2.60638
-294,-342,-177,3.26052
-428,-391,-48,3.3109
-289,-247,-332,5.4068
-69,-312,-393,6.14532
-397,-345,-107,6.92214
-181,-379,-257,7.86655
-109,-350,-315,9.30996
-240,-376,-207,10.3577
-157,-319,-287,10.3577
68,-318,-468,12.0115
-191,-193,-345,12.1073
-168,-78,-454,12.3286
-61,11,-498,12.3601
-52,-361,-366,12.5274
-24,-410,-357,12.5561
-64,-448,-279,12.5561
-19,-25,-612,13.6535
-59,-63,-534,13.6536
-419,-279,-71,13.6972
-274,-250,-265,13.7317
-497,-325,-58,13.9503
-331,-211,-218,13.9504
-340,-356,-158,13.9843
110,-429,-351,14.7756
141,-383,-410,14.8316
-80,-142,-428,15.1219
-246,-256,-268,15.1219
-412,-342,-174,15.1316
-246,-228,-334,15.1316
-191,-333,-234,15.2782
83,-321,-401,15.781
-137,-284,-336,16.3685
158,-485,-198,16.4095
-99,-101,-456,16.4149
34,-192,-526,16.4279
-117,-281,-365,16.4599
-237,-353,-228,16.4765
-154,-296,-308,16.4765
-431,-359,-54,16.5518
-444,-397,66,16.5546
-291,-173,-296,16.5701
-100,-330,-338,16.5904
-214,-308,-236,16.617
-174,-270,-314,16.617
-235,-273,-274,16.626
-152,-216,-354,16.626
-221,-417,-179,16.712
-247,-360,-187,16.8745
-164,-303,-267,16.8745
-213,-419,-95,17.3159
-206,-190,-412,17.5578
32,-118,-490,17.5609
-225,-177,-374,17.5643
-142,-120,-454,17.5643
-123,-161,-426,17.5662
-40,-104,-506,17.5662
-34,-364,-334,17.6004
-331,-379,-103,17.6113
-466,-331,102,17.6215
-134,-204,-396,17.6346
-297,-365,-156,17.6583
-183,-262,-295,17.6686
-266,-319,-215,17.6686
-226,-281,-293,17.6728
-143,-224,-373,17.6728
-209,-330,-266,17.7058
-378,-386,-79,17.7242
-122,-410,-249,17.9572
-146,-276,-317,18.0464
10,-269,-413,18.1662
-121,-437,-228,18.3163
-163,-199,-348,18.3285
-78,-304,-374,18.3861
-49,-69,-462,18.4039
-91,-364,-308,18.5904
-317,-415,-20,18.7023
-175,-383,-224,18.8147
-168,-489,-55,18.8977
-191,-432,-98,18.9087
-278,-406,-128,18.9253
126,-442,-292,18.9313
-6,-230,-448,18.9342
-89,-287,-368,18.9381
-314,-288,-187,18.9441
-248,-322,-183,18.9502
-279,-368,-124,18.9521
-208,-116,-376,18.9527
14,-128,-476,18.9611
-86,-235,-424,18.9756
-90,-391,-287,19.0724
-107,-314,-318,19.0754
78,-324,-396,19.0878
118,-286,-474,19.0878
-32,-173,-456,19.1468
70,-467,-273,19.2518
-24,-143,-471,19.2962
-33,-135,-452,19.2994
-18,-414,-324,19.3235
-34,-463,-198,19.3904
-30,-492,-184,19.3933
-344,-430,16,19.3944
28,-356,-390,19.3986
-329,-285,-254,19.4037
-414,-268,-138,19.4172
-257,-299,-238,19.4192
-126,-273,-346,19.4357
-33,-402,-338,19.4816
21,-340,-370,19.548
51,-269,-495,19.5512
101,-421,-332,19.6237
1,-261,-394,19.6343
-141,-427,-129,19.6449
-293,-448,-46,19.6851
-325,-458,45,19.6907
-286,-294,-190,19.7103
-374,-230,-216,19.7226
-138,-360,-259,19.7369
-190,-371,-238,19.77
-10,-461,-200,19.7923
42,-261,-476,19.8081
41,-223,-472,19.8586
54,-428,-308,19.8655
-251,-449,-16,19.8783
-187,-461,-84,19.8965
-129,-325,-290,19.9012
-23,-181,-475,19.936
-24,-242,-406,19.9428
16,-458,-229,20.0026
-402,-398,96,20.0057
-15,-250,-425,20.0402
-115,-230,-376,20.0556
49,-292,-422,20.0701
-345,-402,193,20.0878
94,-390,-386,20.1283
88,-472,-213,20.1311
11,-307,-417,20.1468
2,-299,-398,20.1614
-94,-480,-116,20.1641
