obj0,obj1,obj2,cpu
-487,-705,-769,0
-518,-781,-585,0
-505,-736,-655,0
-352,-740,-753,0
-427,-747,-702,0
-517,-646,-726,0
-578,-724,-403,0
-420,-754,-727,0
-542,-697,-487,0
-459,-774,-696,0
-455,-678,-775,0
-550,-771,-471,0
-601,-554,-544,0
-446,-729,-766,0
-586,-647,-625,0
-475,-756,-653,0
-411,-765,-745,0
-564,-662,-469,0
-510,-707,-601,0
-565,-655,-677,0
-356,-795,-681,0
-419,-523,-791,0
-519,-717,-514,0
-522,-693,-592,0
-619,-468,-422,0
-503,-687,-726,0
-506,-711,-635,0
-496,-654,-778,0
-566,-654,-453,0
-532,-554,-728,0
