obj0,obj1,obj2,cpu
-378,-400,-418,4.71337
-301,-451,-405,8.83741
-493,-261,-474,10.5373
-448,-296,-480,10.5374
-452,-239,-538,10.8966
-634,-132,-270,11.9269
-302,-211,-564,20.3539
-330,-415,-513,30.8894
-626,-25,-333,38.0329
-608,-246,-433,39.0782
-615,-263,-255,39.8859
-308,-423,-402,40.0452
-427,-242,-509,40.3505
-429,-371,-422,40.9986
-475,-293,-499,41.2965
-377,-412,-332,41.3488
-577,-360,-465,41.3544
-337,-378,-482,41.387
-425,-266,-540,41.3919
-385,-426,-306,41.6038
-504,-203,-498,41.6218
-488,-241,-497,41.6727
-478,-279,-474,41.6782
-534,-186,-492,41.7355
-544,-232,-478,41.7376
-314,-348,-542,41.7385
-284,-472,-225,41.7586
-580,-275,-128,41.7664
-450,-362,-431,41.825
-409,-340,-495,41.826
-322,-461,-335,41.8543
-480,-229,-513,41.882
-401,-292,-555,41.8839
-405,-397,-437,41.9548
