obj0,obj1,obj2
-1229,-669,-304
-1221,-718,-323
-1213,-720,-385
-1136,-615,-405
-1130,-695,-463
-1109,-665,-481
-1098,-811,-525
-1060,-747,-541
-1035,-761,-559
-1035,-705,-608
-969,-809,-617
-965,-683,-623
-926,-742,-630
-922,-646,-687
-837,-666,-756
-1223,-727,-291
-787,-702,-766
-769,-674,-783
-766,-447,-804
-726,-607,-809
-1215,-776,-310
-701,-682,-810
-676,-643,-819
-676,-418,-839
-655,-388,-857
-652,-672,-862
-649,-430,-864
-605,-424,-867
-588,-515,-871
-1162,-805,-381
-582,-589,-873
-578,-763,-883
-574,-612,-887
-559,-571,-900
-552,-636,-912
-547,-663,-916
-1084,-834,-42
-527,-302,-951
-1074,-873,-443
-455,-487,-955
-450,-589,-960
-428,-406,-974
-393,-453,-975
-384,-757,-1000
-927,-875,-555
-922,-910,-600
-357,-574,-1016
-743,-702,-794
-269,-539,-1051
-674,-463,-830
-658,-615,-836
-915,-719,-633
-905,-668,-636
-899,-754,-655
-665,-550,-824
-898,-692,-658
-992,-755,-568
-880,-664,-675
-991,-739,-582
-497,-609,-942
-590,-626,-865
-913,-912,-570
-864,-761,-662
-857,-734,-671
-884,-922,-376
-837,-720,-688
-820,-688,-705
-987,-752,-578
-159,-506,-1066
-1010,-783,-551
-461,-445,-948
-814,-730,-712
-793,-670,-729
-798,-945,-501
-985,-797,-569
-787,-758,-717
-919,-754,-622
-1006,-859,-533
-1031,-845,-515
-832,-841,-675
-909,-791,-621
-127,-586,-1079
-883,-799,-646
-780,-735,-727
-796,-747,-684
-754,-759,-737
-788,-819,-698
-751,-879,-758
-851,-792,-658
-741,-779,-761
-721,-759,-780
-97,-619,-1122
-660,-702,-795
-649,-865,-825
-719,-710,-793
-764,-833,-700
-782,-958,-336
-876,-861,-633
-695,-718,-792
-626,-734,-837
-850,-869,-658
-853,-850,-640
-671,-795,-790
-620,-690,-842
-653,-773,-792
-608,-684,-849
-475,-695,-924
-484,-700,-884
-475,-756,-912
-449,-694,-939
-745,-962,-705
-399,-730,-949
-692,-864,-760
-602,-742,-836
-389,-630,-952
-432,-752,-940
-620,-963,-572
-616,-988,-590
-775,-842,-661
-550,-992,-851
-828,-885,-655
-434,-752,-914
-842,-913,-491
-508,-895,-859
-492,-777,-873
-245,-688,-1017
-427,-781,-874
-400,-845,-875
-392,-787,-928
-750,-914,-619
-486,-835,-860
-473,-810,-863
-183,-847,-1029
-450,-809,-865
-427,-803,-869
-793,-926,-595
57,-749,-1135
-138,-811,-1031
-377,-899,-924
-425,-987,-863
-713,-955,-717
-369,-795,-933
-555,-944,-765
-608,-894,-734
-359,-765,-937
-342,-823,-938
-126,-622,-1074
-335,-796,-947
-581,-922,-739
-580,-920,-750
-324,-795,-955
-219,-710,-1003
-313,-866,-982
-115,-749,-1052
-395,-904,-869
-206,-727,-1003
196,-680,-1152
-190,-838,-991
-318,-831,-937
-576,-991,-533
-97,-791,-1067
-29,-875,-1095
-544,-1016,-416
-444,-945,-859
-102,-785,-1036
-252,-894,-936
-370,-928,-884
-234,-867,-943
-226,-916,-962
-359,-905,-887
-358,-903,-898
-339,-945,-902
-175,-866,-988
-250,-905,-905
-184,-896,-978
-141,-870,-1001
39,-777,-1118
362,-569,-1173
-396,-997,-669
-356,-1000,-612
-252,-1003,-737
-228,-1015,-790
-249,-1012,-620
-239,-990,-863
