obj0,obj1,obj2,cpu
-306,-860,-436,10.3789
-537,-215,-458,38.1126
-210,-847,-531,56.7432
-364,-417,-758,116.327
-247,-421,-847,179.216
-362,-711,-660,183.115
-441,-483,-611,230.644
-450,5,-719,362.603
-481,-354,-564,453.974
-469,-492,-544,550.082
-490,-92,-669,613.841
-237,-293,-904,638.973
-558,-266,-180,648.329
-648,359,-408,674.578
-646,341,-423,675.542
-385,85,-777,699.485
-484,33,-670,700.275
-657,406,-503,729.767
-415,66,-746,750.464
-417,-256,-734,789.539
-545,-289,-329,837.396
-534,-232,-472,840.071
-637,285,-375,852.06
-415,-158,-742,863.258
-588,-46,-463,869.837
-281,-785,-718,894.523
-409,-556,-492,894.528
-487,175,-697,897.128
-503,-375,-520,898.114
-583,333,-540,899.148
-242,-23,-971,900.24
-230,-786,-587,901.259
-652,216,-367,902.431
-640,77,-354,902.454
-469,-506,-503,903.011
-443,-519,-502,903.021
-434,-473,-684,905.031
-198,-884,-185,905.12
-179,-887,-558,905.497
-622,342,-498,905.784
-640,104,-361,906.135
-603,36,-361,906.351
-541,-239,-401,906.36
-345,-728,-660,907.585
-316,-581,-759,907.985
-369,-718,-589,908.29
-511,-394,-235,908.412
-611,42,-295,909.045
-660,329,-325,909.053
-603,44,-363,909.204
-532,-306,-349,909.305
-318,-514,-762,909.599
-336,-775,-565,909.614
-330,-454,-748,910.55
-358,-321,-763,910.753
-278,-638,-737,910.809
-403,-749,-400,910.896
-452,-113,-678,911.035
-623,79,-465,911.159
-495,-466,-334,911.217
-634,200,-366,911.38
-535,-207,-487,911.449
-542,-203,-455,911.546
-502,-433,-353,911.736
-567,-175,-496,912.225
-398,-622,-742,912.325
-445,-143,-696,912.362
-481,101,-671,912.433
-148,-628,-797,912.637
-339,-407,-843,912.645
-367,-274,-858,912.714
-246,-587,-868,912.746
-275,-744,-726,912.769
-263,-613,-819,912.772
-454,-629,-301,912.803
-519,-420,-187,912.821
-504,-69,-630,913.046
-518,58,-619,913.052
-599,-167,-418,913.086
-544,-67,-552,913.384
-450,-529,-429,913.404
-471,-525,-446,913.411
-476,-502,-471,913.421
-405,-600,-508,913.455
-428,-669,-470,913.467
-397,-640,-630,913.473
-326,-727,-706,913.607
-486,-388,-475,913.689
-470,-233,-625,913.865
-259,-674,-730,913.872
-286,-633,-712,913.894
-291,-571,-844,914.144
-275,-113,-937,914.15
-370,-182,-776,914.204
-278,-263,-893,914.24
-243,-830,-500,914.317
-496,-226,-553,914.337
-568,-57,-481,914.371
-608,124,-519,914.373
-546,-202,-476,914.469
-529,-283,-380,914.471
-577,84,-525,914.529
-575,309,-586,914.532
-574,-185,-423,914.556
-607,76,-398,914.575
-470,-377,-527,914.653
-427,-109,-697,914.667
-478,-467,-385,914.691
-478,-329,-621,914.702
-415,-526,-601,914.772
-404,-503,-692,914.777
-442,-379,-564,914.842
-561,-79,-501,914.93
-443,-239,-654,914.951
-377,-710,-628,914.966
-300,-511,-763,915.107
-368,-178,-783,915.143
-311,-449,-818,915.164
-316,-234,-886,915.171
-510,-422,-394,915.21
-251,-856,-452,915.229
-464,26,-691,915.242
-588,90,-533,915.273
-600,-153,-252,915.295
-653,334,-352,915.324
-634,202,-410,915.341
-604,49,-366,915.346
-440,-531,-490,915.378
-550,-155,-549,915.383
-611,239,-539,915.391
-569,-197,-426,915.413
-411,-513,-619,915.453
-583,-186,-250,915.464
-521,-331,-286,915.473
-416,-538,-563,915.484
-354,-393,-779,915.492
-435,-592,-431,915.502
-433,-521,-563,915.541
-409,-528,-636,915.55
-453,-276,-650,915.557
-615,343,-506,915.612
-514,-207,-556,915.634
-361,-308,-817,915.658
-325,-409,-764,915.66
-437,2,-724,915.671
-439,-387,-669,915.687
-438,-107,-713,915.717
-451,123,-704,915.718
-429,-31,-731,915.729
-465,-109,-682,915.731
-406,-245,-774,915.745
-306,-461,-821,915.75
-373,-155,-808,915.776
-333,-95,-860,915.788
-290,-122,-907,915.795
-528,-393,-184,915.806
-72,-888,-288,915.815
-650,161,-355,915.836
-605,97,-487,915.838
-514,-332,-320,915.863
-595,53,-453,915.867
-635,236,-420,915.883
-538,-64,-587,915.898
-552,95,-629,915.903
-551,-204,-282,915.952
-488,-404,-436,915.956
-485,-426,-406,915.958
-580,52,-485,915.982
-526,27,-602,915.985
-510,-398,-447,916.014
-628,219,-486,916.052
-549,81,-575,916.056
-513,-200,-613,916.073
-455,-127,-660,916.076
-320,-485,-743,916.085
-410,198,-805,916.124
-417,-480,-730,916.151
-464,-1,-684,916.156
-320,-190,-866,916.168
-263,-269,-944,916.182
-227,-370,-891,916.186
-609,-106,-347,916.229
-545,-250,-355,916.24
-484,-210,-571,916.256
-583,69,-471,916.26
-513,-233,-503,916.268
-574,-195,-377,916.274
-549,-213,-382,916.276
-567,49,-500,916.298
-528,-198,-541,916.301
-503,-187,-645,916.305
-401,-594,-564,916.307
-429,-514,-588,916.309
-495,-349,-568,916.315
-441,-374,-685,916.318
-562,-43,-555,916.34
-489,-203,-575,916.355
-477,-125,-664,916.375
-503,37,-649,916.378
-398,-263,-753,916.398
-365,-299,-750,916.403
-335,67,-901,916.412
-312,-505,-788,916.421
-242,-289,-906,916.423
-219,-800,-626,916.433
-553,-313,-254,916.445
-591,43,-423,916.449
-564,-33,-538,916.466
-514,-284,-412,916.491
-522,-273,-453,916.495
-514,-281,-414,916.499
-432,-19,-716,916.534
-623,53,-389,916.56
-633,84,-425,916.572
-569,171,-578,916.576
-474,-514,-310,916.582
-495,-423,-426,916.584
-605,101,-531,916.59
-568,76,-505,916.601
-278,-234,-901,916.619
-554,-211,-237,916.625
-528,-272,-399,916.636
-601,66,-457,916.656
