obj0,obj1,obj2,cpu
-850,-905,-850,57.9731
-723,-912,-968,76.2306
-866,-903,-997,164.951
-954,-800,-964,188.932
-1051,-695,-455,209.143
-826,-864,-1024,219.069
-913,-818,-1001,219.071
-957,-878,-736,219.075
-947,-898,-716,219.082
-916,-880,-963,219.206
-800,-929,-881,219.217
-727,-888,-1005,219.247
-969,-799,-935,219.248
-899,-820,-968,219.249
-655,-926,-904,219.253
-953,-756,-1010,219.26
-1007,-855,-702,219.262
-1017,-832,-905,219.289
-705,-915,-930,219.292
-947,-897,-924,219.311
-1041,-811,-620,219.315
-931,-899,-777,219.323
-1041,-788,-761,219.328
-996,-862,-809,219.332
-895,-903,-678,219.333
