obj0,obj1,obj2,cpu
-723,-912,-968,110.496
-850,-905,-850,110.841
-1051,-695,-455,270.399
-866,-903,-997,271.698
-954,-800,-964,280.444
-947,-897,-924,302.565
-931,-899,-777,302.576
-727,-888,-1005,302.675
-913,-818,-1001,302.688
-996,-862,-809,302.706
-800,-929,-881,302.749
-1041,-811,-620,302.768
-705,-915,-930,302.776
-899,-820,-968,302.778
-953,-756,-1010,302.792
-826,-864,-1024,302.793
-957,-878,-736,302.803
-916,-880,-963,302.805
-655,-926,-904,302.807
-947,-898,-716,302.809
-1007,-855,-702,302.819
-969,-799,-935,302.831
-895,-903,-678,302.843
-1041,-788,-761,302.855
-1017,-832,-905,302.861
