obj0,obj1,obj2,cpu
-866,-614,-1137,95.4251
-878,-678,-1096,369.379
-708,-748,-1029,467.974
-606,-725,-1096,586.841
-576,-816,-964,750.325
-857,-698,-832,829.588
-698,-747,-1035,843.048
-1009,-561,-1045,906.687
-860,-686,-931,909.31
-893,-380,-1149,911.493
-854,-692,-972,911.714
-724,-733,-942,911.742
-967,-627,-922,911.861
-1100,-474,-1090,911.974
-753,-745,-940,913.621
-985,-619,-1087,913.839
-1029,-571,-1002,913.853
-1092,-560,-1078,913.862
-1118,-546,-985,913.873
-900,-650,-971,914.897
-1120,-495,-626,914.957
-1175,-454,-958,915.044
-765,-693,-879,915.074
-961,-633,-963,915.144
-933,-388,-1100,915.215
-964,-639,-823,916.128
-815,-689,-1020,916.153
-922,-630,-1011,916.158
-818,-686,-1055,916.612
-1020,-589,-991,916.731
-931,-681,-754,916.778
-1039,-562,-884,916.856
-947,-653,-887,917.204
-764,-704,-929,917.392
-655,-729,-1042,917.395
-1172,-480,-912,917.446
-714,-685,-1070,917.47
-645,-764,-1010,917.728
-766,-635,-1153,918.143
-695,-700,-1079,918.289
-546,-726,-1050,918.33
-669,-714,-1172,918.556
-436,-745,-1108,918.627
-664,-720,-1036,918.815
-499,-784,-1105,918.862
-431,-727,-1113,918.884
-510,-720,-1133,918.905
-520,-768,-1005,918.909
-289,-487,-1194,918.944
-334,-722,-1175,918.949
