obj0,obj1,obj2,obj3
-467,-476,-429,-398
-445,-576,-172,-518
-414,-672,-47,-580
-381,-605,24,-624
-435,-563,-276,-446
-456,-454,-505,-312
-348,-538,95,-668
-427,-518,-295,-452
-418,-488,-290,-493
-412,-509,-101,-562
-385,-421,-219,-537
-401,-384,-319,-410
-394,-451,-224,-496
-400,-575,-303,-417
-392,-530,-322,-423
-399,-421,-385,-413
-361,-384,-153,-540
-366,-354,-314,-457
-352,-354,-148,-581
-379,-442,-30,-606
-331,-366,-341,-428
-333,-287,-243,-501
-329,-458,-382,-460
-296,-391,-311,-504
-263,-324,-240,-548
-437,-458,-617,-286
-328,-317,-82,-584
-341,-647,158,-678
-152,-370,-71,-586
-303,-295,8,-622
-432,-488,-456,-369
-361,-516,-425,-402
-346,-375,41,-650
-410,-588,-199,-489
-331,-534,336,-706
-416,-496,-371,-366
-250,-454,12,-627
-397,-500,-483,-340
-395,-605,-142,-500
-381,-508,-398,-337
-364,-509,-529,-272
-367,-495,-614,-333
-287,-668,-81,-457
-358,-530,-340,-341
-268,-601,-176,-377
-324,-551,-395,-326
-200,-622,-249,-280
-348,-517,-444,-269
-291,-626,329,-710
-268,-512,135,-693
-308,-559,-310,-323
-161,-563,-371,-265
-307,-558,-125,-580
-283,-521,-59,-583
-255,-424,-149,-544
-336,-362,-63,-578
-83,-631,-179,-229
-373,-705,115,-620
-335,-400,-48,-569
-316,-588,-130,-539
-421,-466,-532,-283
-377,-521,-128,-533
-323,-479,-193,-529
-369,-429,-134,-534
-288,-491,-220,-500
-261,-621,198,-703
-337,-479,-359,-405
-234,-512,-459,-279
-337,-563,6,-587
-301,-579,64,-649
-402,-496,-205,-490
-356,-546,-264,-485
-334,-646,-7,-605
-121,-605,-237,-319
-151,-610,-106,-326
-223,-474,-374,-415
-273,-613,598,-734
-321,-558,-291,-456
-362,-538,-71,-544
-201,-537,406,-713
-247,-600,-175,-428
-194,-646,469,-723
-323,-634,427,-702
-324,-693,258,-666
-274,-672,429,-698
-384,-362,-626,-241
