obj0,obj1,obj2,obj3,cpu
-313,-411,-494,150,1.27996
-259,-348,-411,-116,1.88556
-263,-409,-404,-130,2.23393
-281,-431,-380,-125,2.2513
-305,-258,-375,18,2.30346
-281,-371,-438,-64,2.52707
-209,-238,-469,94,2.54668
-244,-302,-356,-142,2.76989
-275,-368,-439,-9,2.77362
-279,-429,-432,-23,2.77901
-210,-288,-428,-140,2.92723
-193,-218,-441,-13,2.92855
-294,-351,-315,-190,2.93816
-297,-391,-466,43,2.94718
-181,-194,-217,-277,2.96878
-310,-371,-343,-83,3.00115
-261,-372,-343,-269,3.04065
-227,-295,-392,-141,3.06753
-343,-350,-315,-4,3.08511
-314,-366,-274,80,3.10502
-359,-322,-323,76,3.11205
