obj0,obj1,obj2,obj3,cpu
-235,31,-211,-344,1.2545
-330,-116,-347,-192,1.4598
-218,-172,-178,-344,1.58993
-82,-184,-27,-339,2.01705
-285,-188,-291,-232,2.08668
-181,-238,-157,-310,2.08672
-322,-122,-312,-266,2.37828
-389,-53,-363,-275,2.51521
-329,-131,-267,-66,2.55757
-68,-343,-81,-173,2.57673
-1,-322,15,-274,2.72279
-233,-213,-224,-271,2.74072
-284,-203,-211,-106,2.75074
-114,-312,-89,-312,2.77127
-120,-12,-104,-394,2.77803
-108,-111,-75,-345,2.77926
-346,-62,-400,-147,2.84716
-270,-147,-245,-305,2.86433
-198,-35,-190,-310,2.88722
-94,-85,-56,-388,2.88724
-211,-210,-229,-222,2.94284
-218,-262,-223,-234,2.95707
-368,-65,-395,-196,2.96096
-197,-279,-238,-166,2.9782
-321,-137,-232,-140,3.02966
-301,-139,-327,-198,3.05748
-263,-185,-296,-183,3.06817
22,-319,45,-296,3.0741
-217,-277,-143,-108,3.07908
-328,-146,-187,60,3.09362
-232,-228,-144,-145,3.13546
-283,-218,-131,20,3.13833
-231,-243,-64,-19,3.13835
-15,-253,24,-330,3.13913
-166,-287,-156,-273,3.14219
105,-326,119,-233,3.14477
-146,-60,-123,-349,3.15929
-300,-154,-247,-72,3.17337
