obj0,obj1,obj2,obj3,cpu
-418,-430,-257,-484,17.0366
-232,-444,-360,-341,21.9872
-408,-630,-19,-238,23.8106
-247,-652,-137,-228,43.9219
-196,-839,36,-234,53.6818
-186,-562,-380,-202,56.3128
-462,-128,-125,-314,66.7457
-424,-527,-141,-419,69.522
-249,-670,-258,-139,75.0284
-241,-816,-37,-150,76.729
-255,-458,-349,-350,92.0881
-349,-770,148,-236,96.6053
-406,-290,-287,-159,98.529
-469,-167,-190,-273,98.8797
-300,-538,-231,-475,98.9706
-333,-627,-204,-483,117.214
-425,-378,-271,-479,120.278
-149,-657,-375,-1,129.644
-477,-285,55,-439,134.219
-148,-724,-216,-58,142.638
-345,-519,-218,-442,144.069
-431,-441,-140,-233,147.071
-439,-507,55,-388,147.17
-376,-461,-291,-509,149.735
-360,-343,-48,-581,152.66
-279,-609,-217,-79,155.486
-207,-324,-420,-201,157.845
-280,-728,-95,-130,159.943
-453,-341,-134,-493,160.536
-373,-641,-147,-422,162.299
-245,-545,-358,-384,162.373
-212,-456,-385,-376,162.373
-354,-386,-363,-519,162.4
-283,-498,-249,-447,162.422
-431,-305,-229,-583,162.438
-336,-308,-377,-391,162.709
-269,-860,135,-124,164.516
-270,-597,-219,-285,165.107
-437,-361,-139,-256,165.239
-445,-355,-207,-407,165.275
-191,-658,-203,-260,165.473
-145,-476,-416,-184,167.556
-252,-502,-265,-437,168.444
-339,-556,-286,-308,168.981
-398,-545,-34,-414,169.426
-326,-662,-113,-455,170.749
-380,-452,-239,-463,171.451
-335,-200,-189,-599,172.638
-135,-449,-441,-52,175.285
-144,-662,-324,126,175.485
-178,-565,-389,-192,175.735
-165,-503,-414,-229,175.944
-294,-558,-263,-359,175.967
-315,-578,-206,-252,176.885
-271,-630,-217,-284,176.901
-375,-600,48,-357,177.278
-208,-727,-64,-142,177.959
-482,-129,1,-522,178.364
-396,-336,-305,-487,178.379
-417,-741,88,-190,179.344
-275,-447,-347,-494,179.409
-331,-480,-304,-542,179.423
-284,-414,-372,-408,179.442
-399,-367,-350,-486,179.45
-463,-243,-108,-680,179.469
-250,-687,-96,-278,179.494
-458,-189,-205,-244,180.347
-406,-257,-278,-386,180.351
-199,-655,-194,-270,180.591
-293,-642,-140,-398,180.626
-86,-493,-438,-2,181.399
-151,-673,-139,-175,181.401
-102,-734,-213,112,182.996
-206,-794,-103,-42,183.008
-229,-739,-185,-99,183.01
-478,-204,-47,-223,184.238
-385,-462,-221,-171,184.308
-271,-496,-265,-483,184.376
-293,-542,-301,-342,184.391
-367,-313,-206,-588,184.433
-276,-431,-372,-389,184.45
-173,-894,118,-177,184.714
-442,-375,73,-470,184.755
-417,-471,-40,-478,184.864
-178,-682,-305,-11,185.5
-185,-561,-319,-325,185.901
-149,-611,-351,-122,186.082
-394,-588,-182,-479,186.232
-309,-481,-322,-317,186.493
-440,-298,-26,-623,186.563
-299,-739,-24,-333,186.593
-272,-702,-51,-155,186.743
-305,-791,-24,-163,186.743
-351,-712,-27,-382,186.842
-333,-835,148,-137,187.021
-286,-825,21,-65,187.021
-310,-682,-122,-426,187.169
-491,33,269,-480,187.289
-416,-590,182,-279,187.675
-439,-535,100,-336,187.707
-429,-391,-9,-385,187.725
-363,-379,-160,-559,187.914
-364,-513,-218,-488,187.918
-388,-429,-74,-486,188.38
-188,-709,-280,-143,188.815
-162,-616,-237,-268,188.878
-119,-670,-339,68,188.977
-329,-412,-395,-357,189.237
-255,-650,-226,-255,189.25
-416,-533,-73,-268,189.341
-395,-705,-7,-280,189.381
-282,-846,58,-106,189.455
-295,-647,-133,-212,189.497
-374,-657,-109,-439,189.515
-270,-697,-58,-341,189.517
-181,-744,-189,-115,189.523
-202,-718,-108,-129,189.621
-206,-722,-71,-328,189.747
-303,-717,-31,-398,189.754
-452,-269,-206,-221,189.781
-498,-23,168,-421,189.832
-378,-594,-78,-327,189.995
-481,-191,-32,-312,190.007
-463,-451,244,-334,190.044
-341,-689,-73,-126,190.075
-292,-555,-231,-456,190.187
-294,-441,-347,-540,190.2
-358,-416,-334,-553,190.215
-486,-44,19,-312,190.281
-222,-600,-276,-327,190.469
-395,-485,-175,-427,190.502
-155,-620,-307,-135,190.81
-255,-633,-190,-273,190.829
-204,-689,-271,-172,190.907
-171,-600,-298,-164,190.907
-76,-437,-475,27,190.956
-109,-526,-448,19,190.956
-225,-402,-406,-329,190.959
-212,-651,-153,-153,191.079
-299,-423,-374,-300,191.098
-146,-509,-414,-183,191.124
-340,-673,-111,-109,191.194
-167,-797,2,-242,191.44
-287,-737,-40,-369,191.481
-484,-279,178,-322,191.697
-459,-397,-44,-166,191.769
-407,-597,-21,-239,191.795
-308,-535,-222,-485,191.834
-335,-471,-252,-496,191.848
-375,-310,-197,-598,191.852
-343,-411,-341,-581,191.854
-487,-119,151,-456,191.952
-95,-695,-143,-172,192.004
-76,-378,-475,-5,192.137
-119,-582,-411,-10,192.145
-114,-690,-241,-235,192.211
-83,-518,-452,-65,192.232
-480,-125,28,-573,192.32
-238,-610,-244,-227,192.346
-216,-464,-369,-312,192.354
-239,-526,-367,-188,192.38
-209,-468,-439,-179,192.384
-372,-760,75,-223,192.402
-201,-831,27,-65,192.432
-125,-779,-134,-1,192.472
-158,-799,-107,-58,192.488
-137,-856,14,-52,192.49
-128,-745,-93,-100,192.511
-237,-869,131,-190,192.535
-231,-772,15,-255,192.61
-183,-777,11,-271,192.628
-264,-792,42,-312,192.631
-460,-335,-11,-376,192.656
-466,-171,-89,-196,192.679
-512,-163,11,-251,192.783
-264,-500,-335,-350,192.87
-494,61,106,-277,192.881
-487,-10,97,-470,192.9
-21,-719,-244,153,193.012
-84,-749,-229,-45,193.062
-116,-607,-425,-73,193.117
-353,-516,-209,-452,193.166
-272,-501,-240,-411,193.168
-151,-690,-175,-157,193.192
-270,-498,-324,-127,193.232
-210,-484,-401,-196,193.236
-349,-815,157,-166,193.255
-56,-841,-17,-11,193.34
-142,-819,-116,-29,193.377
-165,-764,-198,-86,193.41
-271,-757,-49,-340,193.429
-341,-829,80,-288,193.435
-498,-51,213,-369,193.563
-491,-335,77,-263,193.571
-460,-363,34,-324,193.591
-509,45,206,-259,193.646
-488,-43,99,-469,193.648
-145,-320,-432,-203,193.674
-148,-624,-377,-2,193.726
-81,-601,-268,-227,193.772
-286,-575,-263,-340,193.778
-220,-562,-209,-341,193.794
-408,-360,-147,-526,193.822
-278,-595,-308,-312,193.833
-324,-720,62,-309,193.87
-276,-794,58,-276,193.87
-343,-776,125,-74,193.872
-266,-693,-95,-142,193.917
-77,-784,-138,-17,193.94
-61,-804,-147,12,193.964
-160,-801,-68,-109,193.973
-231,-672,-146,-199,193.993
-481,-163,-77,-364,194.014
-456,-323,82,-389,194.017
-475,-73,102,-581,194.018
-461,-301,67,-534,194.02
-505,-107,112,-310,194.063
-489,-177,41,-398,194.125
-85,-665,-352,-6,194.183
-126,-578,-341,-143,194.2
-73,-806,-131,48,194.26
-154,-821,-100,7,194.279
-250,-787,-83,60,194.281
-144,-852,84,-185,194.299
-86,-782,-29,-201,194.317
-248,-812,33,-283,194.33
-312,-787,46,-296,194.333
-477,-151,16,-377,194.344
-491,5,314,-428,194.364
-438,-569,22,-178,194.39
-364,-634,-155,-183,194.398
-472,-255,20,-283,194.403
-360,-384,-352,-296,194.46
-372,-715,66,-293,194.53
-396,-631,210,-291,194.532
-180,-715,-105,-167,194.612
-480,-225,-110,-154,194.638
-451,-427,86,-295,194.642
-493,-83,-46,-271,194.669
