obj0,obj1,obj2,obj3,cpu
48,-678,-756,-718,23.4114
-306,-488,-447,-1040,26.5545
-136,-619,-622,-914,41.3266
-691,-462,-269,-873,41.5889
-252,-599,-597,-909,41.8542
-558,-602,-165,-969,73.0183
-595,-681,-218,-891,77.4123
-327,-563,-518,-1016,82.4726
-611,-579,-170,-1025,103.198
-96,-791,-814,-701,130.053
-7,-708,-651,-789,154.456
-649,-500,-456,-566,205.495
-152,-605,-591,-870,215.402
-698,-424,-99,-949,216.024
-598,-552,-112,-1026,217.928
-405,-593,-634,-761,223.832
-743,-578,-287,-469,239.283
-408,-618,-590,-586,247.095
-468,-680,-553,-532,249.115
-26,-806,-365,-746,317.924
-737,-520,-292,-665,339.723
-302,-776,-547,-797,359.154
-425,-567,-480,-899,369.891
-451,-566,-487,-916,369.906
-109,-694,-678,-687,370.159
-311,-590,-249,-979,388.506
-421,-541,-468,-1026,388.709
-40,-616,-710,-806,388.786
-124,-622,-668,-902,388.803
-280,-613,-513,-968,388.879
-438,-581,-490,-892,389.406
-193,-595,-619,-897,389.723
-251,-726,-644,-794,396.352
-482,-598,-375,-971,397.61
-533,-648,-278,-974,397.611
-605,-515,-233,-986,397.828
-656,-565,-136,-989,397.828
-391,-563,-513,-883,399.235
-425,-693,-405,-812,399.588
-520,-647,-458,-915,400.141
-580,-681,-310,-820,400.437
-346,-611,-272,-976,401.043
-397,-656,-185,-955,401.084
-337,-535,-510,-930,401.126
31,-598,-644,-958,401.17
-77,-685,-468,-831,401.176
-73,-588,-588,-934,401.2
-123,-634,-625,-890,401.207
-233,-600,-623,-843,401.241
153,-632,-797,-769,401.246
-316,-418,-377,-1060,401.253
-357,-488,-390,-1046,401.254
-435,-480,-371,-1100,401.255
-331,-663,-416,-971,401.272
-194,-597,-634,-849,401.529
-428,-595,-540,-846,401.617
-330,-591,-578,-963,401.696
-351,-558,-509,-937,401.744
-263,-570,-585,-844,401.851
-100,-619,-684,-839,401.852
-143,-549,-582,-941,401.86
64,-626,-766,-830,401.865
-651,-494,-416,-460,402.705
-49,-735,-591,-730,403.403
2,-685,-688,-727,403.403
-58,-758,-554,-792,403.55
-177,-680,-641,-833,403.615
16,-696,-728,-796,404.394
-145,-662,-669,-755,404.426
-139,-606,-695,-830,404.66
-190,-656,-598,-833,404.66
-250,-626,-687,-577,405.589
-276,-584,-707,-563,405.592
-549,-464,-308,-1039,406.289
-507,-520,-315,-959,406.314
-540,-558,-277,-1056,406.405
-679,-472,-165,-930,407.068
-730,-522,-68,-933,407.068
-560,-529,-267,-1022,407.319
-317,-606,-581,-939,409.108
129,-700,-735,-735,409.112
-397,-611,-215,-982,409.117
-387,-581,-547,-886,409.244
-246,-585,-620,-867,409.319
-212,-625,-699,-727,409.321
-125,-678,-683,-875,409.384
13,-626,-709,-836,409.4
-227,-555,-540,-1037,409.414
-175,-567,-554,-1019,409.416
-77,-806,-308,-752,410.219
-271,-658,-591,-843,410.236
-25,-684,-677,-836,410.558
-153,-593,-634,-882,410.63
-626,-593,-427,-625,411.106
-392,-608,-637,-737,411.212
-334,-632,-645,-673,411.227
-327,-634,-610,-566,411.231
-263,-640,-697,-570,411.234
-299,-684,-569,-721,411.331
-509,-437,-303,-1044,411.526
-489,-508,-374,-1053,411.567
-554,-515,-290,-980,411.62
-415,-610,-543,-822,412.165
-475,-569,-471,-979,412.33
-354,-780,-356,-850,412.36
-458,-649,-460,-905,412.365
-571,-697,-361,-918,412.708
-487,-691,-403,-822,412.709
-580,-615,-430,-928,412.912
-566,-676,-527,-854,412.914
205,-644,-811,-751,412.965
-128,-735,-371,-834,412.975
49,-567,-684,-856,412.981
-196,-539,-583,-911,412.987
-182,-600,-680,-837,413
-340,-631,-542,-838,413.012
-454,-580,-274,-986,413.048
-545,-544,-437,-926,413.049
-618,-500,-230,-1010,413.056
-674,-628,-382,-958,413.057
-384,-619,-581,-916,413.064
-454,-553,-560,-832,413.073
-270,-632,-650,-806,413.091
-142,-650,-733,-780,413.098
-354,-659,-516,-929,413.127
-403,-562,-318,-990,413.135
-71,-632,-667,-932,413.14
-91,-561,-596,-923,413.145
-277,-601,-577,-993,413.149
324,-675,-782,-771,413.433
168,-818,-586,-662,413.446
99,-660,-800,-722,413.738
-77,-790,-485,-717,413.747
-575,-543,-524,-622,413.949
-496,-659,-529,-689,413.989
-350,-658,-591,-641,414.044
-482,-670,-569,-758,414.073
-433,-725,-299,-759,414.207
-219,-708,-672,-716,414.209
-558,-570,-218,-962,414.257
-609,-620,-121,-965,414.258
-378,-713,-448,-881,414.367
-327,-663,-545,-878,414.367
-720,-503,-36,-972,414.437
-669,-453,-133,-969,414.437
-549,-618,-424,-895,414.502
-509,-699,-363,-908,414.629
-505,-682,-492,-751,414.643
-464,-642,-504,-880,414.853
-1,-613,-721,-812,414.983
-441,-539,-550,-839,414.999
-514,-571,-589,-702,415.008
103,-678,-834,-725,415.012
-352,-562,-375,-984,415.015
-405,-709,-419,-932,415.022
-410,-562,-487,-949,415.025
-142,-595,-676,-891,415.032
-37,-683,-483,-816,415.134
-25,-802,-499,-699,415.178
-729,-589,-327,-538,415.197
-674,-589,-405,-545,415.211
-613,-617,-470,-625,415.215
4,-828,-410,-603,415.246
76,-690,-736,-705,415.248
-421,-603,-587,-610,415.269
-604,-514,-490,-602,415.316
-617,-599,-436,-622,415.372
-312,-698,-579,-714,415.391
-311,-744,-673,-664,415.442
-325,-683,-576,-738,415.444
-275,-675,-559,-860,415.51
-455,-645,-462,-904,415.513
-634,-486,-199,-966,415.563
-547,-502,-209,-1023,415.589
-532,-559,-440,-902,415.594
-303,-730,-453,-847,415.595
-579,-639,-424,-695,415.599
-725,-551,-291,-726,415.642
-790,-600,-239,-871,415.736
-701,-605,-394,-718,415.749
-604,-649,-344,-758,415.757
167,-659,-757,-733,415.763
-180,-723,-357,-852,415.769
-481,-644,-469,-921,415.782
-237,-581,-718,-569,415.791
-383,-624,-688,-835,415.796
-661,-575,-395,-552,415.879
-650,-601,-476,-319,415.882
-434,-547,-597,-603,415.918
-375,-630,-588,-486,415.954
-246,-668,-647,-665,415.957
-565,-700,-521,-621,415.959
-363,-748,-482,-717,415.99
-359,-712,-119,-897,416.032
-685,-536,-102,-969,416.059
-741,-537,-260,-682,416.127
-693,-676,-136,-918,416.14
-717,-537,-71,-909,416.144
-762,-485,-240,-563,416.167
83,-665,-715,-829,416.178
-190,-640,-775,-798,416.189
-106,-634,-817,-702,416.19
-696,-441,-399,-337,416.2
101,-793,-663,-608,416.214
229,-827,-569,-617,416.216
75,-792,-670,-625,416.219
-551,-555,-595,-396,416.238
-515,-707,-283,-649,416.246
-519,-654,-575,-452,416.256
-437,-705,-414,-661,416.272
-208,-813,-652,-624,416.283
-157,-763,-749,-621,416.283
-482,-513,-403,-946,416.294
-711,-612,-388,-652,416.306
-800,-462,-129,-720,416.307
-702,-644,-262,-785,416.313
-706,-594,-281,-775,416.318
-647,-577,-391,-765,416.323
-231,-773,-260,-855,416.328
-138,-652,-789,-780,416.332
-683,-456,-402,-313,416.338
-684,-561,-397,-459,416.348
-26,-740,-582,-714,416.35
-228,-595,-690,-680,416.352
-623,-501,-449,-549,416.353
-636,-515,-459,-542,416.36
-406,-729,-328,-708,416.364
-119,-714,-666,-677,416.368
-170,-764,-569,-680,416.376
-339,-760,-553,-491,416.378
-340,-698,-636,-506,416.387
-419,-507,-102,-1063,416.389
-712,-566,-294,-702,416.4
-708,-549,-326,-685,416.408
360,-675,-844,-696,416.41
-612,-527,-530,-316,416.42
-603,-660,-533,-548,416.422
36,-795,-659,-619,416.427
-427,-716,-530,-577,416.43
-391,-748,-539,-509,416.435
-343,-710,-572,-481,416.447
-349,-682,-585,-408,416.453
-401,-670,-571,-426,416.456
