obj0,obj1,obj2,obj3,cpu
-558,-602,-165,-969,14.3062
-306,-488,-447,-1040,41.1538
-691,-462,-269,-873,43.3462
-737,-520,-292,-665,64.7747
-96,-791,-814,-701,67.8581
-252,-599,-597,-909,72.7588
-327,-563,-518,-1016,73.3885
-405,-593,-634,-761,89.8437
-698,-424,-99,-949,123.378
-611,-579,-170,-1025,152.895
-649,-500,-456,-566,167.489
-408,-618,-590,-586,170.311
-136,-619,-622,-914,182.376
-595,-681,-218,-891,205.773
-109,-694,-678,-687,210.329
-743,-578,-287,-469,225.677
-263,-570,-585,-844,239.488
-468,-680,-553,-532,254.188
-7,-708,-651,-789,262.213
-316,-418,-377,-1060,266.653
-357,-488,-390,-1046,266.654
-302,-776,-547,-797,294.633
-598,-552,-112,-1026,296.657
-507,-520,-315,-959,296.672
-558,-570,-218,-962,296.672
-182,-600,-680,-837,296.928
-128,-735,-371,-834,297.531
-193,-595,-619,-897,298.165
48,-678,-756,-718,316.451
-219,-708,-672,-716,323.895
-489,-508,-374,-1053,324.271
-540,-558,-277,-1056,324.271
-609,-620,-121,-965,324.273
-634,-486,-199,-966,324.35
-560,-529,-267,-1022,324.353
167,-659,-757,-733,324.454
31,-598,-644,-958,324.891
-421,-541,-468,-1026,325.03
-246,-585,-620,-867,325.122
-125,-678,-683,-875,325.563
-227,-555,-540,-1037,326.091
-277,-601,-577,-993,326.093
-142,-650,-733,-780,326.1
99,-660,-800,-722,345.76
-327,-634,-610,-566,347.582
-685,-536,-102,-969,348.046
-605,-515,-233,-986,348.082
-656,-565,-136,-989,348.083
-679,-472,-165,-930,348.083
-730,-522,-68,-933,348.083
-693,-676,-136,-918,348.097
-40,-616,-710,-806,348.115
153,-632,-797,-769,348.145
129,-700,-735,-735,348.189
-337,-535,-510,-930,348.458
-435,-480,-371,-1100,348.466
-212,-625,-699,-727,348.544
-270,-632,-650,-806,348.546
-100,-619,-684,-839,348.589
-514,-571,-589,-702,348.6
-143,-549,-582,-941,348.646
-384,-619,-581,-916,349.157
-190,-640,-775,-798,349.163
-790,-600,-239,-871,354.452
-712,-566,-294,-702,358.923
-708,-549,-326,-685,359.049
229,-827,-569,-617,364.913
324,-675,-782,-771,364.916
-458,-649,-460,-905,365.628
-509,-699,-363,-908,365.629
-475,-569,-471,-979,366.2
-263,-640,-697,-570,366.635
-157,-763,-749,-621,366.642
-208,-813,-652,-624,366.642
-580,-615,-430,-928,366.772
-547,-502,-209,-1023,366.804
-549,-464,-308,-1039,366.807
-509,-437,-303,-1044,366.808
-482,-598,-375,-971,366.876
-533,-648,-278,-974,366.876
-311,-590,-249,-979,366.96
103,-678,-834,-725,367.179
-138,-652,-789,-780,367.192
-340,-631,-542,-838,367.291
-331,-663,-416,-971,367.348
-405,-709,-419,-932,367.572
-106,-634,-817,-702,367.577
-383,-624,-688,-835,367.58
-725,-551,-291,-726,374.087
-711,-612,-388,-652,374.529
-613,-617,-470,-625,374.66
-762,-485,-240,-563,374.662
-647,-577,-391,-765,374.666
-701,-605,-394,-718,374.667
-505,-682,-492,-751,379.344
-482,-513,-403,-946,379.575
-580,-681,-310,-820,379.784
-334,-632,-645,-673,379.814
-276,-584,-707,-563,379.824
-482,-670,-569,-758,379.903
-566,-676,-527,-854,379.91
-717,-537,-71,-909,379.959
-720,-503,-36,-972,379.961
360,-675,-844,-696,379.966
49,-567,-684,-856,379.987
-77,-685,-468,-831,380.05
-123,-634,-625,-890,380.084
-124,-622,-668,-902,380.094
-233,-600,-623,-843,380.097
-317,-606,-581,-939,380.098
-237,-581,-718,-569,380.118
-91,-561,-596,-923,380.124
-71,-632,-667,-932,380.128
-142,-595,-676,-891,380.132
-351,-558,-509,-937,380.175
-280,-613,-513,-968,380.18
-403,-562,-318,-990,380.211
-387,-581,-547,-886,380.286
-354,-659,-516,-929,380.295
-175,-567,-554,-1019,380.297
-350,-658,-591,-641,383.05
-421,-603,-587,-610,383.203
-626,-593,-427,-625,383.23
-575,-543,-524,-622,383.23
-579,-639,-424,-695,383.551
-674,-589,-405,-545,383.66
-375,-630,-588,-486,383.671
-549,-618,-424,-895,384.865
-425,-693,-405,-812,386.028
-433,-725,-299,-759,386.091
-325,-683,-576,-738,386.094
-251,-726,-644,-794,386.109
-532,-559,-440,-902,386.289
-487,-691,-403,-822,386.337
-571,-697,-361,-918,386.349
-520,-647,-458,-915,386.349
-250,-626,-687,-577,386.361
-554,-515,-290,-980,386.425
-669,-453,-133,-969,386.431
-397,-656,-185,-955,386.455
-346,-611,-272,-976,386.484
-397,-611,-215,-982,386.488
-73,-588,-588,-934,386.489
83,-665,-715,-829,386.491
-194,-597,-634,-849,386.507
13,-626,-709,-836,386.511
64,-626,-766,-830,386.512
-454,-580,-274,-986,386.54
-330,-591,-578,-963,386.596
-438,-581,-490,-892,386.604
-800,-462,-129,-720,387.107
-696,-441,-399,-337,387.838
-683,-456,-402,-313,387.839
-401,-670,-571,-426,387.849
-684,-561,-397,-459,387.889
-729,-589,-327,-538,387.892
-617,-599,-436,-622,387.901
-519,-654,-575,-452,387.908
-152,-605,-591,-870,388.613
16,-696,-728,-796,389.077
-25,-684,-677,-836,389.078
-299,-684,-569,-721,389.166
-312,-698,-579,-714,389.181
-354,-780,-356,-850,389.205
-464,-642,-504,-880,389.251
-271,-658,-591,-843,389.261
-246,-668,-647,-665,389.262
-180,-723,-357,-852,389.284
-196,-539,-583,-911,389.304
-1,-613,-721,-812,389.309
-481,-644,-469,-921,389.344
-454,-553,-560,-832,389.347
-674,-628,-382,-958,389.351
-651,-494,-416,-460,390.074
-349,-682,-585,-408,390.08
-612,-527,-530,-316,390.085
-565,-700,-521,-621,390.092
-339,-760,-553,-491,390.094
-340,-698,-636,-506,390.095
-391,-748,-539,-509,390.097
-650,-601,-476,-319,390.11
-603,-660,-533,-548,390.112
-177,-680,-641,-833,390.483
-49,-735,-591,-730,390.885
-392,-608,-637,-737,390.95
-303,-730,-453,-847,391
-391,-563,-513,-883,391.007
-702,-644,-262,-785,391.014
-515,-707,-283,-649,391.019
-419,-507,-102,-1063,391.038
-231,-773,-260,-855,391.051
-410,-562,-487,-949,391.071
-618,-500,-230,-1010,391.074
-425,-567,-480,-899,391.092
-451,-566,-487,-916,391.093
-551,-555,-595,-396,391.321
-343,-710,-572,-481,391.323
-427,-716,-530,-577,391.324
-661,-575,-395,-552,391.326
-359,-712,-119,-897,391.538
-145,-662,-669,-755,391.542
-153,-593,-634,-882,391.562
2,-685,-688,-727,391.773
-415,-610,-543,-822,391.801
-406,-729,-328,-708,391.852
-604,-649,-344,-758,391.854
-352,-562,-375,-984,391.867
-441,-539,-550,-839,391.869
-706,-594,-281,-775,391.918
-741,-537,-260,-682,391.92
-228,-595,-690,-680,391.993
-636,-515,-459,-542,391.997
-77,-790,-485,-717,392.054
-26,-740,-582,-714,392.054
-139,-606,-695,-830,392.056
101,-793,-663,-608,392.161
4,-828,-410,-603,392.213
-311,-744,-673,-664,392.275
36,-795,-659,-619,392.277
-363,-748,-482,-717,392.282
-434,-547,-597,-603,392.338
-455,-645,-462,-904,392.401
-170,-764,-569,-680,392.51
-496,-659,-529,-689,392.512
205,-644,-811,-751,392.517
-545,-544,-437,-926,392.522
-623,-501,-449,-549,392.528
76,-690,-736,-705,392.538
-190,-656,-598,-833,392.547
-327,-663,-545,-878,392.558
-26,-806,-365,-746,392.608
-58,-758,-554,-792,392.609
-119,-714,-666,-677,392.629
-428,-595,-540,-846,392.634
-437,-705,-414,-661,392.641
-604,-514,-490,-602,392.643
-378,-713,-448,-881,392.653
75,-792,-670,-625,392.671
-25,-802,-499,-699,392.676
-275,-675,-559,-860,392.695
168,-818,-586,-662,392.708
-77,-806,-308,-752,392.711
-37,-683,-483,-816,392.727
