obj0,obj1,obj2,obj3,cpu
-323,-105,-494,-313,0
-448,-242,-425,-347,0
-441,-402,-296,-469,0
-385,-100,-573,-320,0
-473,-90,-454,-337,0
-353,-433,-240,-572,0
-390,-510,-370,-531,0
-327,-395,-148,-609,0
-183,-402,-420,-349,0
-436,-326,-451,-434,0
-436,-501,-324,-494,0
-245,-496,-310,-546,0
-270,-371,-434,-340,0
-365,-392,-380,-418,0
-446,-477,-188,-445,0
-250,-516,-272,-479,0
-157,-414,-380,-430,0
-444,-405,-342,-349,0
-357,-535,-219,-370,0
-247,-576,-311,-485,0
-398,-323,-335,-459,0
-324,-482,-202,-597,0
-402,-453,-359,-426,0
-337,-302,-434,-464,0
-327,-384,-284,-578,0
-444,-314,-289,-422,0
-301,-438,-397,-284,0
-289,-468,-393,-407,0
-186,-359,-435,-341,0
-196,-350,-433,-371,0
-327,-422,-163,-591,0
-399,-365,-138,-508,0
-360,-193,-488,-303,0
-319,-399,-411,-419,0
-365,-246,-474,-355,0
-473,-258,-277,-327,0
-470,-321,-293,-399,0
-326,-529,-372,-415,0
-374,-390,-428,-454,0
-479,-49,-380,-312,0
-148,-516,-392,-314,0
-454,-174,-336,-340,0
-110,-435,-448,-330,0
-178,-460,-399,-404,0
-343,-217,-480,-268,0
-355,-293,-469,-387,0
-289,-441,-378,-425,0
-283,-524,-228,-422,0
-268,-317,-22,-619,0
-275,-330,-509,-283,0
-337,-239,-517,-281,0
-166,-427,-428,-388,0
30,-524,-373,-240,0
-479,-331,4,-328,0
-202,-342,-474,-261,0
-212,-333,-458,-255,0
-148,-489,-377,-332,0
-313,-395,-412,-327,0
-479,-190,-188,-320,0
-474,-231,-113,-377,0
