obj0,obj1,obj2,obj3,cpu
-142,-441,-454,-565,3.0453
-401,-235,-190,-307,22.717
-370,-163,-282,-418,24.6263
-313,-462,-402,-513,49.2458
-370,-358,-232,-390,49.343
-264,-405,-470,-554,49.9529
-320,-372,-376,-456,49.9529
-369,-429,-308,-415,50.2392
-220,-349,-510,-530,50.3216
-125,-429,-563,-650,50.535
-376,-297,-96,-233,50.5977
-377,-293,-296,-319,50.6059
-361,-384,-353,-409,50.609
-363,-323,-414,-466,50.6946
-417,-256,-63,-334,50.8302
-460,-207,-101,-344,50.8365
-317,-328,-393,-385,50.8697
-305,-417,-447,-507,50.8723
-307,-356,-508,-564,50.9413
-371,-301,-93,-361,50.9876
-357,-370,-343,-433,51.0272
-424,-191,-127,-263,51.0464
-412,-313,-70,-314,51.0525
-392,-252,-294,-385,51.0802
-346,-473,-371,-459,51.1416
-412,-132,-162,-281,51.147
-253,-360,-479,-476,51.1769
-379,-232,-357,-376,51.1952
-319,-267,-454,-442,51.198
-364,-252,-338,-441,51.2137
-414,-252,-131,-371,51.2791
-312,-327,-421,-450,51.2813
-259,-367,-281,-557,51.2856
-203,-290,-531,-547,51.2881
-159,-234,-571,-523,51.3184
-192,-245,-540,-469,51.3238
-426,-130,-188,-320,51.3291
-469,-81,-226,-330,51.3327
-411,-150,-169,-385,51.3431
