obj0,obj1,obj2,obj3,cpu
-587,-723,-160,-643,617.873
-658,-653,-488,-456,1087.02
-450,-419,-500,-940,1197.85
-448,-463,-437,-861,1806.96
-415,-507,-500,-850,1818.64
-546,-718,-310,-618,2210.21
-566,-588,-474,-831,2224.08
-619,-477,-418,-833,2273.12
-837,-650,-79,-528,2323.45
-403,-573,-314,-1000,2343.78
-551,-572,-370,-995,2366.07
-214,-440,-646,-551,2623.11
-484,-336,-559,-661,2663.94
-651,-684,-425,-615,2688.69
-347,-401,-614,-789,2695.84
-513,-624,-458,-836,2715.56
-486,-745,-423,-372,2722.18
-541,-406,-555,-471,2923.31
-754,-682,-39,-640,3301.09
-611,-688,-551,-785,3358.21
-288,-268,-546,-836,3406.43
-422,-476,-563,-691,3408.74
-764,-640,-72,-592,3433.91
-654,-548,-504,-711,3444.68
-302,-328,-651,-610,3461.34
-481,-681,-495,-798,3493.99
-263,-549,-567,-786,3539.58
