obj0,obj1,obj2,obj3,obj4,cpu
-366,159,-248,-597,-488,2.46997
107,-362,72,-411,-499,2.79529
-301,80,-335,-605,-483,3.71865
-385,220,-355,-570,-510,3.80837
-60,-239,-239,-429,-206,4.03625
-110,-151,-112,-459,-387,4.40382
-321,162,-202,-603,-436,4.43293
2,-344,-212,-401,-276,4.65844
-72,-288,-279,-335,-232,4.65861
2,-265,-142,-515,-392,4.72903
-343,137,-349,-507,-494,5.34504
-294,-68,-402,-432,-548,5.34675
-255,-88,-380,-456,-451,5.37958
-122,-260,-306,-332,-374,5.39483
-290,72,-330,-584,-438,5.39498
-133,-252,-311,-353,-419,5.40594
-340,100,-357,-581,-580,5.41706
-172,-232,-333,-329,-516,5.41714
-214,101,-204,-687,-422,5.43831
-427,303,-361,-633,-526,5.49681
-31,-304,-120,-326,-218,5.6413
-106,-284,-191,-285,-266,5.65279
73,-363,-137,-393,-234,5.95258
25,-224,-97,-588,-321,6.16766
-43,-274,-90,-346,-360,6.58312
-83,-280,-284,-356,-277,6.7199
-101,-251,-258,-321,-474,7.34967
-269,81,-282,-573,-538,7.34973
-210,-234,-390,-306,-516,7.35361
-224,-177,-261,-198,-409,7.36012
-392,155,-285,-450,-473,7.36014
-160,-262,-363,-309,-374,7.36665
-172,18,-198,-624,-406,7.37213
-92,-15,-107,-672,-495,7.38169
-275,58,-306,-591,-493,7.39059
-107,-274,-282,-339,-429,7.39069
-171,-254,-368,-330,-419,7.40006
-174,-191,-352,-417,-338,7.41244
-132,-274,-346,-354,-322,7.4126
-231,83,-225,-596,-538,7.42081
-63,-249,-201,-344,-474,7.42088
-302,102,-300,-604,-580,7.44026
-434,238,-291,-513,-489,7.45568
-353,247,-294,-699,-570,7.58087
-315,249,-237,-722,-570,7.60818
-532,461,-174,-531,-414,7.67751
-102,-278,-46,-258,-300,7.75152
-53,-296,-110,-315,-321,7.75637
-117,-276,-196,-306,-311,7.9041
-159,-193,-202,-369,-327,7.90423
-71,-231,-244,-450,-251,7.9072
-23,-291,-214,-369,-280,8.01292
51,-347,-147,-435,-324,8.02021
67,-386,-161,-411,-189,8.04857
