obj0,obj1,obj2,obj3,obj4,cpu
-226,-269,-153,-191,-392,0
-359,-187,-367,-365,-399,0
-300,-209,-377,-255,-395,0
-277,-350,-181,-170,-260,0
-437,-277,-255,-222,-310,0
-191,-283,-227,-218,-404,0
-275,-292,-77,-266,-315,0
-194,-232,-291,-233,-377,0
-384,-170,-288,-213,-403,0
-362,-355,-223,-211,-170,0
-214,-256,17,-252,-366,0
-285,-247,-143,-301,-396,0
-349,-232,-301,-330,-318,0
-378,-299,-265,-112,-306,0
-409,-160,-243,-368,-77,0
-449,-265,-198,-184,-151,0
-407,-321,-209,-281,42,0
-346,-283,-237,-315,-345,0
-375,-232,-248,-332,-375,0
-373,-292,-97,-193,-388,0
-135,-254,-301,-123,-373,0
-122,-350,-171,-73,-319,0
-405,-96,-271,-56,-272,0
-325,-192,-298,-103,-399,0
-406,-211,-179,-353,-104,0
-376,-241,-259,-355,-227,0
-308,-325,-131,-217,-329,0
-260,-225,-332,-127,-340,0
-468,-256,-186,-243,-39,0
-427,-322,-189,-187,-229,0
-384,-298,-232,-208,-92,0
-380,-325,-302,-289,-211,0
-371,-266,-158,-163,-349,0
-132,-305,-237,-108,-400,0
-401,-224,-82,-56,-365,0
-392,-185,-301,-256,-363,0
-68,-299,-245,82,-424,0
-360,-297,-119,-307,-225,0
-378,-181,-312,-347,-348,0
-313,-332,-299,-136,-247,0
-307,-89,-411,-379,-344,0
-344,-304,-196,150,-306,0
-251,-252,-74,-39,-396,0
-159,-314,-97,14,-443,0
-157,-288,-158,44,-404,0
-428,-154,-188,-350,-26,0
-458,-203,-238,-65,-179,0
-445,-292,-268,-265,-270,0
-471,-208,-207,-181,-73,0
-405,-308,-223,-137,-215,0
-417,-175,-256,-411,-37,0
-290,-254,-311,-220,-314,0
-231,-276,-321,-110,-310,0
-462,-260,-176,-70,-314,0
-223,-299,-255,-15,-365,0
-248,-282,-176,137,-369,0
-319,-321,-275,-2,-302,0
-220,-350,-191,0,-392,0
-398,-184,-268,-352,-149,0
-394,-211,-338,-433,-268,0
-306,-299,-192,-187,-290,0
-404,-299,-212,-114,-363,0
-153,-325,-121,-120,-388,0
-316,-340,-144,-260,-289,0
-339,-332,-246,-138,-304,0
-319,-203,-322,-237,-344,0
-316,-254,-258,-222,-371,0
-327,-218,-335,-280,-304,0
-368,-344,-199,-77,-225,0
-463,-269,-187,-93,-166,0
-411,-297,-199,-3,-270,0
-424,-282,-277,-336,-147,0
-490,-192,-161,67,-291,0
-282,-277,-245,-125,-369,0
-386,-196,-325,-390,-308,0
-183,-315,-210,113,-310,0
-28,-315,-200,210,-369,0
59,-405,-225,183,-388,0
-94,-347,-131,-10,-384,0
-372,-310,-289,-246,-251,0
-366,-439,-266,-145,-154,0
-403,-289,-220,-267,20,0
-440,-139,-174,-389,194,0
-462,-267,-210,-377,16,0
92,-372,-171,134,-374,0
1,-366,-189,227,-339,0
-484,-203,-185,-67,-236,0
-125,-354,-246,69,-359,0
-310,-383,-235,-121,-274,0
-249,-347,-141,-107,-325,0
-155,-383,-225,-24,-333,0
-92,-321,-192,20,-345,0
-217,-310,-279,-149,-310,0
-95,-270,-256,5,-318,0
-498,-207,-174,24,-251,0
-164,-321,-265,95,-361,0
-9,-321,-255,192,-420,0
-432,-231,-197,23,-340,0
-158,-332,-289,-39,-306,0
