obj0,obj1,obj2,obj3,obj4,cpu
-1017,782,-422,-1114,-608,0.88606
-268,-142,-173,-255,-174,1.41937
-1181,978,-496,-1300,-688,1.43231
-1099,880,-459,-1207,-648,1.43233
-1263,1076,-533,-1393,-728,1.44629
-1345,1174,-570,-1486,-768,2.19212
-1074,816,-525,-1158,-532,2.62687
-279,-100,-89,-277,-248,2.97977
-1006,740,-506,-1092,-534,3.02854
-1170,936,-580,-1278,-614,4.32084
-1088,838,-543,-1185,-574,4.3209
-1252,1034,-617,-1371,-654,4.36846
-1334,1132,-654,-1464,-694,4.3685
-1022,614,-594,-1071,-408,5.44352
-284,-268,-261,-234,-48,5.44356
-1186,810,-668,-1257,-488,5.61877
-1104,712,-631,-1164,-448,5.61886
-978,556,-538,-1006,-400,6.33431
-322,-228,-242,-262,-80,6.33436
-1081,961,-410,-1244,-717,7.14571
-999,863,-373,-1151,-677,7.14575
-660,334,-391,-751,-359,7.49869
-314,-289,-232,-200,95,7.64586
-878,539,-452,-950,-429,7.84421
-825,314,-533,-793,-239,8.5718
-333,-274,-311,-235,1,8.57186
-907,412,-570,-886,-279,8.57355
-901,708,-483,-1024,-524,8.60614
-163,-174,-150,-187,-164,8.60623
-979,579,-526,-1076,-466,8.61271
-241,-303,-193,-239,-106,8.61278
-997,968,-470,-1176,-656,8.78605
-1097,985,-556,-1232,-627,8.78609
-1015,887,-519,-1139,-587,8.78613
-1251,1011,-629,-1301,-588,8.79807
-1302,1034,-665,-1356,-608,8.80662
-1220,936,-628,-1263,-568,8.80667
-1061,677,-563,-1169,-506,8.88784
-1125,839,-561,-1213,-552,8.90494
-265,-283,-182,-199,46,8.91686
-525,266,-330,-645,-383,8.94486
-115,-224,-145,-180,-183,8.94494
-578,236,-354,-658,-319,8.95737
-168,-254,-169,-193,-119,8.95742
-363,-222,-324,-203,47,9.33962
-796,441,-415,-857,-389,9.5142
-222,-245,-156,-206,-109,9.5143
-960,637,-489,-1043,-469,9.52235
-1010,637,-537,-1028,-423,9.55333
-354,-147,-241,-284,-103,9.55338
-179,-212,-85,-215,-193,9.82178
-344,-232,-227,-257,-73,10.0777
-295,-226,-177,-256,-122,10.2093
-990,621,-442,-1098,-540,10.217
-922,685,-355,-1064,-592,10.2172
-252,-261,-109,-261,-180,10.2172
-1086,881,-429,-1250,-672,10.2957
-1004,783,-392,-1157,-632,10.2958
-1072,719,-479,-1191,-580,10.2958
-1054,695,-593,-1093,-431,10.3561
-316,-187,-260,-256,-71,10.3562
-908,418,-568,-870,-282,10.4242
-1136,793,-630,-1186,-471,10.521
-1070,919,-494,-1222,-643,10.5494
-1248,1277,-518,-1467,-815,10.56
