obj0,obj1,obj2,obj3,obj4,cpu
-367,-173,-325,-129,-372,0.769823
-353,-205,-139,-341,-160,0.787199
-260,-215,-186,-228,-220,1.08315
-281,-253,-330,-122,-236,1.4938
-264,15,-223,-178,-415,1.77484
-384,-58,-243,-214,-412,1.98826
-348,-131,-128,-349,-196,2.00286
-308,-127,-182,-252,-148,2.00289
-239,-177,-42,-334,-204,2.08233
-379,-59,-437,-28,-459,2.09367
-413,-252,-429,-114,-358,2.15321
-470,-216,-498,-102,-457,2.24424
-327,-94,-174,-226,-313,2.2462
-256,-137,-165,-225,-255,2.2848
-337,17,-149,-240,-427,2.29984
-320,-23,-26,-349,-376,2.30649
-357,-284,-350,-115,-258,2.35493
-374,-243,-283,-235,-176,2.37267
-397,-288,-296,-212,-306,2.38766
-388,-136,-264,-217,-377,2.44466
-358,-21,-293,-134,-443,2.48738
-352,-210,-339,-123,-294,2.51181
-384,-47,-134,-276,-318,2.58695
-292,-163,-49,-350,-96,2.59475
-418,-326,-440,-106,-322,2.60442
-275,-133,-202,-287,-184,2.60748
-365,-91,-251,-240,-247,2.6092
-330,-160,-126,-364,-30,2.61028
-369,-169,-272,-243,-212,2.61251
-375,19,-416,-25,-494,2.61898
-280,-19,-80,-252,-328,2.62068
-332,-168,-185,-218,-277,2.64099
-242,-210,-136,-265,-214,2.64464
-289,-171,-112,-247,-257,2.65198
-311,-130,-41,-324,-261,2.66582
-294,-170,82,-433,-210,2.66588
-323,-5,-44,-285,-254,2.66986
-409,-174,-408,-111,-393,2.67503
-405,-96,-387,-108,-428,2.67608
-315,-138,-338,-155,-365,2.67991
-324,-249,-213,-322,-123,2.68326
-336,-246,-206,-221,-242,2.69921
-254,-166,28,-336,-162,2.72214
-275,-204,-116,-230,-178,2.7422
-191,-57,-21,-288,-264,2.75252
-268,-133,32,-353,-241,2.75683
-264,-55,53,-350,-276,2.75691
-221,-172,8,-371,-198,2.76326
-401,-7,-257,-167,-369,2.77148
-148,-174,-66,-309,-186,2.77683
-285,-93,-91,-244,-292,2.77952
-299,-123,-129,-258,-181,2.78899
-174,-97,102,-397,-213,2.79379
-315,-208,-62,-327,-226,2.79592
-247,-95,176,-459,-225,2.79771
