obj0,obj1,obj2,obj3,obj4,cpu
-902,-113,-356,-811,-513,44.1327
-846,-209,-337,-644,-491,363.044
-341,-155,-342,-201,-609,592.964
-336,-139,-159,-164,-656,593.626
-737,-198,-355,-827,-354,660.116
-791,-128,28,-755,-718,702.718
-897,-15,-332,-835,-423,703.618
-615,106,-637,-640,-263,905.889
-483,-23,-558,-439,-227,905.893
-713,-123,-210,-720,-626,919.195
-734,-190,-321,-809,-465,946.991
-268,173,-495,-355,-604,983.396
-491,-349,-196,-142,-404,1117.2
-540,-41,-529,-610,-337,1180.75
-638,-149,-273,-573,-553,1183.02
-467,-83,-568,-458,-217,1183.94
-700,56,-393,-721,-371,1187.58
-740,-206,-426,-677,-147,1279.12
-827,-112,-235,-870,-638,1284.25
-591,120,-329,-673,-566,1291.64
-596,-99,-395,-637,-566,1328.7
-680,-86,-362,-742,-548,1329.55
-486,-206,-404,-449,-221,1373.41
-449,42,-441,-446,-480,1412.32
-609,-180,-348,-655,-469,1420.57
-744,-264,-144,-644,-514,1438.58
-581,-300,-414,-333,361,1472.63
-876,-189,-344,-659,-289,1504.38
-408,-149,-368,-307,-484,1508.66
-480,-217,-281,-392,-385,1508.66
-594,-80,-475,-613,-367,1525.02
-688,115,-457,-746,-378,1528.11
-650,-32,-360,-748,-534,1532.15
-135,284,-531,-195,-565,1654.29
-241,-305,-270,61,-308,1737.96
-303,-244,-300,-91,-244,1738.49
52,-76,-460,159,-511,1746.62
-559,-214,-239,-524,-463,1762.62
-409,-310,-52,-241,-563,1769.65
-531,-287,-139,-398,-648,1769.95
-452,-237,-255,-302,-480,1770.05
-282,-55,-332,-156,-617,1794.22
-159,-284,-259,-7,-374,1799.08
-479,-258,-309,-332,-214,1816.8
-594,-35,-506,-635,-294,1817
-669,-173,-310,-651,-496,1824.73
-580,-290,-97,-426,-438,1846.03
-468,-314,-403,-278,247,1868.48
-458,-375,-100,-303,-196,1894.72
-619,-217,-424,-428,-247,1898.81
-336,-81,-455,-222,-583,1907.84
-196,-31,-517,-92,-439,1907.84
-363,-73,-462,-230,-581,1907.84
-293,-48,-493,-165,-509,1907.84
-620,-267,-219,-522,-529,1922.73
-550,-242,-250,-457,-457,1922.73
-756,-144,-195,-788,-642,1923.24
-676,-166,-342,-744,-528,1923.47
-395,6,-500,-341,-467,1924.97
-813,-25,-381,-835,-502,1926.43
-722,-70,-310,-824,-575,1983.54
-642,-202,-440,-713,-4,2062.2
-726,-176,-241,-695,-620,2069.1
-568,-236,-259,-670,-273,2117.09
-500,-209,-388,-514,-326,2136.24
-519,-117,-469,-445,-204,2137.83
-207,-378,-129,-158,-344,2171.88
-422,-406,-181,-124,-276,2180.39
10,-137,-347,143,-547,2185.39
-267,-208,-403,-197,-346,2195.83
-583,-275,-235,-567,-348,2202.98
-450,-274,-212,-390,-420,2204.81
-237,-280,-337,83,-229,2216.29
-581,-284,-215,-470,-397,2240.41
-314,-250,-241,-227,-465,2255
-385,-277,-228,-308,-464,2260.33
-523,-129,-454,-538,-218,2262.46
-614,-150,-374,-516,-478,2279.6
-426,-197,-370,-156,-421,2289.76
