obj0,obj1,obj2,obj3,obj4,cpu
-450,-249,-115,-155,-109,75.3401
-631,-371,-67,-145,-368,103.683
-193,-353,7,-313,-401,106.753
-444,-382,-78,-121,-274,250.111
-176,-295,-81,-297,-232,260.701
-137,-172,-109,-197,-231,302.386
-16,-340,-184,-196,-153,367.801
-161,-145,-108,-198,-255,368.949
27,11,-195,2,-156,373.203
-39,-81,-262,-129,-87,373.304
-389,-214,-91,-105,-214,396.511
-461,-125,-91,-113,-217,424.595
-131,-244,-176,-84,-75,426.122
-200,-196,-92,-160,-273,434.47
-258,-399,19,-262,-221,439.877
-237,-368,-22,-202,-289,439.877
-226,-337,-81,-226,-263,440.55
-65,-352,-128,-288,-217,446.453
-17,-301,-97,-246,-262,446.453
-71,-256,-34,-383,-214,446.453
-131,-369,-82,-239,-334,447.025
-137,-285,-139,-232,-207,447.059
0,-182,-166,-196,-196,447.059
-128,-209,-169,-225,-93,447.594
-188,-326,-93,-245,-118,447.894
-270,-110,-130,-114,-180,455.421
-240,-301,-116,-166,-179,458.974
-341,-410,-110,-59,12,462.458
-544,-423,107,12,-142,462.831
-301,-83,74,-381,-246,462.869
-289,-275,-114,-191,-252,462.869
-23,-205,-3,-341,-259,462.927
-64,-380,-113,-313,-76,463.034
-70,-284,-19,-408,-73,463.034
-160,-308,24,-377,-270,463.28
-72,-93,-166,-204,-199,463.915
-162,-109,-181,-252,49,464.64
-110,-8,130,-405,-128,465.796
-136,-313,-124,-257,-66,466.425
-186,-259,-127,-235,-208,467.356
-237,-300,-91,-270,-191,468.674
-386,-213,-66,-209,-226,469.806
-215,-244,176,-252,-296,470.114
-220,-296,-118,-78,-131,470.29
-287,-274,-135,-30,-200,470.565
-281,-110,-9,-219,-270,470.605
-358,-425,-35,-225,-237,471.814
-364,-329,59,-320,-234,471.814
-287,-206,67,-213,-277,472.881
-442,-408,-29,-46,-302,472.997
63,115,97,-530,-83,473.196
-29,-109,91,-436,-256,473.275
-186,-477,-72,-243,-263,473.319
-178,-407,-99,-174,-284,473.349
-39,-157,-227,-231,-37,473.579
9,-106,-196,-189,-82,473.579
-144,-102,-142,-250,-139,473.813
-118,-262,-126,-246,17,474.31
81,-97,-220,-143,-142,474.34
