obj0,obj1,obj2,obj3,obj4,cpu
-16,-340,-184,-196,-153,15.9861
-631,-371,-67,-145,-368,106.067
-450,-249,-115,-155,-109,135.258
-193,-353,7,-313,-401,152.319
-341,-410,-110,-59,12,162.459
-389,-214,-91,-105,-214,179.929
-444,-382,-78,-121,-274,212.469
-461,-125,-91,-113,-217,247.607
-232,-291,-147,-232,-23,363.516
-39,-81,-262,-129,-87,369.831
-137,-172,-109,-197,-231,390.361
-270,-110,-130,-114,-180,394.2
-361,-208,-125,-135,-242,394.799
-467,-127,17,-268,-223,394.99
81,-173,-185,-245,-92,395.026
69,19,3,-435,-86,395.026
160,-78,-184,-366,-70,395.089
12,172,119,-505,-57,395.107
60,223,150,-463,-102,395.107
-86,-320,-150,-321,-246,395.146
-92,-224,-56,-416,-243,395.146
-17,-301,-97,-246,-262,395.146
-23,-205,-3,-341,-259,395.146
-33,-241,-170,-238,-164,395.176
-39,-145,-76,-333,-161,395.176
-29,-109,91,-436,-256,395.196
-154,-404,-70,-282,-273,395.206
-131,-369,-82,-239,-334,395.213
-353,-356,-87,-52,-246,417.59
-176,-295,-81,-297,-232,422.4
-433,-463,73,2,-189,426.666
-461,-223,-77,-173,-226,426.999
-28,-137,106,-461,-115,427.068
-94,-253,-66,-337,-90,427.103
-71,-256,-34,-383,-214,427.142
-186,-477,-72,-243,-263,427.212
-118,-262,-126,-246,17,427.533
-442,-408,-29,-46,-302,453.674
-301,-83,74,-381,-246,453.944
181,-110,-162,-333,-41,453.995
175,-14,-68,-428,-38,453.995
63,115,97,-530,-83,453.998
217,133,57,-481,-80,453.999
104,70,205,-457,-134,454.002
-64,-380,-113,-313,-76,454.008
-76,-188,75,-503,-70,454.008
-34,-41,200,-556,-112,454.015
-67,-381,-138,-209,-64,454.023
-65,-352,-128,-288,-217,454.044
-160,-308,24,-377,-270,454.051
-192,-381,22,-338,-260,454.086
-184,-448,-62,-322,-416,454.095
-63,-115,-172,-235,-22,456.785
-197,-411,16,-270,-200,465.682
-214,-323,-72,-237,-243,471.429
-289,-275,-114,-191,-252,476.092
63,-177,-214,-194,-160,476.109
-179,-464,-94,-120,10,476.134
-112,-257,55,-335,-315,476.147
-135,-26,-172,-243,-25,478.558
-263,-69,-111,-209,-40,483.412
-425,-267,-87,-60,-249,489.181
-362,-398,-75,-96,-366,495.97
153,-164,-209,-199,-152,495.976
38,150,317,-569,-11,495.986
-88,-349,-160,-242,-93,495.993
-80,-279,-187,-173,-114,495.999
-178,-407,-99,-174,-284,496.005
-90,-198,-181,-244,52,496.275
-162,-109,-181,-252,49,496.31
-411,-277,-64,-173,-12,501.83
-432,-245,-86,-206,-41,502.047
-260,-297,-123,-224,-67,502.056
-166,-357,-116,-297,-209,502.852
-178,-12,-24,-337,-180,502.864
-257,-427,34,-287,-80,503.087
-299,-437,-34,-181,97,503.092
-359,-397,-50,-200,-378,503.915
-421,-534,7,-111,-90,506.594
-195,-164,-68,-248,-265,509.965
-448,-449,8,-194,-434,509.977
-459,-154,104,-195,-251,510.041
-295,-179,-20,-286,-249,510.045
-70,-284,-19,-408,-73,510.053
62,-206,-96,-367,-240,510.06
-20,-33,61,-429,-142,510.062
-173,-379,-150,-133,-157,510.066
-180,-436,-109,-95,-131,510.079
-196,-377,-146,-160,-358,510.081
-319,-51,-130,-128,-101,514.876
-323,-406,-81,-110,80,515.066
-272,-145,-81,-216,-154,515.483
-360,-225,-8,-235,-69,515.485
-517,-508,106,95,202,515.674
-414,-521,-15,12,183,515.676
-188,-175,-172,-127,-214,517.609
-416,-465,-45,62,-99,517.975
-504,-545,28,43,-14,518.203
-115,-66,48,-332,-293,521.413
-347,-583,-74,-171,-285,521.417
-213,-52,-159,-227,75,521.552
-141,-141,-159,-219,78,521.552
-81,-43,-236,-82,-140,523.35
73,-101,-241,-135,-87,523.368
