obj0,obj1,obj2,obj3,obj4,cpu
-349,-628,-566,-633,-72,16.8597
-491,-477,-481,-690,-47,76.8686
-529,-583,-892,-198,-459,128.931
-534,-733,-685,-284,-708,136.58
-471,-470,-490,-498,-247,165.538
-590,-466,-747,-106,-733,190.653
-625,-335,-623,-623,-108,214.067
-514,-795,-680,-278,-556,216.89
-419,-564,-904,-255,-686,247.964
-512,-536,-979,-210,-759,247.964
-611,-346,-998,-320,-412,258.995
-479,-545,-841,-48,-790,276.089
-568,-475,-933,-71,-699,276.765
-588,-556,-846,-195,-788,284.971
-544,-639,-664,-60,-820,294.839
-600,-399,-409,-350,-684,299.461
-391,-580,-198,-522,-242,340.959
-559,-776,-676,-137,-575,343.396
-338,-854,-284,-504,-28,348.687
-681,-327,-762,-342,-804,382.988
-452,-412,-550,-953,-131,391.41
-400,-326,-542,-976,-46,391.41
-586,-270,-692,-886,-192,391.41
-391,-483,-463,-742,31,396.985
-346,-502,-467,-883,50,396.985
-381,-458,-493,-747,-274,397.043
-608,-288,-710,-635,-408,403.684
-654,-265,-787,-468,-550,403.982
-676,-418,-949,-410,-651,404.508
-305,-464,-345,-594,-253,407.281
-250,-570,-314,-724,223,408.082
-366,-542,-512,-410,-628,437.446
-657,-437,-662,-347,-650,484.119
-305,-533,-331,-780,99,485.662
-532,-363,-548,-668,-35,485.662
-662,-557,-725,-331,-371,504.269
-445,-292,-648,-661,-488,525.833
-445,-272,-772,-594,-416,540.437
-617,-147,-795,-316,-702,560.239
-493,-298,-617,-931,-119,574.098
-644,-162,-809,-562,-291,579.524
-499,-284,-516,-717,-236,581.162
-463,-263,-691,-795,-376,587.334
-479,-194,-711,-856,-181,587.931
-169,-761,-197,-650,202,597.003
-375,-275,-271,-676,-430,641.17
-382,-586,-743,-208,-786,647.079
-606,-309,-819,-96,-834,666.287
-594,-479,-508,-398,-290,745.568
-356,-342,-475,-569,-516,799.298
-451,-468,-504,-467,-599,804.625
-512,-516,-1103,-143,-687,808.506
-474,-231,-483,-757,-238,815.597
-608,-89,-625,-690,-299,815.598
-463,-534,-727,-568,-420,819.465
-469,-814,-684,-419,-537,822.52
-313,-534,-486,-645,-58,825.023
-411,-421,-468,-748,-121,828.852
-483,-146,-652,-920,-47,836.489
-427,-108,-703,-879,-96,836.537
-614,-203,-857,-440,-475,838.603
-436,-671,-541,-93,-713,928.195
-378,-521,-437,-482,-431,984.637
-585,-376,-651,-433,-595,984.647
-417,-479,-318,-669,-134,988.503
-686,-339,-673,-207,-500,994.216
-644,-315,-646,-424,-439,996.22
-635,-525,-556,-440,-202,997.961
-356,-609,-331,-575,17,997.961
-352,-540,-686,-436,-449,1004.38
-674,-484,-575,-335,-350,1021.33
-351,-704,-188,-510,62,1032.74
-408,-695,-339,-552,-68,1040.22
-447,-599,-554,-484,-215,1040.26
-643,-246,-806,-227,-660,1085.77
-567,-134,-572,-526,-663,1098.26
-550,-402,-726,-309,-765,1099.89
-620,-282,-370,-475,-355,1112.84
-420,-391,-411,-728,-334,1115.39
-624,-224,-804,-556,-139,1125.64
-378,-337,-699,-738,-405,1127.8
-500,-547,-999,-339,-658,1129.13
-407,-575,-924,-384,-585,1129.13
-519,-222,-521,-723,-388,1130.61
-488,-306,-682,-648,-243,1131.16
-568,-362,-695,-590,-169,1131.18
-242,-555,-305,-853,249,1153.65
-500,-601,-809,-16,-726,1175.07
-419,-370,-506,-529,-601,1220.8
-462,-642,-756,-150,-712,1230.27
-398,-439,-566,-421,-511,1243.81
-605,-463,-736,-44,-960,1294.5
-607,-545,-648,-303,-525,1307.44
-581,-512,-500,-380,-277,1315.42
-354,-682,-283,-492,-143,1315.42
-456,-402,-464,-607,-140,1327.83
-712,-379,-727,-192,-445,1341
-496,-551,-580,-427,-377,1342.21
-518,-546,-831,-340,-443,1349.25
-328,-701,-532,-446,-161,1350.77
-687,-366,-865,-305,-441,1354.41
-427,-679,-355,-510,-246,1383.5
-269,-807,-237,-440,-38,1383.84
-371,-642,-193,-516,-90,1384.73
-503,-558,-384,-412,-227,1393.65
-467,-537,-559,-490,-367,1394.83
-677,-580,-483,-248,-460,1395.4
-436,-435,-642,-526,-492,1397.89
-586,-397,-556,-632,-328,1475.37
-586,-110,-599,-585,-412,1478.44
