obj0,obj1,obj2,obj3,obj4
-832,232,-996,-558,-952
-822,142,-856,-563,-783
-810,133,-884,-559,-886
-804,92,-516,-403,-431
-794,64,-607,-459,-766
-766,60,-719,-518,-696
-764,0,-293,-264,-426
-762,-5,-405,-468,-328
-754,-81,-173,-326,-163
-728,-104,-348,-445,-325
-718,-125,-369,-317,-287
-703,-146,-330,-253,-328
-703,-151,-321,-299,-183
-692,-213,-256,-296,-235
-740,-47,-317,-427,-350
-672,-217,-576,-300,-182
-672,-250,-194,-427,-199
-661,-300,-330,-300,-84
-736,-23,-538,-370,-597
-760,6,-653,-456,-944
-727,-25,-426,-333,-346
-721,-101,-661,-459,-535
-744,1,-890,-448,-766
-635,-328,-496,-465,-101
-687,-205,-595,-482,-387
-606,-332,-323,-218,-14
-702,-132,-514,-610,-342
-709,-110,-689,-455,-638
-581,-370,-232,-360,131
-669,-224,-562,-442,-249
-771,72,-1004,-536,-803
-722,-13,-554,-477,-506
-796,99,-471,-445,-476
-560,-377,-430,-284,-108
-548,-386,-458,-280,-211
-643,-225,-436,-373,-470
-541,-408,-283,-435,85
-715,-120,-241,-425,-448
-748,3,-251,-403,-446
-511,-411,-323,-123,117
-501,-462,-246,-61,287
-621,-256,-359,-373,-258
-692,-131,-234,-294,-363
-613,-260,-537,-371,-488
-715,-10,-867,-491,-716
-608,-272,-252,-353,-381
-564,-336,-446,-310,-37
-647,-228,-193,-208,-241
-661,-134,-625,-388,-356
-629,-232,-711,-451,-427
-607,-275,-497,-542,-172
-600,-291,-406,-348,-260
-684,-124,-189,-336,-408
-665,-183,-524,-414,-448
-710,-123,-315,-405,-187
-651,-202,-662,-583,-362
-700,-46,-1023,-573,-645
-587,-307,-299,-328,-383
-658,-119,-737,-374,-408
-655,-126,-723,-516,-475
-619,-238,-401,-310,-269
-567,-329,-460,-168,30
-664,-190,-389,-398,-468
-582,-317,-479,-350,-175
-700,-72,-725,-407,-576
-716,-67,-488,-415,-754
-572,-318,-222,-411,-146
-660,-149,-351,-370,-667
-570,-326,-507,-346,-278
-600,-261,-557,-439,-127
-595,-284,-525,-538,-275
-674,-100,-891,-572,-593
-636,-214,-643,-401,-157
-633,-221,-629,-543,-224
-558,-335,-535,-342,-381
-494,-428,-194,-175,21
-636,-154,-784,-386,-534
-590,-241,-711,-492,-340
-586,-284,-635,-525,-556
-673,-107,-756,-556,-613
-557,-342,-400,-326,-401
-585,-305,-546,-410,-237
-670,-110,-709,-378,-305
-519,-390,-423,-409,32
-453,-468,-341,-158,209
-629,-175,-549,-298,-530
-724,-10,-316,-349,-797
-630,-173,-726,-531,-403
-633,-247,-331,-377,-155
-516,-408,-249,-143,-144
-778,132,-318,-469,-334
-451,-469,-198,-72,283
-485,-439,-489,-288,100
-523,-402,-295,-127,220
-443,-519,-264,-96,379
-625,-196,-664,-469,-481
-624,-203,-295,-456,-550
-558,-331,-553,-368,-196
-548,-352,-574,-240,-158
-549,-297,-571,-294,-319
-506,-393,-464,-345,55
-616,-222,-186,-329,-477
-488,-414,-431,-163,-177
-514,-351,-394,-259,-279
-632,-153,-229,-432,-646
-501,-409,-390,-369,170
-656,-119,-858,-532,-455
-534,-288,-619,-354,-437
