obj0,obj1,obj2,cpu
-5819,-6278,-7327,0.47549
-6248,-5867,-7466,0.84523
-6470,-5841,-7303,0.92504
-6183,-6044,-7500,1.04787
-6899,-5430,-7442,1.47598
-6746,-5352,-7505,1.59444
-6317,-5763,-7366,1.61339
-6667,-5997,-7004,1.72599
-5986,-5888,-7799,1.84394
-6533,-5563,-7384,1.86756
-7017,-5516,-6888,2.18941
-6032,-6067,-7448,2.31433
-5145,-6356,-6594,2.47099
-5549,-6351,-5919,2.51757
-5700,-6286,-6898,2.52416
-5629,-6309,-6098,2.53623
-6415,-5477,-7938,2.56621
-6015,-6297,-6125,2.61346
-5298,-6434,-6531,2.61912
-6916,-5272,-7848,2.63422
-6487,-5683,-7709,2.64921
-6042,-6053,-6374,2.66001
-5495,-6590,-6232,2.66306
-6169,-6198,-6032,2.66949
-7093,-5140,-6497,2.68132
-6228,-6086,-6246,2.68321
-5909,-6222,-6432,2.7253
-5968,-6110,-6646,2.73062
-6628,-5266,-8059,2.74532
-6199,-5677,-7920,2.75158
-5520,-5972,-7603,2.75311
-5840,-6229,-6561,2.75846
-7046,-4953,-7018,2.76135
-6683,-5702,-6507,2.76486
-7033,-5221,-6391,2.80698
