obj0,obj1,obj2,cpu
-7755,-6671,-6209,0
-7772,-6448,-6167,0
-7505,-7406,-6233,0
-7741,-6954,-5621,0
-7643,-5727,-6860,0
-7858,-6081,-6271,0
-8094,-5629,-5659,0
-8243,-5312,-6165,0
-7993,-6047,-6189,0
-7864,-5326,-6882,0
-7936,-6361,-6226,0
-7686,-7096,-6250,0
-8229,-5595,-5577,0
-7922,-6644,-5638,0
-8100,-4874,-6270,0
-7962,-6553,-5643,0
-7349,-5965,-6733,0
-6944,-5559,-7228,0
-7827,-6587,-5725,0
-7844,-6364,-5683,0
-7976,-6270,-6231,0
-7332,-6188,-6775,0
-7214,-5999,-6815,0
-6641,-5750,-7043,0
-6911,-6190,-6630,0
-7173,-4888,-7150,0
-6523,-5561,-7083,0
-8212,-5818,-5619,0
-7833,-5832,-6336,0
-7850,-5609,-6294,0
-7715,-5643,-6376,0
-8113,-5154,-6172,0
-7392,-6415,-6586,0
-7375,-6638,-6628,0
-8294,-4844,-6189,0
-8082,-5660,-5626,0
-7089,-5039,-7135,0
-7202,-6030,-6782,0
-6370,-7439,-4902,0
-7966,-5420,-6610,0
-6541,-6228,-6788,0
-6829,-5996,-6909,0
-6846,-5773,-6867,0
