obj0,obj1,obj2,cpu
-10455,-13074,-12301,2.99526
-9943,-13558,-12690,5.42974
-10189,-13520,-12473,5.58751
-10474,-13076,-11775,5.80036
-10363,-12829,-13212,7.30065
-10208,-13522,-11947,9.9882
-10119,-13625,-12525,10.0912
-10342,-12888,-12953,10.6979
-10552,-12248,-12533,11.512
-10096,-12994,-12623,13.3309
-9541,-13653,-12009,13.7129
-9675,-13019,-13015,14.4428
-9524,-12244,-13426,15.1538
-8857,-12375,-13488,15.2782
-10382,-12831,-12686,16.4621
-9430,-13120,-12762,16.8368
-9522,-13651,-12535,16.9615
-10463,-13397,-12173,17.2206
-9696,-12960,-13274,18.1442
-9942,-12922,-13057,18.3252
-9772,-12193,-13247,18.4666
-10820,-11755,-12127,18.8465
-9715,-12962,-12748,19.2226
-10723,-12581,-11895,19.9065
-10538,-10690,-12883,20.9643
-10194,-10918,-13235,21.0478
-10663,-12850,-12393,21.9598
-10395,-12311,-12718,22.3426
-9181,-13027,-12803,22.6378
-10061,-13644,-12252,23.445
-9558,-11665,-13717,24.0508
-9183,-12522,-13346,24.1359
-9574,-12311,-13281,24.1581
-9272,-12351,-13315,24.2696
-9972,-11646,-13467,24.3376
-10760,-12024,-12625,24.4445
-10416,-12252,-12977,24.6192
-9483,-13672,-11736,24.8323
-10619,-13395,-11689,24.897
-10808,-12814,-11010,24.9764
-10716,-12569,-11921,25.6135
-10655,-13432,-11577,25.9799
-10688,-13231,-11524,26.0005
-10844,-12439,-11286,26.0573
-10695,-12628,-11662,26.3131
-9550,-11835,-13289,26.4122
-10462,-11457,-12910,26.4244
-10821,-11537,-12588,26.4452
-10555,-11983,-12760,26.5603
-9306,-11772,-13606,26.6292
-10752,-12194,-12197,26.7133
-11026,-10471,-11780,26.8321
-11113,-11728,-11341,27.1795
-10956,-12087,-11289,27.3899
-10394,-11896,-12980,27.4364
-10041,-11482,-13302,27.5968
-11166,-11447,-10869,27.6581
-11021,-11483,-12252,27.8191
-10289,-13662,-11044,27.8738
-10023,-14108,-11216,27.9219
-10489,-13608,-10708,27.9909
-11069,-12273,-10637,28.0866
-11077,-12103,-11065,28.1039
-10743,-12988,-11307,28.1609
-10811,-12549,-11237,28.1675
-10184,-12894,-12512,28.1823
-10964,-11917,-11717,28.2117
-10813,-11707,-12160,28.2428
-10197,-13417,-11955,28.2732
-10451,-12797,-12554,28.2976
-11174,-11277,-11297,28.3822
-10977,-12028,-11548,28.4346
-10917,-12297,-12046,28.4472
-10985,-11858,-11976,28.4549
-9901,-14089,-11426,28.4995
-10655,-13020,-11965,28.5171
-10159,-13687,-10719,28.5363
-9507,-11681,-13504,28.6567
-10497,-13438,-11136,28.7552
-10878,-12480,-10249,28.9185
-10367,-13589,-10918,29.0139
-10257,-13234,-12396,29.0543
-10816,-12604,-9573,29.1715
-10083,-13925,-11657,29.1986
-10998,-12440,-9804,29.2007
-10938,-12297,-10690,29.2022
-10637,-11106,-12795,29.2097
