obj0,obj1,obj2,cpu
-16712,-13598,-17024,98.1722
-16897,-13567,-16995,133.099
-16745,-13453,-17079,163.855
-16832,-14410,-15086,165.352
-16559,-13351,-17794,186.806
-16684,-13883,-16966,192.437
-17366,-13271,-16108,246.06
-16870,-13985,-16251,246.134
-16036,-14504,-16932,250.797
-16664,-13962,-16704,271.883
-16877,-13646,-16733,289.351
-16690,-13685,-17162,290.297
-16815,-14217,-16334,293.068
-16962,-14251,-15891,322.215
-16069,-14359,-16987,324.392
-15650,-15317,-15764,329.783
-16510,-13856,-17188,339.567
-16732,-14553,-15256,343.818
-16635,-14388,-16360,343.935
-16457,-14080,-16871,346.131
-16795,-14296,-16072,359.969
-15846,-14266,-17225,374.455
-16755,-14369,-16058,383.366
-15525,-15196,-16069,389.511
-15474,-15797,-15053,389.596
-16490,-13935,-16926,396.586
-17197,-12343,-17127,396.609
-16615,-14467,-16098,399.995
-17358,-13477,-16312,400.496
-17151,-13595,-16479,402.05
-17164,-12488,-17072,403.02
-16660,-14208,-16583,404.298
-16054,-13537,-17522,404.442
-15865,-15124,-16218,406.156
-15196,-15429,-16128,406.473
-15071,-14897,-16956,408.34
-17377,-12172,-17101,411.006
-16095,-15123,-15228,413.064
-15993,-14275,-17014,421.367
-15545,-14214,-17342,425.694
-16276,-14241,-16820,433.72
-16194,-14891,-16159,433.918
-16655,-14068,-16586,434.608
-15362,-15610,-15151,436.548
-16717,-13738,-17021,441.12
-16658,-13895,-16730,441.965
-16500,-13508,-17503,442.334
-16576,-14545,-16069,443.677
-16477,-14001,-17133,445.527
-15372,-14949,-16839,447.809
-16578,-14858,-15922,448.802
-15073,-14219,-17409,450.174
-15051,-14976,-16694,450.26
-17357,-12251,-16839,452.019
-15552,-14778,-16813,457.386
-17386,-13192,-16370,467.888
-16688,-13923,-16641,468.796
-16404,-14616,-16284,469.132
-16197,-14734,-16451,469.323
-16171,-15103,-15238,469.823
-16020,-14916,-16417,470.564
-15567,-15596,-14420,470.706
-14969,-15834,-14624,470.908
-15813,-15034,-16584,471.254
-15637,-15514,-15873,471.387
-15375,-15690,-15078,473.104
-17129,-13420,-16842,473.593
-16451,-14013,-16897,474.222
-17254,-13952,-16014,475.607
-17037,-14386,-15554,475.979
-17047,-14070,-16181,476.639
-16221,-14676,-16730,476.847
-17092,-13752,-16188,476.905
-15900,-14826,-16444,478.116
-15808,-14560,-16804,478.165
-15209,-15363,-15921,478.357
-15582,-14674,-16964,478.405
-15909,-15163,-15832,478.943
-15806,-15281,-15927,479.261
-15694,-14152,-17309,479.653
-15199,-15272,-16420,479.948
-16453,-14326,-16750,480.474
-16703,-12578,-17755,481.202
-17439,-13680,-15244,482.171
-17025,-13942,-16459,482.491
-17309,-13839,-14439,483.076
-16818,-14060,-16626,483.935
-17344,-12317,-17046,484.355
-15680,-15153,-16277,485.393
-15996,-14118,-17306,487.128
-15999,-13769,-17605,488.69
-15626,-14767,-16782,488.855
-16127,-14144,-17069,488.908
-15698,-13717,-17722,488.991
-17199,-14184,-16097,491.438
-17322,-13450,-16823,493.007
-17238,-13688,-16340,493.062
-17875,-12915,-15219,493.679
-15885,-13770,-17468,493.826
-16813,-14455,-15813,494.002
-16606,-14573,-15980,494.063
-16489,-14128,-16676,494.204
-16614,-14660,-15848,494.24
-15938,-15566,-15756,494.76
-15528,-15039,-16361,495.252
-16397,-15094,-15388,495.587
-16461,-14413,-16618,496.824
-16428,-14558,-16563,497.21
-17847,-13200,-15161,497.586
-17640,-13318,-15328,498.248
-17096,-13565,-16787,498.62
-15533,-15179,-16358,499.424
-15357,-15659,-15647,500.068
-16057,-13380,-17814,500.665
-15232,-15127,-16475,500.942
-16277,-14806,-16039,501.097
-16559,-14892,-15931,502.256
-17434,-13781,-15988,502.366
-17222,-14114,-14784,502.517
-17304,-13940,-15183,502.748
-16258,-14840,-16048,503.255
-17227,-13899,-16155,503.289
-15946,-15327,-15150,504.345
-16675,-12863,-17697,504.883
-16596,-13356,-17328,505.425
-17087,-12545,-17518,505.782
-15662,-14465,-17129,507.393
-17349,-12457,-17043,507.497
-17204,-14083,-15353,508.28
-16898,-14132,-16214,508.594
-17282,-13667,-16072,509.307
-17512,-13211,-15480,509.405
-16495,-13622,-17267,509.615
-16689,-14805,-14312,509.87
-15178,-15678,-15153,510.059
-17272,-13983,-15445,510.353
-16601,-14788,-14609,510.611
-16936,-13119,-17468,510.739
-16720,-13581,-17313,510.743
-16083,-14944,-16057,511.124
-17061,-13651,-16640,511.25
-16845,-14113,-16485,511.254
-17042,-14285,-14810,511.389
-16854,-13769,-16807,511.52
-16638,-14231,-16652,511.524
-17770,-13159,-16133,511.857
-16467,-13907,-17209,512.057
-15500,-15324,-16303,512.303
-15177,-15794,-15343,512.442
-15591,-14330,-17286,512.695
-15375,-14792,-17131,512.699
-17013,-13130,-16916,513.479
-16763,-14586,-15152,515.026
-16165,-14259,-16848,515.098
-15958,-14377,-17015,515.171
-16040,-13727,-17676,515.188
-17005,-13195,-16857,515.777
-16481,-13224,-17877,515.834
-16791,-12426,-17618,515.874
-15963,-14517,-17012,517.134
-17155,-12818,-17223,517.39
-17761,-12139,-16864,517.464
-17679,-12789,-16203,517.831
-17886,-12671,-16036,518.032
-17415,-13249,-16190,518.289
-16612,-14764,-15284,518.597
-16095,-15265,-15117,518.619
-16131,-15170,-14705,518.738
-16054,-15129,-15677,518.81
-16490,-14893,-14755,518.873
-15819,-14684,-16481,519.943
-15073,-15355,-16138,519.987
-16716,-14591,-15292,520.886
-16652,-14691,-15298,520.907
-17241,-13480,-16614,520.932
-16882,-14337,-15685,520.982
-17991,-12427,-15122,521.036
-16675,-14455,-15852,521.136
-17034,-13598,-16781,521.139
-17914,-12386,-16094,521.306
-16522,-13360,-17317,521.661
-17119,-13120,-16876,521.707
-16212,-13656,-17461,521.8
-16912,-13238,-17043,521.828
-17191,-12070,-17816,522.027
-17435,-13170,-16452,523.29
-16819,-14646,-15117,523.448
-16418,-14158,-16842,524.094
-17229,-12668,-17071,524.837
-17707,-13220,-15355,525.054
-17577,-13379,-14550,525.067
-17500,-13338,-15522,525.153
-17432,-12165,-16909,525.856
-15769,-13528,-17772,526.029
-16974,-13150,-16918,526.247
-16462,-13767,-17212,526.779
-16921,-13295,-16844,527.007
-16625,-14040,-16675,527.164
-16607,-13145,-17513,527.314
-17577,-12858,-16759,527.359
-16820,-12829,-17542,527.888
-17116,-12948,-17442,527.892
-16756,-14374,-16043,527.985
-17196,-12813,-17016,528.119
-17928,-11778,-15801,528.164
-15771,-14159,-17260,528.318
-17316,-12602,-16988,528.424
-16678,-12706,-17989,528.536
-17329,-12536,-16781,529.046
-17201,-12953,-17013,529.067
-17352,-12300,-17335,529.099
-17465,-12020,-16964,529.103
-16705,-13831,-16840,529.24
-16407,-14778,-16015,529.473
-16456,-14273,-16621,529.486
-14600,-15859,-14766,529.506
-16031,-15365,-15123,529.512
-16051,-15286,-15385,529.521
-16254,-14531,-16785,529.728
-16379,-15063,-15957,529.753
-16078,-15011,-16074,529.87
-15857,-14055,-17410,529.975
-15775,-14705,-16749,530.016
-14942,-15426,-16178,530.042
-14740,-15857,-14958,530.103
-15650,-14173,-17577,530.134
-14817,-14894,-17006,530.152
-15630,-14252,-17315,530.178
-14641,-15374,-16295,530.202
-16672,-14612,-15560,530.407
-17904,-12702,-15467,530.459
-16037,-13884,-17384,530.606
-15830,-14002,-17551,530.638
-16478,-13381,-17585,530.702
-16396,-14031,-16924,530.714
-16251,-13578,-17490,530.748
-16271,-13499,-17752,530.751
-17728,-12284,-16809,530.943
-17157,-12327,-17159,530.955
-15114,-14957,-16618,530.978
-14938,-15437,-15907,530.993
-16037,-12976,-17888,531.061
-17662,-11811,-16942,531.233
-16702,-14508,-15711,531.736
-17527,-13391,-15381,531.747
-16903,-13264,-17413,531.8
-15936,-14935,-16268,531.916
-15778,-14548,-17041,532.043
-15860,-13898,-17702,532.067
