obj0,obj1,obj2,cpu
-16712,-13598,-17024,58.4959
-16897,-13567,-16995,77.8018
-16745,-13453,-17079,95.14
-16832,-14410,-15086,95.8953
-16559,-13351,-17794,107.621
-16684,-13883,-16966,110.775
-17366,-13271,-16108,141.713
-16870,-13985,-16251,141.756
-16036,-14504,-16932,144.428
-16664,-13962,-16704,156.781
-16877,-13646,-16733,167.329
-16690,-13685,-17162,167.903
-16815,-14217,-16334,169.593
-16962,-14251,-15891,187.273
-16069,-14359,-16987,188.554
-15650,-15317,-15764,191.804
-16510,-13856,-17188,197.62
-16732,-14553,-15256,200.163
-16635,-14388,-16360,200.233
-16457,-14080,-16871,201.537
-16795,-14296,-16072,209.971
-15846,-14266,-17225,218.792
-16755,-14369,-16058,224.303
-15525,-15196,-16069,227.994
-15474,-15797,-15053,228.042
-16490,-13935,-16926,232.298
-17197,-12343,-17127,232.311
-16615,-14467,-16098,234.359
-17358,-13477,-16312,234.665
-17151,-13595,-16479,235.607
-17164,-12488,-17072,236.204
-16660,-14208,-16583,237.005
-16054,-13537,-17522,237.089
-15865,-15124,-16218,238.145
-15196,-15429,-16128,238.346
-15071,-14897,-16956,239.486
-17377,-12172,-17101,241.129
-16095,-15123,-15228,242.399
-15993,-14275,-17014,247.587
-15545,-14214,-17342,250.335
-16276,-14241,-16820,255.314
-16194,-14891,-16159,255.443
-16655,-14068,-16586,255.881
-15362,-15610,-15151,257.088
-16717,-13738,-17021,259.866
-16658,-13895,-16730,260.395
-16500,-13508,-17503,260.629
-16576,-14545,-16069,261.445
-16477,-14001,-17133,262.559
-15372,-14949,-16839,264.012
-16578,-14858,-15922,264.612
-15073,-14219,-17409,265.469
-15051,-14976,-16694,265.521
-17357,-12251,-16839,266.622
-15552,-14778,-16813,269.898
-17386,-13192,-16370,276.464
-16688,-13923,-16641,276.983
-16404,-14616,-16284,277.188
-16197,-14734,-16451,277.299
-16171,-15103,-15238,277.6
-16020,-14916,-16417,278.059
-15567,-15596,-14420,278.139
-14969,-15834,-14624,278.263
-15813,-15034,-16584,278.467
-15637,-15514,-15873,278.54
-15375,-15690,-15078,279.589
-17129,-13420,-16842,279.895
-16451,-14013,-16897,280.277
-17254,-13952,-16014,281.089
-17037,-14386,-15554,281.316
-17047,-14070,-16181,281.723
-16221,-14676,-16730,281.854
-17092,-13752,-16188,281.89
-15900,-14826,-16444,282.636
-15808,-14560,-16804,282.666
-15209,-15363,-15921,282.778
-15582,-14674,-16964,282.808
-15909,-15163,-15832,283.137
-15806,-15281,-15927,283.327
-15694,-14152,-17309,283.571
-15199,-15272,-16420,283.755
-16453,-14326,-16750,284.076
-16703,-12578,-17755,284.523
-17439,-13680,-15244,285.112
-17025,-13942,-16459,285.304
-17309,-13839,-14439,285.649
-16818,-14060,-16626,286.175
-17344,-12317,-17046,286.437
-15680,-15153,-16277,287.082
-15996,-14118,-17306,288.161
-15999,-13769,-17605,289.134
-15626,-14767,-16782,289.233
-16127,-14144,-17069,289.268
-15698,-13717,-17722,289.327
-17199,-14184,-16097,290.825
-17322,-13450,-16823,291.813
-17238,-13688,-16340,291.842
-17875,-12915,-15219,292.225
-15885,-13770,-17468,292.315
-16813,-14455,-15813,292.425
-16606,-14573,-15980,292.463
-16489,-14128,-16676,292.554
-16614,-14660,-15848,292.58
-15938,-15566,-15756,292.902
-15528,-15039,-16361,293.21
-16397,-15094,-15388,293.421
-16461,-14413,-16618,294.211
-16428,-14558,-16563,294.456
-17847,-13200,-15161,294.692
-17640,-13318,-15328,295.099
-17096,-13565,-16787,295.329
-15533,-15179,-16358,295.836
-15357,-15659,-15647,296.249
-16057,-13380,-17814,296.612
-15232,-15127,-16475,296.787
-16277,-14806,-16039,296.891
-16559,-14892,-15931,297.616
-17434,-13781,-15988,297.687
-17222,-14114,-14784,297.779
-17304,-13940,-15183,297.934
