obj0,obj1,obj2,obj3,cpu
-7611,-6537,-5975,-7726,1.54593
-7519,-6455,-5777,-7925,2.75843
-7676,-6932,-5845,-7690,2.815
-8178,-6536,-5015,-6736,4.96297
-6478,-6543,-5944,-7224,5.10001
-7145,-5555,-5112,-8596,5.25218
-7717,-7103,-5634,-7102,7.94364
-6989,-6120,-5237,-7961,8.08322
-8187,-5969,-4667,-6848,8.18724
-7302,-6032,-5180,-8361,8.27103
-7237,-5637,-5310,-8397,8.43616
-6907,-6054,-5359,-8029,9.38533
-7480,-7161,-5598,-5948,9.69706
-8204,-6858,-5716,-6677,10.3973
-7926,-6716,-5170,-6728,11.5866
-7625,-7021,-5436,-7301,11.6963
-7873,-6538,-5509,-7737,12.2415
-7062,-7099,-5753,-6196,13.1517
-7786,-6796,-5871,-6925,13.7196
-8265,-6185,-4946,-6625,13.7267
-7795,-6561,-5803,-6904,13.7675
-7472,-5572,-5547,-7964,14.0023
-7620,-5970,-5627,-7838,15.3418
-7103,-7270,-5542,-5608,16.2476
-7951,-6290,-5834,-6778,16.4814
-7952,-7038,-5871,-6669,16.6004
-8213,-6291,-5368,-6789,16.7971
-7989,-5842,-5408,-6879,17.2893
-6887,-6840,-5857,-6997,17.3349
-7866,-7040,-4829,-6360,17.3462
-6124,-5575,-4829,-8460,18.1487
-8015,-6164,-6109,-6820,18.5814
-8025,-6769,-5141,-6899,18.9747
-8056,-6335,-5898,-6232,19.0983
-7276,-7013,-5525,-7313,19.4117
-7999,-6447,-4440,-6958,19.4827
-6971,-5397,-5657,-8260,19.4915
-6643,-5854,-6265,-6785,20.0557
-7432,-5946,-6253,-7478,20.2217
-8641,-6327,-4936,-5841,20.254
-8267,-5427,-4271,-6512,20.4282
-8241,-6408,-4616,-5464,20.5843
-7820,-6150,-5511,-7352,20.7421
-7385,-5923,-5616,-8075,20.8246
-7077,-6691,-4743,-7772,21.0394
-7122,-6775,-6094,-6564,21.1457
-7057,-6380,-6224,-6600,21.2101
-6662,-7180,-5433,-5819,21.2709
-7846,-6472,-6212,-7293,21.3615
-8370,-5766,-5056,-5343,21.3655
-8265,-5948,-5434,-5858,21.3793
-7712,-7388,-5415,-6723,21.4178
-7848,-5714,-5537,-7180,21.5116
-7887,-6643,-6001,-6705,21.5257
-6406,-5665,-5869,-7852,21.6855
-7446,-5250,-4846,-8023,21.7275
-6322,-5450,-5288,-8541,21.7352
-6893,-6453,-5315,-8121,21.7788
-5967,-4370,-5334,-8559,21.8068
-6654,-5182,-5942,-8288,21.8153
-6480,-7166,-4759,-7348,21.8961
-7163,-6946,-5883,-5976,21.9996
-6565,-6910,-5923,-6646,22.0205
-8388,-5759,-5054,-5942,22.0594
-7869,-7334,-5266,-6264,22.0832
-7312,-7469,-5095,-6346,22.1443
-6736,-5976,-5247,-8356,22.2481
-6823,-4874,-5839,-7815,22.3018
-6498,-6475,-5494,-7789,22.3471
-6341,-5270,-5999,-7888,22.4839
-6498,-5747,-6067,-7653,22.4982
-6916,-5950,-5362,-7934,22.5283
-6833,-6777,-4974,-7753,22.5406
-6521,-7337,-4548,-6760,22.5807
-6505,-7234,-5582,-6278,22.6065
-7953,-6876,-4591,-5558,22.6201
-7446,-6553,-5892,-6916,22.6543
-6837,-4979,-6331,-6783,22.6564
-6580,-6541,-5372,-7721,22.6763
-7145,-6273,-5160,-8129,22.6843
-6206,-5641,-4707,-8392,22.691
-5727,-4720,-4878,-8613,22.6984
-6828,-6058,-5445,-8157,22.701
-6414,-5532,-5486,-8342,22.7019
-6815,-6690,-5209,-7761,22.7061
-6441,-5790,-4544,-8432,22.707
-6921,-7256,-4868,-7137,22.7078
-6882,-7125,-5638,-6618,22.7103
-6923,-7296,-5427,-6030,22.7209
-5907,-7504,-4456,-5266,22.7234
